Model,Rank,Period
RF,1,1
RGF,1,1
GBDT,1,1
NN,1,1
LR,2,1
LDA,3,1
CART,4,1
QDA,4,1
RF,1,2
GBDT,2,2
RGF,2,2
NN,3,2
LDA,3,2
LR,3,2
QDA,4,2
CART,5,2
RF,1,3
RGF,2,3
GBDT,2,3
NN,2,3
LR,3,3
LDA,3,3
CART,4,3
QDA,4,3
RF,1,4
RGF,1,4
GBDT,1,4
LDA,2,4
LR,3,4
NN,3,4
QDA,3,4
CART,4,4
GBDT,1,5
RF,1,5
RGF,2,5
NN,2,5
LR,3,5
CART,3,5
LDA,4,5
QDA,4,5
RF,1,6
LDA,1,6
GBDT,1,6
RGF,1,6
LR,2,6
CART,3,6
QDA,4,6
NN,4,6
RF,1,7
RGF,2,7
GBDT,2,7
NN,2,7
LDA,2,7
LR,2,7
QDA,3,7
CART,4,7
LDA,1,8
LR,1,8
RF,1,8
RGF,1,8
GBDT,1,8
NN,1,8
QDA,1,8
CART,2,8
GBDT,1,9
RF,1,9
RGF,1,9
CART,2,9
NN,2,9
LR,3,9
LDA,3,9
QDA,3,9
RF,1,10
RGF,1,10
GBDT,1,10
QDA,2,10
NN,2,10
LDA,2,10
CART,3,10
LR,4,10
RGF,1,11
RF,1,11
GBDT,2,11
LR,2,11
QDA,2,11
LDA,2,11
NN,3,11
CART,4,11
LDA,1,12
LR,1,12
RGF,1,12
NN,1,12
GBDT,1,12
RF,1,12
QDA,2,12
CART,2,12
GBDT,1,13
RGF,1,13
RF,2,13
LDA,2,13
LR,2,13
NN,2,13
QDA,2,13
CART,3,13
LDA,1,14
QDA,1,14
RF,2,14
LR,2,14
NN,2,14
RGF,3,14
GBDT,3,14
CART,4,14
LDA,1,15
RF,2,15
LR,2,15
RGF,3,15
QDA,3,15
GBDT,3,15
NN,4,15
CART,4,15
LDA,1,16
GBDT,1,16
RF,1,16
RGF,1,16
QDA,2,16
NN,2,16
LR,2,16
CART,2,16
QDA,1,17
NN,1,17
RF,1,17
RGF,1,17
GBDT,1,17
LDA,1,17
LR,1,17
CART,2,17
LDA,1,18
RF,1,18
GBDT,2,18
QDA,2,18
LR,2,18
RGF,2,18
NN,2,18
CART,3,18
RF,1,19
GBDT,1,19
NN,1,19
RGF,1,19
QDA,1,19
LDA,2,19
LR,2,19
CART,2,19
RGF,1,20
GBDT,1,20
RF,1,20
NN,2,20
QDA,2,20
LR,3,20
LDA,3,20
CART,3,20
RF,1,21
RGF,1,21
GBDT,1,21
LDA,1,21
LR,2,21
NN,3,21
CART,4,21
QDA,4,21
QDA,1,22
RF,1,22
RGF,1,22
GBDT,2,22
NN,2,22
LDA,2,22
LR,2,22
CART,3,22
RF,1,23
LDA,1,23
GBDT,1,23
LR,2,23
RGF,2,23
QDA,3,23
NN,3,23
CART,3,23
RF,1,24
GBDT,1,24
RGF,1,24
NN,2,24
LR,3,24
LDA,3,24
QDA,4,24
CART,4,24
RF,1,25
GBDT,1,25
RGF,1,25
LR,2,25
LDA,2,25
QDA,2,25
NN,2,25
CART,3,25
RF,1,26
GBDT,1,26
NN,1,26
RGF,1,26
LR,2,26
CART,3,26
QDA,4,26
LDA,5,26
LDA,1,27
LR,1,27
RF,1,27
GBDT,1,27
QDA,1,27
NN,1,27
RGF,1,27
CART,2,27
RF,1,28
GBDT,1,28
NN,1,28
LDA,1,28
RGF,1,28
LR,2,28
QDA,2,28
CART,3,28
NN,1,29
LDA,1,29
RF,1,29
RGF,1,29
GBDT,2,29
LR,2,29
QDA,3,29
CART,4,29
RF,1,30
GBDT,1,30
RGF,2,30
LDA,2,30
NN,2,30
LR,2,30
QDA,3,30
CART,4,30
RF,1,31
NN,1,31
LDA,1,31
LR,2,31
GBDT,2,31
RGF,2,31
QDA,3,31
CART,4,31
LDA,1,32
NN,1,32
LR,1,32
RF,2,32
QDA,2,32
RGF,3,32
GBDT,3,32
CART,4,32
RF,1,33
GBDT,1,33
RGF,1,33
NN,1,33
LR,2,33
LDA,2,33
QDA,3,33
CART,4,33
NN,1,34
GBDT,1,34
RF,1,34
RGF,1,34
LDA,2,34
LR,2,34
QDA,2,34
CART,3,34
RF,1,35
GBDT,1,35
RGF,1,35
NN,2,35
LR,3,35
LDA,3,35
QDA,4,35
CART,4,35
