Model,Rank,Period
RGF,1,1
RF,1,1
GBDT,1,1
NN,2,1
CART,3,1
QDA,4,1
LDA,4,1
LR,4,1
RF,1,2
GBDT,1,2
RGF,1,2
NN,2,2
CART,3,2
LDA,3,2
QDA,3,2
LR,3,2
GBDT,1,3
RF,1,3
RGF,1,3
NN,2,3
CART,2,3
LR,3,3
LDA,3,3
QDA,4,3
RF,1,4
GBDT,2,4
RGF,3,4
NN,4,4
CART,5,4
LDA,6,4
LR,6,4
QDA,6,4
RF,1,5
GBDT,2,5
RGF,2,5
CART,3,5
NN,3,5
QDA,4,5
LR,5,5
LDA,5,5
RF,1,6
GBDT,1,6
RGF,2,6
CART,3,6
NN,4,6
LDA,5,6
LR,5,6
QDA,5,6
RF,1,7
GBDT,2,7
RGF,2,7
NN,3,7
CART,3,7
LDA,4,7
LR,4,7
QDA,4,7
RF,1,8
GBDT,1,8
RGF,2,8
NN,3,8
CART,3,8
LDA,4,8
QDA,4,8
LR,4,8
RF,1,9
GBDT,1,9
RGF,1,9
CART,2,9
NN,2,9
LR,3,9
LDA,4,9
QDA,4,9
RF,1,10
GBDT,1,10
RGF,1,10
NN,2,10
CART,2,10
QDA,3,10
LDA,3,10
LR,4,10
RF,1,11
GBDT,1,11
RGF,2,11
CART,3,11
NN,4,11
LDA,5,11
LR,5,11
QDA,5,11
RF,1,12
GBDT,2,12
RGF,2,12
NN,3,12
CART,4,12
LR,5,12
LDA,5,12
QDA,5,12
RF,1,13
GBDT,2,13
RGF,3,13
CART,4,13
NN,5,13
QDA,5,13
LDA,5,13
LR,6,13
RF,1,14
RGF,2,14
GBDT,2,14
CART,3,14
LDA,4,14
QDA,4,14
LR,4,14
NN,4,14
RF,1,15
GBDT,1,15
RGF,1,15
CART,2,15
NN,3,15
LDA,4,15
LR,4,15
QDA,4,15
RF,1,16
RGF,1,16
GBDT,1,16
NN,2,16
CART,3,16
QDA,3,16
LR,4,16
LDA,4,16
RF,1,17
GBDT,1,17
RGF,2,17
NN,3,17
QDA,3,17
LDA,4,17
LR,5,17
CART,5,17
RF,1,18
RGF,2,18
GBDT,2,18
NN,3,18
CART,4,18
QDA,5,18
LDA,6,18
LR,6,18
RF,1,19
GBDT,2,19
RGF,3,19
CART,4,19
NN,4,19
QDA,5,19
LR,6,19
LDA,7,19
RF,1,20
GBDT,2,20
RGF,2,20
CART,3,20
NN,4,20
QDA,4,20
LR,5,20
LDA,5,20
RF,1,21
GBDT,1,21
RGF,1,21
CART,2,21
NN,2,21
QDA,3,21
LR,3,21
LDA,3,21
RF,1,22
GBDT,1,22
RGF,2,22
NN,3,22
CART,3,22
QDA,3,22
LR,4,22
LDA,4,22
RF,1,23
GBDT,1,23
RGF,1,23
NN,2,23
CART,3,23
QDA,3,23
LR,4,23
LDA,4,23
RF,1,24
GBDT,1,24
RGF,1,24
NN,2,24
CART,3,24
QDA,3,24
LDA,4,24
LR,4,24
RF,1,25
GBDT,1,25
RGF,2,25
NN,3,25
CART,3,25
LR,4,25
QDA,4,25
LDA,4,25
RF,1,26
GBDT,1,26
RGF,1,26
CART,2,26
NN,2,26
QDA,3,26
LDA,4,26
LR,4,26
RF,1,27
RGF,2,27
GBDT,2,27
CART,3,27
NN,4,27
LDA,5,27
LR,6,27
QDA,7,27
