Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.021371841155234658,0.5714285714285714,0.9935885442700407,0.04120267260579065,0.890976386847691,0.10963058201037526,0.004833784524170759,0.025834578376679945,0.055963450269440294,0.00024108116057773845,0.007671662797148327,0.03988232212200289,0.007572527788621652,-0.003396272934601674,-0.0006328203653098496,0.001143134515419919,0.02175756610712747,-0.0015291446652009543,0.029130026093567095,0.023536089252326954,0.003392420537897367,0.015522847280721664,0.009302767561792536,0.00019801319060639422,0.005588286659407094,0.0006412956380597024,2.2087074438670306e-05
QDA,1,0.01962788795747291,0.7413127413127413,0.99101111672703,0.03824320286824021,0.8926227059701848,0.11970404300182746,0.008933455879840738,0.021662287647652437,0.38023134153089766,0.00024108116057773845,0.0028690082389924766,0.016870672474368797,0.023386102607302117,-0.0056329744611780756,0.026224805325553248,0.000907111010663475,0.03051277968400079,0.000561679439501983,0.022976978077294506,0.018720079718929195,0.0026227116763576142,0.04649868504859165,0.0022631546506133083,0.0016334162026669708,0.03742757494195732,0.0013776170614946182,2.876456205962441e-05
LR,1,0.03731508059174211,0.6525096525096525,0.9958578719514636,0.07059314954051796,0.888747111026799,0.15537832240062857,0.004511666557461382,0.10724418701436388,0.3105386081403324,0.00024108116057773845,0.00878757370919021,0.024421626841445575,0.010333668919890671,0.00023782128988512064,0.0018319430461670948,-0.0005357399683590059,-0.00047307431530074773,0.0006739125968235448,0.0361853054180107,0.0041616157465430795,4.340366953625718e-05,0.050942809886790875,0.0036751864560004453,3.415791744567631e-05,0.04584377760884299,-0.00030356886030693533,-1.2584495901091231e-05
CART,1,0.009273736992505527,0.6640926640926641,0.9828152880826787,0.01829203445708816,0.8675767949263669,0.0771145454598974,0.013408063863456672,0.02743925544165216,0.31790444102660315,0.00024108116057773845,0.023699559285817018,0.008334146617081938,0.04847175422736327,0.028831722175422736,0.10737104744098132,0.007019452035092755,0.09854482135152345,0.0371825625115572,0.03607230178134826,0.013570966283824148,0.0,0.17730655832014958,0.013575332333422386,0.0,0.03201816790285794,0.0,0.0
GBDT,1,0.05231607629427793,0.7413127413127413,0.996700259790548,0.09773479256808348,0.8922172759048077,0.19638477226640422,0.0026280027836655807,0.24752402208196897,0.24519040829530686,0.00024108116057773845,0.0005110846294508642,0.03808171190236487,0.0016388095580531115,0.0017466766657763476,0.0012397012594769219,0.0,0.014234862649216251,0.0002337120667338155,0.009026165478416347,1.515276037067359e-05,0.0,1.695054549937236e-05,0.0,0.0,9.964866142062601e-05,0.0,0.0
NN,1,0.01105457097736445,0.7297297297297297,0.9841966179757188,0.02177921179995391,0.8873412697653807,0.08857513277355315,0.013494943679358386,0.07833388635880859,0.07773619114339315,0.00024108116057773845,0.051900515707505465,0.13226459287871625,0.0009880113414558744,0.04550964640134776,0.020576164451110435,0.007398142631135607,0.046038195229191906,0.05850352365885227,0.04504479053234982,0.03146945819892748,0.005659427585215005,0.042268496640710064,0.012332805983028928,0.00019544492613676745,0.02262718045653469,0.0015869306157670904,5.907008280086057e-05
RF,1,0.031254811393379524,0.7837837837837838,0.9940911845276159,0.06011252591057152,0.9011225129250244,0.15579834380119592,0.007471206115901908,0.29803357816541426,0.29293196676093947,0.00024108116057773845,0.00047101970372507294,0.024571613486470457,0.001196811242834528,0.0006171539520454017,0.0021822543198208423,5.13652893996408e-07,0.0013681144829570612,0.00035724558772169955,0.004548139549218333,0.00015435269462302781,7.704793409279986e-07,7.16545787019518e-05,3.184647942304775e-05,0.0,0.00042170902590867867,5.136528939186924e-06,0.0
LDA,2,0.019720955191843307,0.5675675675675675,0.9930942813500917,0.03811746402178141,0.8840486081545307,0.10488060788593755,0.005981116647765117,0.019720870288962303,0.04061622031828929,0.00024108116057773845,0.012182123616984475,0.03950599548166613,0.016152233099693138,-0.0004117476684235566,0.015424897178937736,0.002274459827376596,0.025496379540056922,-0.0018166019811155288,0.061080229392342124,0.017009326304813954,0.0028616115391300488,0.021980420552627212,0.003974743671436109,0.0010598389619418391,0.003407750680646626,-0.00035891791693207773,6.279325725551121e-05
QDA,2,0.01630980260956842,0.752895752895753,0.9889931091743948,0.0319279574293901,0.9004968775802652,0.10980115074139321,0.010916217960669066,0.017348998891441394,0.38374594127118533,0.00024108116057773845,0.012470138446388312,0.02002780513236411,0.01812292185599267,-0.002182007762266025,0.027271737241499228,0.00044557724613343287,0.02597787174882702,0.005653478537913514,0.027382030933209855,0.011433238718646876,0.0020835312518103334,0.042618084921508516,-1.900017378204666e-05,0.0023062040201587974,0.035117418756878946,0.0016968082025140552,0.00015872096391131852
LR,2,0.027292736610418197,0.7181467181467182,0.9937616759143166,0.052586938083121294,0.8853024131414327,0.13922304052892995,0.006252541325354341,0.05877834973344565,0.2862357387831206,0.00024108116057773845,0.005762150263569387,0.026088860568846562,0.01624769738747598,0.0007908243063197596,0.040618664195099165,1.0195215200048402e-05,0.0070877599490238195,-0.002516596188379827,0.031453165730174204,0.013248913862016987,-1.807333603676131e-05,0.05318681573307067,0.0004054915136418646,0.0004098939929328083,0.04994218849562639,0.0005252852922434048,0.0001510745525109769
