Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.0002329894108043089,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,1,0.02574397732640529,0.7703180212014135,0.9935093219095318,0.04982287738544166,0.9138822589630082,0.14009356593851605,0.006329747762777303,0.023355489430154964,0.39748835961726026,0.00022090942869543224,0.0007901229224377637,0.10484310076177294,-0.0008866430055399999,0.0005122489612189085,0.017217364958448854,0.007204163781163553,0.019040209487534755,0.007620758310249398,0.017694122229916998,0.0007790858725762684,0.007540036357340818,0.02270905470914142,0.005314447714681525,0.001971087257617765,0.0025062759695291927,0.0012320377423823414,0.0
LR,1,0.5476190476190477,0.40636042402826855,0.999794702545064,0.4665314401622718,0.9031949666579673,0.47163206035640504,0.03992032706248293,0.42260492011456974,0.42050853614684225,0.00022090942869543224,0.0024151662049862743,0.086868724030471,1.1469875346370451e-05,0.006607297437673254,5.4319598337992935e-05,0.00971779778393358,0.0031044407894737836,-0.002042070637119009,0.02408024584487547,2.5969529086733443e-06,-5.648372576159133e-05,0.018724896121883727,-0.00023913608033230283,0.0008206371191136874,-1.4499653739563634e-05,0.0007870931440443929,0.0
CART,1,0.00324336061013177,0.8445229681978799,0.942630680026353,0.0064619045044070735,0.9128582072244203,0.050243474694580494,0.044309080460294414,0.014270772277937284,0.31486717012066984,0.00022090942869543224,0.011532418628808827,0.2661111712257617,0.09834433431440433,0.09525038954293627,0.033106496710526304,0.0016145472645428649,0.11618269563711903,0.03135268784626035,0.02176863313711912,0.0,0.00033403306786701227,0.0,0.0,0.0,0.0265831674168975,0.0,0.0
GBDT,1,0.0514018691588785,0.7385159010600707,0.996931466557591,0.09611404920671418,0.9051392096369344,0.1943288017319656,0.0032703435109538237,0.2542791429522796,0.25213814805431717,0.00022090942869543224,0.0027692174515235425,0.18357751904432137,0.004122229916897546,0.021232470567867034,0.0034041724376731473,0.00013460872576176452,0.02077702995152353,0.0009169407894737303,0.001577216066482001,0.0,0.0,9.522160664898748e-06,0.00011859418282547107,0.0,0.0010701610110803728,0.0,0.0
NN,1,0.03962790697674418,0.7526501766784452,0.9959159076645424,0.0752916224814422,0.9447594880629675,0.17211960623023145,0.004886759822017497,0.36997459109924635,0.4192115706846188,0.00022090942869543224,0.004322844529085779,0.08467094442520764,0.0015326350415511224,0.0075618940443213266,0.005093273891966654,0.0075603791551245745,0.04655038088642656,0.03051138331024923,0.022778090373961078,-0.00010928843490314311,0.003758872922437595,0.020185032894736766,0.0031449099722991036,0.00021013677285310894,0.00327454120498607,0.00022896468144040227,0.0
RF,1,0.05837424986361157,0.7561837455830389,0.9972515120196586,0.10838186882755127,0.9215020461929329,0.20962735267887456,0.0031646592410100524,0.46701930601365876,0.48444509224480475,0.00022090942869543224,7.606907894734949e-05,0.035778544840720204,0.00014986582409974857,0.0007676159972299201,0.0003696329639888862,0.00024032635041553173,0.005748138850415518,0.0002527700831024937,0.0011627856648199542,0.0,0.0,2.2204460492503132e-17,2.705159279803304e-06,0.0,3.408500692523297e-05,0.0,0.0
LDA,2,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.0002329894108043089,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,2,0.025804924242424244,0.7703180212014135,0.9935249338832911,0.049937006070324134,0.9134864769537112,0.14026106342948078,0.0063156321123118,0.02337444692342409,0.3974783791291221,0.00022090942869543224,0.0007890408587257536,0.1047757963988919,-0.0008881578947368629,0.0005713296398891954,0.017212387465373902,0.007216066481994421,0.01913131925207756,0.007686114958448708,0.017767702562326782,0.0007721606648199986,0.007540685595567864,0.022708621883656476,0.005352319944598283,0.001971303670360047,0.0025264023545706004,0.0012329033933517809,0.0
LR,2,0.5517241379310345,0.3957597173144876,0.9997954831437519,0.4609053497942387,0.9031470195833273,0.46718108152166427,0.04001511158001451,0.4232409761839577,0.4211441514117235,0.00022090942869543224,0.002379025277008373,0.08696437846260385,8.007271468191135e-06,0.006647983033241012,5.431959833790412e-05,0.009707626385041501,0.0030505540166205327,-0.002081241343490281,0.02408587257617727,2.3805401661913805e-06,-4.4581024930767654e-05,0.018773588988919586,-0.0002434643351799881,0.0008217191828254089,3.4626038781349065e-06,0.0007888244459832938,0.0
CART,2,0.00324336061013177,0.8445229681978799,0.942630680026353,0.0064619045044070735,0.9128582072244203,0.050243474694580494,0.044309080460294414,0.014270772277937284,0.31486717012066984,0.00022090942869543224,0.011532418628808827,0.2661111712257617,0.09834433431440433,0.09525038954293627,0.033106496710526304,0.0016145472645428649,0.11618269563711903,0.03135268784626035,0.02176863313711912,0.0,0.00033403306786701227,0.0,0.0,0.0,0.0265831674168975,0.0,0.0
GBDT,2,0.019355427736693142,0.7491166077738516,0.9915601669856713,0.037735849056603765,0.8948121632174261,0.11956481714497681,0.006822771345116719,0.2436768559947718,0.24156970366714042,0.00022090942869543224,0.002194208795013819,0.10720167503462605,0.023311980609418283,0.03581165599030471,0.002851887119113572,1.0820637118769128e-06,0.022504977493074764,0.0010617209141274397,0.0033186894044321402,0.0,0.0,6.661338147750939e-17,1.168628808863037e-05,0.0,0.000391490650969506,0.0,0.0
NN,2,0.012188456493222562,0.7879858657243817,0.9858454039910449,0.024005597717853492,0.8744289676255995,0.09693075534712471,0.012946660488889608,0.2519308239214442,0.22773665164285412,0.00022090942869543224,0.01653306786703601,0.11689718230609417,2.813365650955468e-06,0.09801592797783924,0.015287396121883633,0.009269390581717407,0.08863270429362882,0.09587993421052632,0.02376969355955678,0.0004932046398891776,0.006807912049861508,0.02910340200831023,0.016861798822714612,0.001658587257617694,0.006613356994459796,0.0008799342105262787,0.0
RF,2,0.032561613144137413,0.7703180212014135,0.994893323383302,0.06248208655775293,0.9207663707677288,0.15773109725596626,0.005497724395768381,0.4503167770042747,0.5025706009329776,0.00022090942869543224,0.0006356042243767845,0.07332994286703595,0.002028220221606647,0.004634695290858715,0.001532851454293649,0.005623593317174569,0.026622338123268707,0.003221952908587222,0.0029796788434903075,3.02977839332641e-06,9.305747922483398e-06,0.007306635214681401,0.00012259781855956665,-6.492382271794384e-07,0.0003957106994459947,0.0,0.0
LDA,3,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.0002329894108043089,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,3,0.05713473564525298,0.7102473498233216,0.9973467450595909,0.1057616416732439,0.9035507265579216,0.2009636901543522,0.0026218411950878566,0.05107289967431784,0.37874364929714727,0.00022090942869543224,0.005256665512465397,0.07911400623268698,4.111842105314345e-06,0.004553107686980651,-6.7087950137656446e-06,0.01030644044321336,0.003601973684210602,0.00020277873961229708,0.024199489265928076,-4.977493074731498e-06,-6.49238227068416e-07,0.019655254501385076,0.00028588123268704637,0.0009851108033242183,-4.9125692520690656e-05,0.0008842624653739861,0.0
LR,3,0.10226104830421377,0.7031802120141343,0.9985707238023275,0.17855540601166442,0.8985210897396998,0.2678103293676005,0.021707955099881274,0.421567939835586,0.4302704836403814,0.00022090942869543224,0.0,0.06803994979224381,0.0,0.0,0.0,0.0,0.0,6.340893351801658e-05,0.03104462430747923,0.0,0.0,0.01486885387811634,0.0,0.0,0.0,0.0,0.0
CART,3,0.00324336061013177,0.8445229681978799,0.942630680026353,0.0064619045044070735,0.9128582072244203,0.050243474694580494,0.044309080460294414,0.014270772277937284,0.31486717012066984,0.00022090942869543224,0.011532418628808827,0.2661111712257617,0.09834433431440433,0.09525038954293627,0.033106496710526304,0.0016145472645428649,0.11618269563711903,0.03135268784626035,0.02176863313711912,0.0,0.00033403306786701227,0.0,0.0,0.0,0.0265831674168975,0.0,0.0
GBDT,3,0.035961728802375456,0.7703180212014135,0.9953874423527869,0.06871552403467297,0.8998786535383262,0.165827748935836,0.003670986821797309,0.2650783174807893,0.2622444779873705,0.00022090942869543224,0.0014242122576176408,0.12120931440443199,0.001819598337950068,0.02093630972991676,0.002131665512465286,3.679016620439235e-06,0.020132011772853044,0.0003592451523544593,0.0009178064404431252,0.0,0.0,-8.881784197001253e-17,4.1118421051589135e-06,0.0,6.990131578934466e-05,0.0,0.0
NN,3,0.017142395083690466,0.7491166077738516,0.9904564004408821,0.03351778656126482,0.8732798793849249,0.11241697073944638,0.011369129274051896,0.17354006848645265,0.41310806941594697,0.00022090942869543224,0.012553237534626028,0.1589613270429363,-2.770083102490162e-05,0.07961240477839333,0.010495152354570636,0.011457539819944596,0.08108249653739615,0.09046333968144045,0.020055185249307515,0.00025428497229920135,0.0074651575484764535,0.03277614265927982,0.019162266274238227,0.0025180704639889083,0.015222905124653763,0.0011454726454293907,0.0
RF,3,0.046858359957401494,0.7773851590106007,0.9964576431539934,0.08838891120932102,0.9227873555516438,0.1903288590779591,0.0037010972229521957,0.4676898372630826,0.480392872006172,0.00022090942869543224,4.977493074795891e-05,0.03098511080332409,0.0003052501731301671,0.0007061547783933752,0.00012562759695293745,0.0002189014889196761,0.009156531336565087,0.0002901012811634018,0.0017561894044321401,-2.2204460492503132e-17,0.0,0.0013325614612188287,6.059556786741638e-06,2.2204460492503132e-17,8.02891274237938e-05,0.0,0.0
LDA,4,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.0002329894108043089,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,4,0.0257774624571361,0.7703180212014135,0.9935179084950994,0.049885583524027464,0.9135868019103952,0.14018561629150975,0.006318954620752595,0.023382762781392123,0.3974866774660214,0.00022090942869543224,0.0007940183518004185,0.104780990304709,-0.0008857773545707826,0.0005672177977837034,0.017231215373961127,0.007226454293628759,0.01911833448753446,0.007682435941828136,0.017735457063711758,0.0007745412049860346,0.0075417676592796305,0.022714681440443106,0.005349722991689632,0.0019708708448752388,0.0025225069252076348,0.0012324705678670167,0.0
LR,4,0.4889705882352941,0.46996466431095407,0.9997744069791767,0.47927927927927927,0.9037422099970684,0.4792606855425794,0.03903958579149836,0.4212025757722602,0.4191049076835079,0.00022090942869543224,0.002941049168975218,0.08528133656509704,9.522160664898748e-06,0.006212344182825569,6.990131578958892e-05,0.009663478185595698,0.0038363486842106333,-0.0017921139196674708,0.02412244632964,3.46260387820152e-06,-6.3192520775468e-05,0.018431656855955825,-0.0003544840720220321,0.0008119806094183835,-0.00018979397506919683,0.0007799515235457965,0.0
CART,4,0.00324336061013177,0.8445229681978799,0.942630680026353,0.0064619045044070735,0.9128582072244203,0.050243474694580494,0.044309080460294414,0.014270772277937284,0.31486717012066984,0.00022090942869543224,0.011532418628808827,0.2661111712257617,0.09834433431440433,0.09525038954293627,0.033106496710526304,0.0016145472645428649,0.11618269563711903,0.03135268784626035,0.02176863313711912,0.0,0.00033403306786701227,0.0,0.0,0.0,0.0265831674168975,0.0,0.0
GBDT,4,0.04961832061068702,0.734982332155477,0.9968315499255309,0.09296089385474861,0.8983803978100829,0.1904501472959541,0.002521189846642613,0.26233275304821624,0.25907355521031034,0.00022090942869543224,0.0005475242382271484,0.12581923043628812,0.003309167243767308,0.010706154778393363,0.0016382444598338041,2.5969529086289357e-06,0.01581695810249306,0.00015798130193902526,0.00017074965373966577,0.0,0.0,0.0,2.2204460492503132e-17,0.0,1.0820637118769128e-06,0.0,0.0
NN,4,0.024296394019349164,0.7809187279151943,0.9930237895256145,0.04712655933468387,0.872373293702897,0.13699424917691355,0.00916297797159982,0.34243606949056754,0.2992255748145476,0.00022090942869543224,0.009598770775623256,0.15835526315789472,6.124480609419614e-05,0.0709926852493075,0.020492338988919646,0.008650017313019443,0.07949987015235453,0.07870866516620503,0.023655211218836493,0.0005087863573407069,0.007981518351800544,0.035936526142659256,0.011005020775623198,0.0015661790166204836,0.009115737534625978,0.0006912222991689587,0.0
RF,4,0.04268650871353045,0.7703180212014135,0.996132914099798,0.08089053803339517,0.9152695306907281,0.18077665036625745,0.0043344715711983554,0.5006358484302024,0.5068841894015597,0.00022090942869543224,0.00041789300554027073,0.05564036530470921,0.002856107167590105,0.004885301246537499,0.000813711911357462,0.0007892572714682577,0.013109310076177372,0.0008305921052632392,0.0040086132271469396,1.298476454469899e-06,4.328254848529056e-07,0.007102449792243881,3.289473684224831e-05,1.2984764544032856e-06,0.0002073234072023311,-6.492382270240072e-07,0.0
LDA,5,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.00023298941080430877,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,5,0.02581103480937722,0.7703180212014135,0.993526495080667,0.04994844770305878,0.9134473583869742,0.14027784577701585,0.00631441936071067,0.023371565297577095,0.39747550357752903,0.00022090942869543224,0.0007894736842104955,0.10477276662049859,-0.0008853445290858408,0.0005763071329639935,0.017215850069252102,0.00721282029085879,0.019144953254847663,0.007692823753462608,0.01777376211911359,0.0007721606648199986,0.007541984072022112,0.02271056959833804,0.005355782548476506,0.0019719529085872266,0.0025331111495845438,0.0012337690443213977,0.0
LR,5,0.4889705882352941,0.46996466431095407,0.9997744069791767,0.47927927927927927,0.9037761831990433,0.4792606855425794,0.03897703362634481,0.41973166368981146,0.4176287352320359,0.00022090942869543224,0.00299558518005536,0.08516187673130196,8.223684210406645e-06,0.006183344875346242,5.172264542931959e-05,0.00965936634349025,0.003899974030470843,-0.0017447195290859474,0.02411465547091407,-2.1641274241535058e-07,-5.258829639895879e-05,0.018429925554016523,-0.0003579466759003891,0.0008104657202215426,-0.00022355436288092889,0.0007775709833793831,0.0
CART,5,0.00324336061013177,0.8445229681978799,0.942630680026353,0.0064619045044070735,0.9128582072244203,0.050243474694580494,0.044309080460294414,0.014270772277937284,0.31486717012066984,0.00022090942869543224,0.011532418628808827,0.2661111712257617,0.09834433431440433,0.09525038954293627,0.033106496710526304,0.0016145472645428649,0.11618269563711903,0.03135268784626035,0.02176863313711912,0.0,0.00033403306786701227,0.0,0.0,0.0,0.0265831674168975,0.0,0.0
GBDT,5,0.059797866367209435,0.7526501766784452,0.9973311330858315,0.11079323797139143,0.9044170252753697,0.2116823503074942,0.002404257766449223,0.36546300353185196,0.36359176695178697,0.00022090942869543224,0.0007351540858724581,0.12751136166897498,0.001682392659279719,0.012600199099722853,0.0012958795013849223,2.8133656508666504e-06,0.021853358725761683,0.00041269909972290185,0.0005193905817173494,0.0,0.0,2.1641274228212382e-07,8.656509694393577e-07,0.0,0.00011426592797767477,0.0,0.0
NN,5,0.021144278606965175,0.7809187279151943,0.9919652977047276,0.04117373078714485,0.8866489978795165,0.12769238759394871,0.009091777037838717,0.17436636029528496,0.38708204397370455,0.00022090942869543224,0.010844226108033216,0.12362166724376729,3.4842451523475757e-05,0.06662396121883651,0.031777397853185584,0.009308561288088612,0.06758158760387803,0.09168823580332405,0.01978813192520774,0.0005319425207755746,0.009188452216066411,0.03079520862188363,0.01245065789473676,0.0016791464681439772,0.0143094269390581,0.0005001298476454031,0.0
RF,5,0.05644729802033173,0.7455830388692579,0.997190625321997,0.10494901765729918,0.9293791085582439,0.20466761607949396,0.0033289545950645123,0.38264840862050564,0.4078297504959091,0.00022090942869543224,0.0013075657894737525,0.0590867382271469,0.0048790252770083645,0.008651532202216084,0.002400882963988926,0.0026543022853185994,0.01304157288781167,0.0030111668975070006,0.0069342970914128,3.0297783933597167e-05,2.5969529086289357e-06,0.011001774584487612,0.00015257098337955187,0.0001408846952908549,0.0008405470914127688,0.0,0.0
LDA,6,0.476038338658147,0.5265017667844523,0.999767381590985,0.5,0.9021894934106983,0.5005187299854741,0.00023298941080430877,0.33525548538087574,0.41888740021419496,0.00022090942869543224,0.0033245325484765774,0.08565637984764551,3.895429362921199e-06,0.0060870412049862654,1.0604224376842275e-05,0.009656336565097035,0.0017263244459834626,-0.0018098597645428427,0.02401662049861506,2.8133656510442863e-06,2.164127424597595e-07,0.018755843144044503,0.0002925900277009674,0.0007955332409973481,0.0002270169667591082,0.0008106821329641134,0.0
QDA,6,0.025829383886255924,0.7703180212014135,0.9935311786727948,0.04998280408116474,0.913290718585503,0.14032822847978071,0.006309771629852549,0.023361131858537415,0.3974650921514374,0.00022090942869543224,0.0007695637119112586,0.1047327302631577,-0.0008877250692522099,0.0005734937673128382,0.017206760734071923,0.007206977146814309,0.0191592364958447,0.007692390927977732,0.017782418628808673,0.000765668282548404,0.007539170706371068,0.02271230090027685,0.005355998961218633,0.0019717364958447003,0.0025417676592796256,0.0012337690443212424,0.0
LR,6,0.41778975741239893,0.5477031802120141,0.9997314740513384,0.47400611620795113,0.9036466910593742,0.4782254659986824,0.033661510441993316,0.42440421323528565,0.42759784799737605,0.00022090942869543224,0.003632271468143844,0.08063949965373937,1.1686288088452734e-05,0.005171831717451303,6.643871191112095e-05,0.0091252596952907,0.00469745498614933,-0.0013235803324102013,0.024777744113573207,9.738573407003237e-06,-9.998268698081514e-05,0.01802371883656484,-0.0008561288088645425,0.0006429622576175298,-0.0008050554016622469,0.0005390841412740377,0.0
