Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.39849624060150374,0.25118483412322273,0.9997570568354305,0.3081395348837209,0.9227102236982193,0.3162643821856996,0.00023922403940178998,0.23431605834608568,0.24550221787237975,0.00021538238539564519,-0.0004563880909555174,0.058367204488711154,1.0738543316346494e-06,0.05533356600177188,2.1477086633137075e-06,0.006479100110070047,0.007793497812021766,1.6107814974741786e-06,-0.00015087653359822096,0.0,0.0022491878976616865,0.02796262986925826,0.0017788397003946298,0.0004418910574780499,0.005145373030148437,0.000793578351096702,0.0
QDA,1,0.034546010394374806,0.5355450236966824,0.9966763741855534,0.06490522688110281,0.9136818457934038,0.13541096134056882,0.0033462584206598012,0.04034476385058359,0.2215901881875194,0.00021538238539564519,0.0007167977663829594,0.07415554779994085,0.0,0.05380010201616146,-2.6846358292198503e-06,0.011424199307363913,0.0030180675991301475,0.0003382641144727749,-0.00011329163199016445,5.369271658173247e-07,0.003464791001100642,0.025186716421917322,0.0036290907138446515,0.0012172138849364743,0.0032634433139143936,0.0007908937152674822,0.0
LR,1,0.4788732394366197,0.16113744075829384,0.9997815553058073,0.24113475177304966,0.9201862505501851,0.27769985425674903,0.00626581830335094,0.24199575388114886,0.24124649447226512,0.00021538238539564519,-0.0002067169588445328,0.05701200032215632,0.0,0.054821874412735894,-1.879245080407266e-05,0.006936562055357087,0.00646567693092428,-0.00016483663990987107,-0.00017879674622138796,0.0,0.0019608580096110106,0.026728234315015097,0.0020596526081236633,0.00046658970710617976,0.004295417326639605,0.0007388117801820249,0.0
CART,1,0.00699046754425783,0.36492890995260663,0.9886980389995234,0.013718154284696242,0.7204311496406635,0.04923431969307217,0.016337046522053603,0.0029580867422546735,0.1846575177174198,0.00021538238539564519,0.003453515530618323,0.009599989261456754,0.09890601089962148,0.24151144997181132,0.16271336143252174,0.0,0.21203549088566137,0.025731160568069032,0.026018685065370993,0.0,0.0,0.061564068834062624,0.003319820666326634,0.0,0.024663480898816183,0.014358506268624694,0.0
GBDT,1,0.07636566332218506,0.6492890995260664,0.9982330478240765,0.13665835411471322,0.9466933130732885,0.2222727865253771,0.0019395073885453184,0.3158738437083736,0.30908844095889215,0.00021538238539564519,0.00033665333297527855,0.18566162850009388,0.0001342317914574176,0.02500040269537429,0.003402507449864345,4.5101881929654476e-05,0.002249724824827415,0.00019812612419118915,0.00013101022846242482,-1.6107814975852009e-06,0.0,0.0,1.6107814974075652e-06,0.0,0.0003967891755483066,0.0,0.0
NN,1,0.04076607387140903,0.7061611374407583,0.9963578940706557,0.07708225556130366,0.9146531116551894,0.16910606139379675,0.003632952962444344,0.15438088933892763,0.20900776606382296,0.00021538238539564519,3.75849016080787e-05,0.062425836935219726,-1.5570887809057687e-05,0.05950441622593896,0.002760879486697632,0.004305618942790401,0.003951247013342618,6.12096969046183e-05,0.0007167977663829594,0.0002797390533973987,0.004110177454428277,0.021362989610459304,0.0042089720529410405,0.0004520926736287789,-8.59083465329924e-06,0.001481918977690655,0.0
RF,1,0.11677631578947369,0.6729857819905213,0.998833260348307,0.19901892081289418,0.9166586979484431,0.2800238702739091,0.002086525462832187,0.41385406461044993,0.4503582252624884,0.00021538238539564519,4.29541732664962e-06,0.038608284786168755,3.812182877391823e-05,0.0004134339176891322,0.001189025208730432,4.295417326671824e-06,0.0004969260919756469,1.7181669306576274e-05,0.0002708797551612019,0.0,0.0,0.00013101022846246925,0.0,2.2204460492503132e-17,1.1812397648225393e-05,0.0,0.0
LDA,2,0.39849624060150374,0.25118483412322273,0.9997570568354305,0.3081395348837209,0.9227102236982193,0.3162643821856996,0.00023922403940179,0.23431605834608568,0.24550221787237975,0.00021538238539564519,-0.0004563880909555174,0.058367204488711154,1.0738543316346494e-06,0.05533356600177188,2.1477086633137075e-06,0.006479100110070047,0.007793497812021766,1.6107814974741786e-06,-0.00015087653359822096,0.0,0.0022491878976616865,0.02796262986925826,0.0017788397003946298,0.0004418910574780499,0.005145373030148437,0.000793578351096702,0.0
QDA,2,0.03456714591618232,0.5355450236966824,0.9966784157247515,0.06494252873563218,0.9136807981904311,0.13545275861951608,0.0033386101139493136,0.041803188120850404,0.2223344018284896,0.00021538238539564519,0.0006523665064833261,0.05888050685924451,0.0,0.0545383768691776,-8.053907487526323e-06,0.011736153990711106,0.0037300330210206845,0.0002485972777791945,-0.0001004053800102378,0.0,0.0033418346801255216,0.025294101855083274,0.0038401030900157007,0.0012064753416198616,0.003746677763161466,0.000780155171950847,0.0
LR,2,0.05456490727532097,0.7251184834123223,0.9972347351562236,0.10149253731343284,0.9183838218126152,0.1984324625083609,0.004047325232393278,0.08969726536224203,0.20519848345093578,0.00021538238539564519,1.0738543316124449e-06,0.0948803994738113,0.0,0.07335176783269345,0.006795350210743822,0.0019077022201937411,0.0024392601143653934,6.657896856281376e-05,0.0026910789551396475,0.00018416601787958343,0.0056463260758677246,0.020972912024483814,0.00290960831163245,0.00010362694300509734,-0.00016644742140736746,0.0009041853472575801,0.0
CART,2,0.00793948822488064,0.7014218009478673,0.9810585993203716,0.015701251856566942,0.8458917453443919,0.07330947298553121,0.015867664771239645,0.018167662762941864,0.33096767886394196,0.00021538238539564519,0.004506429702810922,0.06869204542403833,0.10123600633574067,0.0950594646836157,0.051880318934736526,0.036735214368171044,0.0016362855378668772,0.03141319230046451,0.000547934172729514,0.002731080028994204,0.002088646675078576,0.039858251228220995,0.0036881527020860448,0.0,0.038703320894520735,0.0,0.0
GBDT,2,0.04343720491029273,0.6540284360189573,0.996823365007814,0.08146399055489965,0.9228796305345772,0.1680051442342217,0.002607854321240656,0.3298911557808968,0.28377314934556164,0.00021538238539564519,0.00041182313619152476,0.18851834948589224,0.00016805820290475282,0.03915890359472736,0.00755295444172992,7.087438588952999e-05,0.0027651749040242144,0.00014497033477400834,0.0005557196166339872,2.2204460492503132e-17,0.0,0.0,0.0,0.0,0.00034631802196025683,0.0,0.0
NN,2,0.027686886483765417,0.5213270142180095,0.9959536693094392,0.05258126195028681,0.9268030028627093,0.119461978423107,0.0038347472568479933,0.11205206857708586,0.16171323148268985,0.00021538238539564519,-0.00018201830921622532,0.05741925957743843,-3.865875593964674e-05,0.05614486294934105,0.00023785873446273697,0.009137426508094303,0.00385245241483001,-0.00017450132889464953,0.00023356331713617618,0.000504711535880209,-0.00021852935649271376,0.019719992483019765,0.005168460898279293,0.0006996160970765386,-2.792021262303379e-05,0.0013584257295498725,0.0
RF,2,0.0885997521685254,0.6777251184834123,0.9984290355870905,0.15671232876712327,0.9190062842726456,0.24467569564973018,0.0031884180205029,0.36158108032390274,0.35955299315616773,0.00021538238539564519,0.0,0.041891057478053106,0.00015248731509569512,0.0016236677494697372,0.0004349110043222693,3.5974120110604525e-05,0.000209401594673686,4.456495476388156e-05,3.5974120110671136e-05,4.4408920985006264e-17,0.0,1.9866305135707306e-05,0.0,0.0,1.1812397648225393e-05,0.0,0.0
LDA,3,0.39849624060150374,0.25118483412322273,0.9997570568354305,0.3081395348837209,0.9227102236982193,0.3162643821856996,0.00023922403940178998,0.23431605834608568,0.24550221787237975,0.00021538238539564519,-0.0004563880909555174,0.058367204488711154,1.0738543316346494e-06,0.05533356600177188,2.1477086633137075e-06,0.006479100110070047,0.007793497812021766,1.6107814974741786e-06,-0.00015087653359822096,0.0,0.0022491878976616865,0.02796262986925826,0.0017788397003946298,0.0004418910574780499,0.005145373030148437,0.000793578351096702,0.0
