Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.01945773524720893,0.46387832699619774,0.9940040405273088,0.037348844328792284,0.8304359676867907,0.0940744370320233,0.005624508477315652,0.09898437333620412,0.10648187540738956,0.00025074532379039215,3.2169878585741604e-05,0.039517113902321266,0.0005989274454345939,0.0947629330008212,0.00040083939052950603,0.0020003446772705936,0.04742326706743851,0.05126303944527237,0.03317086192971974,8.447972317671138e-06,0.0033631039877809023,0.03420306897938361,0.00045470366202708944,0.0,0.01260978140026836,0.001063295587793056,0.00011272974260718715
QDA,1,0.0,0.0,0.9997492546762096,0.0,0.5,0.0,0.00025074532379039215,0.00025074532379039215,0.5001253726618952,0.00025074532379039215,0.004573934964129856,0.004167080617310148,0.026050843276596725,0.04087642644012583,0.10359552460218491,-0.0045201382764109566,-0.004727079806304912,0.03162163897421335,0.024126192431292614,0.007517884357396465,0.0006055506557315349,0.01605736511122593,-8.380388539186435e-06,0.0,-0.011677665926624359,0.017859013479584584,0.0002470862943475982
LR,1,0.0063112814155302606,0.6387832699619772,0.9746909301698108,0.012499070009671898,0.8348305323110519,0.06176828381199758,0.018039543324772443,0.15000001641171476,0.25470951798040137,0.00025074532379039215,0.0004679500826210603,0.11094025931895815,0.0005844645168266105,0.060067516194762895,0.0006625913648205639,0.0005478341088571259,0.02915793991126243,0.04038563304035758,0.016790108438172656,-5.406702283372589e-06,0.005765572147373143,0.008459191224922114,5.2174677033978155e-05,0.0,-0.00019977764936860432,0.0012288082614410278,0.0004882252161835687
CART,1,0.011529878502355567,0.7072243346007605,0.9847236033342455,0.02268984446477585,0.8460087685153219,0.08903528558496694,0.015276396665754576,0.00822762278087451,0.3594138126160673,0.00025074532379039215,0.01203734679602202,0.2557018744360978,0.053705990288211033,0.14278337033545205,0.056627637034558975,0.0,0.07098060683474752,0.07762983688655048,0.029507415630100377,0.0,0.0,0.0,0.001309976379469413,0.0,0.0,0.0,0.0
GBDT,1,0.06698564593301436,0.6387832699619772,0.9976784605953247,0.12125586430891375,0.9072701094837007,0.20635415411241478,0.001988663272769857,0.20558261344559373,0.20253780962613738,0.00025074532379039215,4.027993201067836e-05,0.130102220465044,0.0011151323459342999,0.009620550875378896,0.0008475005829100768,0.0,0.005396024046308412,0.00017788050512113074,0.0019192441430208262,0.0,0.0,0.0,2.2204460492503132e-17,0.0,3.527873239861368e-05,0.0,0.0
NN,1,0.02670976522626744,0.596958174904943,0.9944445133014197,0.05113173750203549,0.8393673094597834,0.1254542749544644,0.00684716577751292,0.13976921076825122,0.29671823589176444,0.00025074532379039215,0.01623335327054811,0.10334546462158153,0.0022710852941077555,0.06708230690469677,0.007583305455024725,0.0026095448570434554,0.04464165391022847,0.028053485802337776,0.01522257027868179,3.0277532786615602e-05,0.008775483308496401,0.011875686397750874,0.007846747023779455,0.0,0.005263154337695863,0.0010017267655417772,0.000413207222002665
RF,1,0.05062240663900415,0.6958174904942965,0.996651644193339,0.09437854564208353,0.9304392057231077,0.1870969507648608,0.004474028218859672,0.3221457441873894,0.32490188091076233,0.00025074532379039215,2.541150073160914e-05,0.03641697839684521,0.0007274042084418619,0.0044592452919450356,0.00022248579895849384,0.0,0.000347718540595876,0.00042266895099836167,0.0011267567558435054,0.0,0.0,8.785891210338903e-07,1.2165080137904739e-06,0.0,4.487562895152397e-05,0.0,0.0
LDA,2,0.0029782679510447206,0.4866920152091255,0.9590179173265019,0.005920307115931639,0.8136305573886097,0.0356084584248014,0.02608764747959857,0.057664012378683564,0.07495650696718341,0.00025074532379039215,3.395666612227011e-05,0.04852809080516085,1.6195764603366136e-05,0.08997196363438402,0.0005018645544123013,0.001333632750830227,0.05557957700473626,0.05813673852686592,0.03260050900974465,0.00039509499700582926,0.003905560999510094,0.03460585769502966,0.0008688551363710495,0.0,0.02821887419021174,0.0009061462246175544,0.00022109260166576218
QDA,2,0.49158249158249157,0.5551330798479087,0.9997444876548448,0.5214285714285715,0.7774945398476629,0.5222652477184873,0.0002555123451552285,0.27300525085143434,0.5234135598651688,0.00025074532379039215,0.0,0.008192198813217866,-0.014582040394142348,0.015687707550764783,-0.004265610539495923,-0.0007787576895857517,0.007826092873863533,0.006756355816865312,0.004016957918231756,0.005356579018999353,-0.0008176819641788402,0.21160814415591483,0.0028537209428928676,0.0,-0.0015880015243073143,-0.002378191518318906,0.00046586640535675186
LR,2,0.003368595236688139,0.6501901140684411,0.9516776578289269,0.006702465409791087,0.8312040114084758,0.04440968331302563,0.04934217642540437,0.16727495404185813,0.3050693187303168,0.00025074532379039215,0.00011459524198373928,0.07798696172899995,0.0002736948119113736,0.049630491589090275,0.0028130273830910602,0.0008575589308073006,0.023072840111056682,0.04389378844792855,0.01327100005443953,0.00030281996842504986,0.007442157983559294,0.023912978387500682,0.0010859328216016317,0.0,0.0003537209428928545,0.002257199629811013,0.00025055800533508866
