Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.038576300085251494,0.5142045454545454,0.9814422855874496,0.07176843774781919,0.9097913177482767,0.13712274363389587,0.01487500464520562,0.06392638076649333,0.06971328157919529,0.0013951976662148128,0.00040171416718550736,0.02966556257248698,-8.934493980605752e-06,0.01005473464190656,0.0006472437206805238,0.01660526415555852,0.041449001063204705,4.307874935425282e-05,0.042901218544242406,2.7334722123839583e-05,0.0003404283679358633,0.017259220820365108,0.00046879531388186455,-0.005079187386040074,0.0019481060442333442,-0.007579396863702947,7.2924788703909725e-06
QDA,1,0.0014442120904761308,0.9829545454545454,0.05175311343115571,0.002884186571860842,0.8901749857673772,0.005699535138261633,0.9476829955487028,0.057743787301956576,0.3365885793788994,0.0013951976662148128,0.002426367092278614,0.02019422624022251,0.000647485193490982,0.05720495705043864,0.016400350328753154,0.03285962002321521,0.049660766922474966,0.0031956994658380424,0.020065134875845603,-0.0015282814162766555,0.027214565253559808,0.017275544382340358,0.003409692670310194,0.01651669192874723,0.023882820006408755,0.006446551321544503,0.0009279075680718396
LR,1,0.11239711934156378,0.6207386363636364,0.9926316123253031,0.19033101045296166,0.9235767396928838,0.2620536023302133,0.00784480602554673,0.17044784832028267,0.18757955046129332,0.0013951976662148128,0.00014502856985549873,0.024555128604796604,-5.457285512422416e-06,0.0016531228591925462,-0.0002415693994064494,0.02029405109999316,0.015132280012836574,0.0007953631425077878,0.009967997608453238,0.0001408269429566511,0.002221356676348818,0.01692241454458341,0.0017476836116990802,0.0013031804625314835,0.013127524447310935,0.0025942389899867636,4.587983395332173e-06
CART,1,0.08680929659843005,0.8011363636363636,0.9879644383140305,0.15664491042910708,0.8946809141137102,0.26134665994536327,0.012035561685969543,0.06982353828804634,0.4441115571580716,0.0013951976662148128,0.015201655151230842,0.36004216598213146,0.057018298568090396,0.05472657671482521,0.0663436645865394,0.012589595467845082,0.054819640335908026,0.021266389665156926,0.004327361791225948,0.005622935860233635,0.0,0.015969756013457737,0.004272813083383143,0.001752392331499597,0.006159246971870624,0.005942549271923103,0.0
GBDT,1,0.22537494933117147,0.7897727272727273,0.995919443189295,0.35067801955219174,0.9601726092847127,0.4206050137364623,0.0034570710754058495,0.44457233794169027,0.44348190884594985,0.0013951976662148128,0.0001242619081712748,0.12346883902046066,0.000949181322657644,0.002439310034909692,0.0002802533436135901,0.00021582839783034212,0.0033716848499716788,1.7289453216240426e-05,3.641409979051602e-05,0.0,0.0,1.4826430551306835e-05,0.0,0.0,0.00011629330543196925,0.0,0.0
NN,1,0.19074138531152104,0.7784090909090909,0.9950831173155128,0.3064020128599385,0.9089329768178968,0.383867319307179,0.0044504421628169645,0.3092385683427334,0.3214792618778335,0.0013951976662148128,0.0033164841655412003,0.06567191137561512,0.0011045932233552992,0.08015583689284378,0.0326035622551919,0.006423345784476342,0.015983375079957684,0.01374757832955389,0.0009852573605138692,0.0016274784467405824,0.005155782561461519,0.020210549802197563,0.00272782174863504,0.00961544730544126,0.017449308216619476,0.0035298978352687584,-1.7386042339584406e-06
RF,1,0.2868727825646224,0.8039772727272727,0.9969380960308212,0.42286141202838995,0.9702922865634298,0.4791849154795288,0.0035172251420961254,0.5070326425936871,0.5345255004295624,0.0013951976662148128,1.9076352012259434e-05,0.04765977833278958,2.0790808965309714e-05,0.0002929065188724378,4.971925163712587e-05,7.060664972655673e-05,0.0003384965854537292,1.7458484183396906e-05,5.68185522594078e-05,8.717168451188861e-06,0.0,4.1774796178817296e-05,0.0,0.0,2.6827629222370143e-05,2.8590380737414377e-05,0.0
LDA,2,0.04040170841509869,0.4971590909090909,0.9828236105495969,0.0747304366392655,0.9186139877928254,0.1381174538225125,0.01243086703681662,0.06881717678612484,0.07705878031676683,0.0013951976662148128,-3.151465480242255e-05,0.026369716660812403,6.244389806029372e-05,0.022295740155329112,0.0007187878078288579,0.016358545057175135,0.036044910822307964,-0.00023021308980220034,0.02576079108613345,3.2978183663057156e-05,0.0003935429106660893,0.006644030753619723,3.995433789945046e-05,-0.00026338641064678204,0.0006196581196580509,0.004111784334387014,-7.366428599353547e-06
QDA,2,0.0014572409290963843,0.9829545454545454,0.06024320832045154,0.002910167502849189,0.9129494233679143,0.006644426650498295,0.9330329968524451,0.09770288202244753,0.4471540401752214,0.0013951976662148128,0.0003055848261327654,0.028527641181750774,0.00010913046871949828,0.01703171954884277,0.018635893533153737,0.013708094290286032,0.01751985520821129,0.004490643172149933,0.00694215158256255,-0.006138966943761526,0.0077144557624009066,0.049121492409163636,0.0013852788510322124,0.004811448698434995,0.00618872692502821,0.002720407446434847,0.0004703049994145392
LR,2,0.13331438317225697,0.6661931818181818,0.9934917199774865,0.22216958787304594,0.9202560039183802,0.29613652941202406,0.007424993681323844,0.24431976182108878,0.275300694289498,0.0013951976662148128,-3.453928111467608e-05,0.006638762049720937,-0.0003133903133903493,0.013754829645240574,-0.00021479725246846825,0.020786500409788,0.010763523006673626,0.0001821605588728348,0.012684160714982618,3.473441829602297e-05,0.0009694415173866489,0.06297374429223739,0.0009897357842562516,0.00012991257854264582,0.013022479803301623,-0.0020709421223120473,-7.951840143638478e-06
CART,2,0.04542645241038319,0.8352272727272727,0.9752828049814899,0.08616647127784291,0.9053528779351091,0.19140586726698755,0.024717195018510153,0.038171302480946356,0.4404418078311013,0.0013951976662148128,0.010244848378409954,0.34420998712094597,0.024806082425945487,0.09543100924950232,0.10773826249853646,0.010572532490340713,0.034536646762674136,0.021212972719822032,0.006038959138274236,0.009951118136049653,0.0,0.0,0.011750673223275943,0.012490487062404876,0.010426618662920073,0.0040182648401825725,0.0
GBDT,2,0.15182960131075915,0.7897727272727273,0.9935511744234901,0.25469537333944114,0.9595577660686335,0.34459173449998043,0.005079764475174561,0.46904945010497545,0.46815400150798664,0.0013951976662148128,0.00013723022284666263,0.13204454981852237,0.0013848885766693853,0.008203371970495255,7.937204855010816e-05,8.337236076960686e-05,0.0012148265230456756,1.8781953713475908e-05,6.546852437263606e-05,0.0,2.2204460492503132e-17,4.424735589116935e-05,0.0,0.0,0.00026050813722044985,0.0,0.0
NN,2,0.17067693294834776,0.7556818181818182,0.9945361364122809,0.2784611358283172,0.906498497230333,0.357553386932256,0.0047311879449768715,0.42994790375013403,0.45878840792508585,0.0013951976662148128,0.00247331499043828,0.06998263279085193,0.0022999356047301413,0.07348490613901577,0.03421803652968036,0.004706660032002485,0.01874429223744294,0.016947908129414914,0.000954318385825248,0.0018760488623501992,0.003907231783944143,0.04106605881434642,0.002174023338406905,0.0033312356086328656,0.01684604652070405,0.0017541369082464842,4.288139562109716e-05
RF,2,0.25432756324900135,0.8139204545454546,0.9964109332762571,0.3875549543456206,0.9662503491063239,0.4538095037843174,0.0037264213576224557,0.5337397973558626,0.5690755079112513,0.0013951976662148128,2.3440853920386752e-05,0.04181638566912538,1.0610584240677845e-05,0.00015118253131953807,2.8904695000542268e-05,0.000196039690902694,0.00011098427194318194,1.9245404519363518e-05,3.861276977714656e-05,1.5854895991651574e-06,0.0,5.902899738496892e-06,9.512937594990945e-07,0.0,1.0756937126799038e-05,2.4392147681684404e-07,0.0
