Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.04724017901541522,0.4567307692307692,0.9981979389537388,0.08562415502478593,0.8496885127020708,0.14645781267635213,0.0018390649627571282,0.048566068025865015,0.05242593305812132,0.00018473568143042259,5.4131758046715996e-05,0.02199681049392408,2.021517935268946e-06,0.10638238134812779,0.0053859976191010794,0.020203724085263032,0.0018916915612855688,0.0428694324026863,0.06633521259630279,0.0002389883425798045,0.0007466139574581643,0.01436670335347352,0.00036769165113086365,0.003509804361986424,0.0022398418723747595,0.0004038543608633205,0.0
QDA,1,0.1744868035190616,0.5721153846153846,0.9994209246909008,0.26741573033707866,0.7858076312359386,0.31574373938364714,0.0005790753090992093,0.09990563026161363,0.37334061684522146,0.00018473568143042259,0.0002448282832820281,0.002651782304979666,0.007278363019698553,0.039644662069585127,-0.008059118168953994,0.0031522203005322825,0.02034410727521845,0.0033296646526357774,0.0006450888344825323,0.01800678331573864,-0.003876372947597795,0.1008467914018103,-0.006129242380000499,0.004027312953437723,-0.003308101794658724,0.03238112351474576,0.0
LR,1,0.07835820895522388,0.8076923076923077,0.9982094849338282,0.14285714285714285,0.9028955677281477,0.25124309542537193,0.0031839058571316277,0.1425488144963029,0.23532713279478415,0.00018473568143042259,0.0004065497181105604,0.08030637227375845,6.7383931178000015e-06,0.05695244940589839,0.00028121560611846783,0.005294580085802169,0.002360683722288326,0.026031760292895445,0.0009550549179038858,8.535297949263666e-06,0.005219559309090083,0.01656746254576493,-0.00018373351901348478,-8.984524157096274e-07,-0.00027492643920845605,0.005004829181734482,0.0
CART,1,0.00978725898142179,0.8028846153846154,0.9849573642481391,0.019338775982861447,0.8939378105904401,0.08764708427126494,0.0150426357518609,0.007894453907865799,0.4063541443054673,0.00018473568143042259,0.021706161137440748,0.2849289099526066,0.07559241706161139,0.08554502369668249,0.010616113744075784,0.0,0.04331753554502364,0.04502369668246444,0.006445497630331887,0.0,0.012654028436018904,0.003791469194312791,0.0,0.0,0.0025118483412323034,0.015829383886255856,0.0
GBDT,1,0.03192702394526796,0.8076923076923077,0.995440226017001,0.061425959780621577,0.8913708921771781,0.16004396839389898,0.003775435180194073,0.32674045083480724,0.3223468027829486,0.00018473568143042259,2.2461310392740685e-06,0.10024370521776242,0.003963522831922006,0.019100199905662564,0.0002610004267649124,0.0,0.0003760023359762776,0.0011127333168617025,1.6172143482884316e-05,0.0,0.0,0.0,0.0,0.0,2.2461310392740685e-06,0.0,0.0
NN,1,0.035443037974683546,0.8076923076923077,0.9959038415252062,0.06790622473726758,0.9020875286353922,0.16868447121236996,0.00517863801966135,0.08647896691110264,0.24284176400743943,0.00018473568143042259,0.005644976527930612,0.0886747826868219,-1.2578333820023602e-05,0.07788953527548789,0.004158487006131928,0.0014995170818264958,0.028008355607466107,0.03164753711731534,0.003620763235327096,7.726690775140543e-05,0.008137283529121042,0.020044473394577777,0.004816603400642316,0.0032160104220479322,0.008493070685743764,0.0038170750881605375,0.0
RF,1,0.04916593503072871,0.8076923076923077,0.9970788670373815,0.09268965517241379,0.8942000134101614,0.19884760269638826,0.003272820141162929,0.43119846826232894,0.4653270369933473,0.00018473568143042259,4.492262078548137e-07,0.04560993688371784,0.00018373351901346258,0.004369174097616812,1.3027560027834007e-05,0.0,4.514723388961972e-05,0.00010848812919748153,0.0001776689652073893,0.0,4.3574942162094564e-05,0.0,0.0,0.0,1.3476786236088501e-06,0.0,0.0
LDA,2,0.04724017901541522,0.4567307692307692,0.9981979389537388,0.08562415502478593,0.8496885127020708,0.14645781267635213,0.0018390649627571282,0.048566068025865015,0.05242593305812132,0.00018473568143042259,5.4131758046715996e-05,0.02199681049392408,2.021517935268946e-06,0.10638238134812779,0.0053859976191010794,0.020203724085263032,0.0018916915612855688,0.0428694324026863,0.06633521259630279,0.0002389883425798045,0.0007466139574581643,0.01436670335347352,0.00036769165113086365,0.003509804361986424,0.0022398418723747595,0.0004038543608633205,0.0
QDA,2,0.1744868035190616,0.5721153846153846,0.9994209246909008,0.26741573033707866,0.7858076312359386,0.31574373938364714,0.0005790753090992093,0.09990563026161363,0.37334061684522146,0.00018473568143042259,0.0002448282832820281,0.002651782304979666,0.007278363019698553,0.039644662069585127,-0.008059118168953994,0.0031522203005322825,0.02034410727521845,0.0033296646526357774,0.0006450888344825323,0.01800678331573864,-0.003876372947597795,0.1008467914018103,-0.006129242380000499,0.004027312953437723,-0.003308101794658724,0.03238112351474576,0.0
LR,2,0.07835820895522388,0.8076923076923077,0.9982094849338282,0.14285714285714285,0.9028955677281477,0.25124309542537193,0.0031839058571316277,0.1425488144963029,0.23532713279478415,0.00018473568143042259,0.0004065497181105604,0.08030637227375845,6.7383931178000015e-06,0.05695244940589839,0.00028121560611846783,0.005294580085802169,0.002360683722288326,0.026031760292895445,0.0009550549179038858,8.535297949263666e-06,0.005219559309090083,0.01656746254576493,-0.00018373351901348478,-8.984524157096274e-07,-0.00027492643920845605,0.005004829181734482,0.0
CART,2,0.00978725898142179,0.8028846153846154,0.9849573642481391,0.019338775982861447,0.8939378105904401,0.08764708427126494,0.0150426357518609,0.007894453907865799,0.4063541443054673,0.00018473568143042259,0.021706161137440748,0.2849289099526066,0.07559241706161139,0.08554502369668249,0.010616113744075784,0.0,0.04331753554502364,0.04502369668246444,0.006445497630331887,0.0,0.012654028436018904,0.003791469194312791,0.0,0.0,0.0025118483412323034,0.015829383886255856,0.0
GBDT,2,0.03192702394526796,0.8076923076923077,0.995440226017001,0.061425959780621577,0.8913708921771781,0.16004396839389898,0.003775435180194073,0.32674045083480724,0.3223468027829486,0.00018473568143042259,2.2461310392740685e-06,0.10024370521776242,0.003963522831922006,0.019100199905662564,0.0002610004267649124,0.0,0.0003760023359762776,0.0011127333168617025,1.6172143482884316e-05,0.0,0.0,0.0,0.0,0.0,2.2461310392740685e-06,0.0,0.0
NN,2,0.035443037974683546,0.8076923076923077,0.9959038415252062,0.06790622473726758,0.9020875286353922,0.16868447121236996,0.00517863801966135,0.08647896691110264,0.24284176400743943,0.00018473568143042259,0.005644976527930612,0.0886747826868219,-1.2578333820023602e-05,0.07788953527548789,0.004158487006131928,0.0014995170818264958,0.028008355607466107,0.03164753711731534,0.003620763235327096,7.726690775140543e-05,0.008137283529121042,0.020044473394577777,0.004816603400642316,0.0032160104220479322,0.008493070685743764,0.0038170750881605375,0.0
RF,2,0.04916593503072871,0.8076923076923077,0.9970788670373815,0.09268965517241379,0.8942000134101614,0.19884760269638826,0.003272820141162929,0.43119846826232894,0.4653270369933473,0.00018473568143042259,4.492262078548137e-07,0.04560993688371784,0.00018373351901346258,0.004369174097616812,1.3027560027834007e-05,0.0,4.514723388961972e-05,0.00010848812919748153,0.0001776689652073893,0.0,4.3574942162094564e-05,0.0,0.0,0.0,1.3476786236088501e-06,0.0,0.0
LDA,3,0.04724017901541522,0.4567307692307692,0.9981979389537388,0.08562415502478593,0.8496885127020708,0.14645781267635213,0.0018390649627571282,0.048566068025865015,0.05242593305812132,0.00018473568143042259,5.4131758046715996e-05,0.02199681049392408,2.021517935268946e-06,0.10638238134812779,0.0053859976191010794,0.020203724085263032,0.0018916915612855688,0.0428694324026863,0.06633521259630279,0.0002389883425798045,0.0007466139574581643,0.01436670335347352,0.00036769165113086365,0.003509804361986424,0.0022398418723747595,0.0004038543608633205,0.0
QDA,3,0.1744868035190616,0.5721153846153846,0.9994209246909008,0.26741573033707866,0.7858076312359386,0.31574373938364714,0.0005790753090992093,0.09990563026161363,0.37334061684522146,0.00018473568143042259,0.0002448282832820281,0.002651782304979666,0.007278363019698553,0.039644662069585127,-0.008059118168953994,0.0031522203005322825,0.02034410727521845,0.0033296646526357774,0.0006450888344825323,0.01800678331573864,-0.003876372947597795,0.1008467914018103,-0.006129242380000499,0.004027312953437723,-0.003308101794658724,0.03238112351474576,0.0
LR,3,0.07835820895522388,0.8076923076923077,0.9982094849338282,0.14285714285714285,0.9028955677281477,0.25124309542537193,0.0031839058571316277,0.1425488144963029,0.23532713279478415,0.00018473568143042259,0.0004065497181105604,0.08030637227375845,6.7383931178000015e-06,0.05695244940589839,0.00028121560611846783,0.005294580085802169,0.002360683722288326,0.026031760292895445,0.0009550549179038858,8.535297949263666e-06,0.005219559309090083,0.01656746254576493,-0.00018373351901348478,-8.984524157096274e-07,-0.00027492643920845605,0.005004829181734482,0.0
CART,3,0.00978725898142179,0.8028846153846154,0.9849573642481391,0.019338775982861447,0.8939378105904401,0.08764708427126494,0.0150426357518609,0.007894453907865799,0.4063541443054673,0.00018473568143042259,0.021706161137440748,0.2849289099526066,0.07559241706161139,0.08554502369668249,0.010616113744075784,0.0,0.04331753554502364,0.04502369668246444,0.006445497630331887,0.0,0.012654028436018904,0.003791469194312791,0.0,0.0,0.0025118483412323034,0.015829383886255856,0.0
GBDT,3,0.03192702394526796,0.8076923076923077,0.995440226017001,0.061425959780621577,0.8913708921771781,0.16004396839389898,0.003775435180194073,0.32674045083480724,0.3223468027829486,0.00018473568143042259,2.2461310392740685e-06,0.10024370521776242,0.003963522831922006,0.019100199905662564,0.0002610004267649124,0.0,0.0003760023359762776,0.0011127333168617025,1.6172143482884316e-05,0.0,0.0,0.0,0.0,0.0,2.2461310392740685e-06,0.0,0.0
NN,3,0.035443037974683546,0.8076923076923077,0.9959038415252062,0.06790622473726758,0.9020875286353922,0.16868447121236996,0.00517863801966135,0.08647896691110264,0.24284176400743943,0.00018473568143042259,0.005644976527930612,0.0886747826868219,-1.2578333820023602e-05,0.07788953527548789,0.004158487006131928,0.0014995170818264958,0.028008355607466107,0.03164753711731534,0.003620763235327096,7.726690775140543e-05,0.008137283529121042,0.020044473394577777,0.004816603400642316,0.0032160104220479322,0.008493070685743764,0.0038170750881605375,0.0
RF,3,0.04916593503072871,0.8076923076923077,0.9970788670373815,0.09268965517241379,0.8942000134101614,0.19884760269638826,0.003272820141162929,0.43119846826232894,0.4653270369933473,0.00018473568143042259,4.492262078548137e-07,0.04560993688371784,0.00018373351901346258,0.004369174097616812,1.3027560027834007e-05,0.0,4.514723388961972e-05,0.00010848812919748153,0.0001776689652073893,0.0,4.3574942162094564e-05,0.0,0.0,0.0,1.3476786236088501e-06,0.0,0.0
LDA,4,0.04724017901541522,0.4567307692307692,0.9981979389537388,0.08562415502478593,0.8496885127020708,0.14645781267635213,0.0018390649627571282,0.048566068025865015,0.05242593305812132,0.00018473568143042259,5.4131758046715996e-05,0.02199681049392408,2.021517935268946e-06,0.10638238134812779,0.0053859976191010794,0.020203724085263032,0.0018916915612855688,0.0428694324026863,0.06633521259630279,0.0002389883425798045,0.0007466139574581643,0.01436670335347352,0.00036769165113086365,0.003509804361986424,0.0022398418723747595,0.0004038543608633205,0.0
QDA,4,0.1744868035190616,0.5721153846153846,0.9994209246909008,0.26741573033707866,0.7858076312359386,0.31574373938364714,0.0005790753090992093,0.09990563026161363,0.37334061684522146,0.00018473568143042259,0.0002448282832820281,0.002651782304979666,0.007278363019698553,0.039644662069585127,-0.008059118168953994,0.0031522203005322825,0.02034410727521845,0.0033296646526357774,0.0006450888344825323,0.01800678331573864,-0.003876372947597795,0.1008467914018103,-0.006129242380000499,0.004027312953437723,-0.003308101794658724,0.03238112351474576,0.0
LR,4,0.07835820895522388,0.8076923076923077,0.9982094849338282,0.14285714285714285,0.9028955677281477,0.25124309542537193,0.0031839058571316277,0.1425488144963029,0.23532713279478415,0.00018473568143042259,0.0004065497181105604,0.08030637227375845,6.7383931178000015e-06,0.05695244940589839,0.00028121560611846783,0.005294580085802169,0.002360683722288326,0.026031760292895445,0.0009550549179038858,8.535297949263666e-06,0.005219559309090083,0.01656746254576493,-0.00018373351901348478,-8.984524157096274e-07,-0.00027492643920845605,0.005004829181734482,0.0
CART,4,0.00978725898142179,0.8028846153846154,0.9849573642481391,0.019338775982861447,0.8939378105904401,0.08764708427126494,0.0150426357518609,0.007894453907865799,0.4063541443054673,0.00018473568143042259,0.021706161137440748,0.2849289099526066,0.07559241706161139,0.08554502369668249,0.010616113744075784,0.0,0.04331753554502364,0.04502369668246444,0.006445497630331887,0.0,0.012654028436018904,0.003791469194312791,0.0,0.0,0.0025118483412323034,0.015829383886255856,0.0
GBDT,4,0.03192702394526796,0.8076923076923077,0.995440226017001,0.061425959780621577,0.8913708921771781,0.16004396839389898,0.003775435180194073,0.32674045083480724,0.3223468027829486,0.00018473568143042259,2.2461310392740685e-06,0.10024370521776242,0.003963522831922006,0.019100199905662564,0.0002610004267649124,0.0,0.0003760023359762776,0.0011127333168617025,1.6172143482884316e-05,0.0,0.0,0.0,0.0,0.0,2.2461310392740685e-06,0.0,0.0
NN,4,0.035443037974683546,0.8076923076923077,0.9959038415252062,0.06790622473726758,0.9020875286353922,0.16868447121236996,0.00517863801966135,0.08647896691110264,0.24284176400743943,0.00018473568143042259,0.005644976527930612,0.0886747826868219,-1.2578333820023602e-05,0.07788953527548789,0.004158487006131928,0.0014995170818264958,0.028008355607466107,0.03164753711731534,0.003620763235327096,7.726690775140543e-05,0.008137283529121042,0.020044473394577777,0.004816603400642316,0.0032160104220479322,0.008493070685743764,0.0038170750881605375,0.0
RF,4,0.04916593503072871,0.8076923076923077,0.9970788670373815,0.09268965517241379,0.8942000134101614,0.19884760269638826,0.003272820141162929,0.43119846826232894,0.4653270369933473,0.00018473568143042259,4.492262078548137e-07,0.04560993688371784,0.00018373351901346258,0.004369174097616812,1.3027560027834007e-05,0.0,4.514723388961972e-05,0.00010848812919748153,0.0001776689652073893,0.0,4.3574942162094564e-05,0.0,0.0,0.0,1.3476786236088501e-06,0.0,0.0
LDA,5,0.04724017901541522,0.4567307692307692,0.9981979389537388,0.08562415502478593,0.8496885127020708,0.14645781267635213,0.0018390649627571282,0.048566068025865015,0.05242593305812132,0.00018473568143042259,5.4131758046715996e-05,0.02199681049392408,2.021517935268946e-06,0.10638238134812779,0.0053859976191010794,0.020203724085263032,0.0018916915612855688,0.0428694324026863,0.06633521259630279,0.0002389883425798045,0.0007466139574581643,0.01436670335347352,0.00036769165113086365,0.003509804361986424,0.0022398418723747595,0.0004038543608633205,0.0
QDA,5,0.1744868035190616,0.5721153846153846,0.9994209246909008,0.26741573033707866,0.7858076312359386,0.31574373938364714,0.0005790753090992093,0.09990563026161363,0.37334061684522146,0.00018473568143042259,0.0002448282832820281,0.002651782304979666,0.007278363019698553,0.039644662069585127,-0.008059118168953994,0.0031522203005322825,0.02034410727521845,0.0033296646526357774,0.0006450888344825323,0.01800678331573864,-0.003876372947597795,0.1008467914018103,-0.006129242380000499,0.004027312953437723,-0.003308101794658724,0.03238112351474576,0.0
LR,5,0.07835820895522388,0.8076923076923077,0.9982094849338282,0.14285714285714285,0.9028955677281477,0.25124309542537193,0.0031839058571316277,0.1425488144963029,0.23532713279478415,0.00018473568143042259,0.0004065497181105604,0.08030637227375845,6.7383931178000015e-06,0.05695244940589839,0.00028121560611846783,0.005294580085802169,0.002360683722288326,0.026031760292895445,0.0009550549179038858,8.535297949263666e-06,0.005219559309090083,0.01656746254576493,-0.00018373351901348478,-8.984524157096274e-07,-0.00027492643920845605,0.005004829181734482,0.0
CART,5,0.00978725898142179,0.8028846153846154,0.9849573642481391,0.019338775982861447,0.8939378105904401,0.08764708427126494,0.0150426357518609,0.007894453907865799,0.4063541443054673,0.00018473568143042259,0.021706161137440748,0.2849289099526066,0.07559241706161139,0.08554502369668249,0.010616113744075784,0.0,0.04331753554502364,0.04502369668246444,0.006445497630331887,0.0,0.012654028436018904,0.003791469194312791,0.0,0.0,0.0025118483412323034,0.015829383886255856,0.0
GBDT,5,0.03192702394526796,0.8076923076923077,0.995440226017001,0.061425959780621577,0.8913708921771781,0.16004396839389898,0.003775435180194073,0.32674045083480724,0.3223468027829486,0.00018473568143042259,2.2461310392740685e-06,0.10024370521776242,0.003963522831922006,0.019100199905662564,0.0002610004267649124,0.0,0.0003760023359762776,0.0011127333168617025,1.6172143482884316e-05,0.0,0.0,0.0,0.0,0.0,2.2461310392740685e-06,0.0,0.0
NN,5,0.035443037974683546,0.8076923076923077,0.9959038415252062,0.06790622473726758,0.9020875286353922,0.16868447121236996,0.00517863801966135,0.08647896691110264,0.24284176400743943,0.00018473568143042259,0.005644976527930612,0.0886747826868219,-1.2578333820023602e-05,0.07788953527548789,0.004158487006131928,0.0014995170818264958,0.028008355607466107,0.03164753711731534,0.003620763235327096,7.726690775140543e-05,0.008137283529121042,0.020044473394577777,0.004816603400642316,0.0032160104220479322,0.008493070685743764,0.0038170750881605375,0.0
RF,5,0.04916593503072871,0.8076923076923077,0.9970788670373815,0.09268965517241379,0.8942000134101614,0.19884760269638826,0.003272820141162929,0.43119846826232894,0.4653270369933473,0.00018473568143042259,4.492262078548137e-07,0.04560993688371784,0.00018373351901346258,0.004369174097616812,1.3027560027834007e-05,0.0,4.514723388961972e-05,0.00010848812919748153,0.0001776689652073893,0.0,4.3574942162094564e-05,0.0,0.0,0.0,1.3476786236088501e-06,0.0,0.0
