Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
LDA,1,0.0398019424871453,0.22473118279569892,0.9962750527426161,0.06762659763792266,0.8039735799229077,0.09333480834962292,0.0037528972378660643,0.015490588926372263,0.01699559113760328,0.0006011106974435344,-6.467255279116735e-05,0.08519614470157448,0.00011112822025209912,0.03698544476081853,0.00411743366365569,0.005682206696401781,0.00732141319184354,0.03891445110540996,0.07516140734573715,-2.296684683500416e-06,0.0003805710915254723,-0.0003508185853988488,-2.8656361164158816e-05,0.0024916940920395756,-3.721673134797765e-05,0.0008986822771628544,0.00036365914067453263
QDA,1,0.03796844181459566,0.4967741935483871,0.9921312670637875,0.07054512139257901,0.7938234203488221,0.1357392228152622,0.007779733634872351,0.03640133133097177,0.2635458632092958,0.0006011106974435344,0.0049885035272378975,0.012838519577932028,-0.02516252958938927,0.046839526987349986,0.010818637596206382,0.0053017921970138545,0.0032861382030009655,0.019640673241796636,0.019554443171408354,0.00016525690245099421,0.00567771772179324,0.03895981062790845,0.010750415621631681,0.0008056665474826419,0.00844637110770674,0.000886676879953896,0.010629317701958274
LR,1,0.10141176470588235,0.46344086021505376,0.9972090365682138,0.16640926640926643,0.8610869367807673,0.21586752811764823,0.0063968028368261275,0.19217351189076376,0.2289338567927508,0.0006011106974435344,-8.925751838106954e-06,0.03500220533926986,0.00029590694251229176,0.060146935622362306,0.0014008732621535013,0.0005580421807020563,-0.00014406476650816736,0.012373597521668356,0.026172966455354208,-7.516422600484241e-06,0.00037910956490869727,0.034914043965852404,-0.00046330393750939616,0.004089142684145797,0.0013000279255978241,0.0002983080219541412,0.00012203747249843744
CART,1,0.01045717090112877,0.5956989247311828,0.9658724249193348,0.020553535653335314,0.7808969993690696,0.0757192328529772,0.034127575080665176,0.006472355162864632,0.3031995626668218,0.0006011106974435344,0.03297253634894992,0.23760904684975764,0.14975767366720513,0.21880452342487883,0.04969305331179326,0.00652665589660748,0.12439418416801291,0.13537964458804522,0.01736672051696291,0.0008077544426494665,0.0013570274636510282,0.0008239095315024425,0.05693053311793219,0.0032794830371566607,0.08628432956381256,0.0,0.0017609046849757614
GBDT,1,0.11458561119615132,0.5634408602150538,0.9971204858525688,0.19044157732146103,0.9006612988832506,0.25320850344676893,0.002773551506323121,0.2619901507655335,0.2608504713436268,0.0006011106974435344,0.0005138831979245362,0.11991627540381185,0.007929121178825516,0.019943209251463402,0.0034254530080043864,4.890894428180026e-05,0.02028217903179077,0.013773270244100955,0.0005887864370329066,0.0,1.5659213745689015e-07,2.4898149863861187e-05,0.0003351071742687006,-4.4408920985006264e-17,0.00028426692695753263,0.0,-4.4408920985006264e-17
NN,1,0.150117508813161,0.5494623655913978,0.9978592702903947,0.23580987540378404,0.9040306356402398,0.28645142625215564,0.004731993160804113,0.263052802038673,0.2939564161268894,0.0006011106974435344,0.014156399007205844,0.08920657373793264,0.00037060139210414177,0.04577965920331151,0.03474534203637634,0.008517150753860702,0.06852341443936102,0.03794744245891417,0.012758657587802568,6.446376327440273e-05,0.010630727031195785,0.02309107659704408,0.02635383037417689,0.003657626950550874,0.018121155336790616,0.008411085679388041,0.0010105934581025044
RF,1,0.13782463358189767,0.5763440860215053,0.9975781056093324,0.22245279103548454,0.9117038286667669,0.281049719288205,0.005092216973814842,0.30511079409110986,0.3172523034982611,0.0006011106974435344,0.00011384248396888453,0.03703508446840882,0.0028388849595861964,0.0016629041055849169,0.0007447522059917278,0.00022444873042926083,0.0031266230122585447,0.005203974308449944,0.0006406445332379773,3.914803437421455e-07,1.0961449625535024e-06,4.723862814826063e-06,0.0004253564428530421,2.2204460492503132e-17,0.0013932524447947347,0.0,1.0700462729884564e-06
LDA,2,0.0398019424871453,0.22473118279569892,0.9962750527426161,0.06762659763792266,0.8039735799229077,0.09333480834962292,0.0037528972378660643,0.015490588926372263,0.01699559113760328,0.0006011106974435344,-6.467255279116735e-05,0.08519614470157448,0.00011112822025209912,0.03698544476081853,0.00411743366365569,0.005682206696401781,0.00732141319184354,0.03891445110540996,0.07516140734573715,-2.296684683500416e-06,0.0003805710915254723,-0.0003508185853988488,-2.8656361164158816e-05,0.0024916940920395756,-3.721673134797765e-05,0.0008986822771628544,0.00036365914067453263
QDA,2,0.03796844181459566,0.4967741935483871,0.9921312670637875,0.07054512139257901,0.7938234203488221,0.1357392228152622,0.007779733634872351,0.03640133133097177,0.2635458632092958,0.0006011106974435344,0.0049885035272378975,0.012838519577932028,-0.02516252958938927,0.046839526987349986,0.010818637596206382,0.0053017921970138545,0.0032861382030009655,0.019640673241796636,0.019554443171408354,0.00016525690245099421,0.00567771772179324,0.03895981062790845,0.010750415621631681,0.0008056665474826419,0.00844637110770674,0.000886676879953896,0.010629317701958274
LR,2,0.10141176470588235,0.46344086021505376,0.9972090365682138,0.16640926640926643,0.8610869367807673,0.21586752811764823,0.0063968028368261275,0.19217351189076376,0.2289338567927508,0.0006011106974435344,-8.925751838106954e-06,0.03500220533926986,0.00029590694251229176,0.060146935622362306,0.0014008732621535013,0.0005580421807020563,-0.00014406476650816736,0.012373597521668356,0.026172966455354208,-7.516422600484241e-06,0.00037910956490869727,0.034914043965852404,-0.00046330393750939616,0.004089142684145797,0.0013000279255978241,0.0002983080219541412,0.00012203747249843744
