Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.07142857142857142,0.02158273381294964,0.9915901773271181,0.03314917127071823,0.5994786173963587,0.03574726784414451,0.014063864743522694,0.015893456465552777,0.014626526614075703,0.006679802008746216,0.012484214324373077,0.01635830309833559,0.03520133278988291,0.0015679880975449033,0.00045926015016157785,0.016126668493016492,0.04457986159832332,0.025679814157774383,0.06349238167146642,0.01341119819681369
QDA,1,0.005916505391208184,0.7697841726618705,0.1345091066365515,0.011742756804214223,0.468772732177103,-0.024144744527657767,0.8335787153750881,0.017473311370786702,0.021123089292169567,0.006679802008746216,0.15483748827906615,0.07029709365387993,0.04198421766525671,0.0018655494751470992,0.053444785214584845,0.03294423174151351,0.042443032364254216,0.006051899515126325,0.012317615589008879,-0.008397199893982688
LR,1,0.2,0.1223021582733813,0.9908693353837282,0.1517857142857143,0.6027621444208929,0.15199296044729022,0.01614700930318324,0.051863697172470885,0.06458052751254326,0.006679802008746216,0.014117683743037079,0.17008127256488553,0.01870449437951991,0.0004222877035433781,0.07518636563077,0.05307817890655107,0.028569901310294642,0.016501292922003752,0.04410055614577837,0.017194860384468914
CART,1,0.099644128113879,0.2014388489208633,0.9825075688404056,0.13333333333333333,0.7115269758068726,0.13352719861660395,0.017564764352246416,0.046192446692417545,0.09759075705695985,0.006679802008746216,0.02648964437406325,0.05324789580006373,0.14774768755164452,0.0,0.23382800685103894,0.29003147112474204,0.06490290278251076,0.08358579278057306,0.04052803780989485,0.06334204190359116
GBDT,1,0.23636363636363636,0.2805755395683453,0.9891393147195925,0.2565789473684211,0.9215392272539007,0.2520861864682598,0.009267708688604945,0.17835233144699575,0.17789077358000174,0.006679802008746216,0.0004592601501615556,0.0540755440629155,0.028190822369666545,0.0,0.06721613067755346,0.14518589790704767,0.014290964245862337,0.0038308800110471663,0.013326117024475304,0.0002481162983899443
NN,1,0.10628019323671498,0.31654676258992803,0.9776538997549138,0.15913200723327306,0.75162836349208,0.17420994025796213,0.018141003858165902,0.0554360574894672,0.05381562088753858,0.006679802008746216,0.25803382310688827,0.08844967404111066,0.22327393242060384,0.003476300884443284,0.053359926767828546,0.044150001224990666,0.3033738471167059,0.16769810883708286,0.12432096538176278,0.24688373501892044
RF,1,0.20958083832335328,0.2517985611510791,0.9886587534239992,0.22875816993464052,0.9332045539185488,0.22404754302641858,0.013190891080291013,0.15142731453765335,0.14618163431897316,0.006679802008746216,0.000309588559032381,0.002948886706178255,0.004383239454500654,0.0,0.04978362209705052,0.009213711877732678,0.011672156852264016,0.0013301171759288132,0.0010481465890692433,0.000719849081145707
LDA,2,0.0625,0.014388489208633094,0.9919746263635927,0.023391812865497078,0.5996857086174311,0.02689357352495206,0.014972960038823988,0.01690182476101352,0.015358011844462952,0.006679802008746216,-0.0036312242665980767,0.015783019171384405,0.00672968669583116,0.005979397195059133,0.0015789854606278908,0.004494499485331982,0.016805117730313946,0.015894798636129682,0.02257342061245495,8.403564076164827e-05
QDA,2,0.0058598028477546546,0.7697841726618705,0.12609928396366957,0.011631066905810098,0.4441582873033939,-0.026943403100839106,0.8513770004077144,0.006047694852066608,0.005882975453969948,0.006679802008746216,0.2140645104220278,0.09156708376222333,0.07273103769943386,0.009890472207925872,0.0667037924601132,0.05079652920741122,0.026196603190941838,0.032022404143077686,0.03698734238291299,0.04274478898610397
LR,2,0.2328767123287671,0.1223021582733813,0.9914460089384401,0.16037735849056603,0.6092618503165537,0.16476280546916533,0.017603739171233323,0.048929210788526314,0.06453245162289514,0.006679802008746216,0.05703929168811124,0.21400098108594964,0.018203567292846244,0.007875627251672745,0.08427648932063822,0.05821418232115292,0.03612487133299032,0.01713040401441075,0.029814156587750995,0.016511998198661913
CART,2,0.03932584269662921,0.1510791366906475,0.9696765822480657,0.06240713224368499,0.6485635874464435,0.06504205980553143,0.09933074697313167,0.021807077276503196,0.07371576786046727,0.006679802008746216,0.30649728190941844,0.01585257977354613,0.31333794390118386,0.009311872748327388,0.09563798732629962,0.27817425533968093,0.09495766051209484,0.12433354509778696,0.02448995593154919,0.15035725199433872
GBDT,2,0.13942307692307693,0.20863309352517986,0.986111778557355,0.1671469740634006,0.8552000779637537,0.1637470995645413,0.011010096039186967,0.11991558717770939,0.11517412421626905,0.006679802008746216,0.00011539822439519121,0.07864208054554808,0.024108578872877005,0.0,0.04991696957025218,0.11984668521616049,0.020269275926402396,0.01340971596757592,0.0098900701235203,0.002382752187339121
NN,2,0.09557109557109557,0.2949640287769784,0.9766447210341679,0.1443661971830986,0.6289948592649828,0.1583285936580797,0.022014843470024633,0.050610955620064964,0.05204509578835672,0.006679802008746216,0.3067099845599589,0.12943519203551226,0.30535536219763265,0.012568354348945054,0.040222312467833365,0.06502890986875975,0.22186454580545564,0.14847207925887818,0.20593195123520341,0.20897211142563052
RF,2,0.2702702702702703,0.14388489208633093,0.9916862895862367,0.18779342723004694,0.8663233129026531,0.19331569421446523,0.009651156165672655,0.1371658220294989,0.1339877339312335,0.006679802008746216,8.443772516730785e-05,0.0015608916623777835,0.0026674279464745654,0.0,0.043318362390633094,0.01881091578744216,0.005774736232630006,0.002030124163664504,0.00240004181677822,0.0003506176016469853
LDA,3,0.03816793893129771,0.03597122302158273,0.9875054063145754,0.037037037037037035,0.6563841524748271,0.030768187914747724,0.01444083074487641,0.01841615434107973,0.01696573902582177,0.006679802008746216,-0.018639822908756078,0.0223002933823919,-0.0031046366420989457,0.001780145560138724,0.003113408106217741,0.0166980977464261,-0.007446511380974718,0.01184840140066421,0.019058544906433772,-0.005541257043139547
QDA,3,0.006313657752099589,0.762589928057554,0.19669373828631842,0.012523629489603024,0.5005093747933438,-0.009185973451816591,0.7771423477895756,0.008072927246737919,0.011065240984149278,0.006679802008746216,0.1529249370416621,0.1383823111884641,0.059072579249024135,0.006219891372341735,0.12255443501383811,0.04107584315698838,0.02048321534175237,0.006334843717900496,0.03515556653270944,0.04908649817761286
LR,3,0.2,0.08633093525179857,0.9915901773271181,0.1206030150753769,0.6738226254990203,0.12762267487391296,0.014897699385851833,0.042367593651776336,0.03989901906778431,0.006679802008746216,0.03949559464756023,0.16685910027860934,0.012419931536414186,0.005361672856704258,0.07425552198290479,0.0478197140964353,0.0089805942897768,0.03189950672055726,0.02542016467269741,0.048676085988047665
CART,3,0.07722007722007722,0.28776978417266186,0.9722716132442694,0.121765601217656,0.6306284435441487,0.13836424444903767,0.027082798891838514,0.030847521008081503,0.1718998238472819,0.006679802008746216,0.12901392585342888,0.043163682445299556,0.20786061681858997,0.0,0.3631540800003693,0.2619288449597551,0.15800753884258217,0.03480055306389547,0.09000860988451671,0.09847976677138563
GBDT,3,0.16923076923076924,0.23741007194244604,0.9871209572781008,0.19760479041916168,0.8667376693710344,0.1940882747450098,0.010591096848624894,0.1401077535836641,0.13750986372365753,0.006679802008746216,0.0,0.06012977150335974,0.016483427703515297,0.0,0.11198066584645783,0.07437509088852623,0.011026884537524517,0.0022944303511124977,0.012354376383525345,4.524228861342294e-05
NN,3,0.07156673114119923,0.26618705035971224,0.9720313325964727,0.1128048780487805,0.5901368890373913,0.12714920161015483,0.02292281806245796,0.0420004077800745,0.056840229135042844,0.006679802008746216,0.35139685566094137,0.11202521565106191,0.2840730986120312,0.006544897200748823,0.05341359992428847,0.04350784699796646,0.21894220759285637,0.21821786931903434,0.15012176177165112,0.2991618635206349
