Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
QDA,1,0.05930807248764415,0.2482758620689655,0.938544961590601,0.09574468085106383,0.6355610553239863,0.09788198757422906,0.05467754955780501,0.06795579762267424,0.10169296700994697,0.013104383190239493,0.0003733623078861603,0.00919516880826412,0.05636133156966492,0.009244771982867283,-0.0001749496094733516,0.0021826971529353536,0.005180933484504968,0.02268786218190986,0.06802957294028726,0.01749370118417748
LR,1,0.0,0.0,0.9857207410754631,0.0,0.6276889130983959,-0.003952063554071305,0.02066143638594266,0.06862031508216904,0.06753070109507531,0.013104383190239493,0.0,-0.00018534265558070028,0.085332105064248,0.0,0.0,0.0,0.0,0.04578404509952132,0.07004346182917616,0.006656431090954995
CART,1,0.14705882352941177,0.29310344827586204,0.9684591052869408,0.195852534562212,0.7459946160161678,0.1929004950581635,0.029289777934522844,0.10105069099060887,0.15686759432832448,0.013104383190239493,0.08188539304610731,0.05580262660619804,0.24054437515747037,0.0,0.15439121945074324,0.1056346056941295,0.10068956286218192,0.09695231796422277,0.2145445956160242,0.10485701688082634
GBDT,1,0.2710526315789474,0.35517241379310344,0.9790329868956168,0.3074626865671642,0.8725605500821019,0.29981326830813965,0.016454724106870138,0.28136410360643055,0.28019444670696914,0.013104383190239493,0.005929232804232765,0.0012728332073569603,0.062295918367346916,4.094230284703571e-05,0.01712899974804727,0.017363945578231222,0.033072877299067695,0.01764235323759127,0.07054925673973285,0.004672146636432295
NN,1,0.20418848167539266,0.2689655172413793,0.9766832354270222,0.23214285714285715,0.7615000947328533,0.2226909997341524,0.022978342914253286,0.11871364735149172,0.11705547370146585,0.013104383190239493,0.15209860796170332,0.017200018896447643,0.2078909989921896,0.013886369362560025,0.015070074326026783,0.0004067460317461524,0.07246677374653573,0.09721702569916865,0.1813893613000757,0.1004645376669187
RF,1,0.3617021276595745,0.35172413793103446,0.9833709896068685,0.3566433566433566,0.9025430245042314,0.34825662052821027,0.016987551617863958,0.3244605753722814,0.32354497058283954,0.013104383190239493,0.004043997228521001,0.0007934933232552233,0.06878102166792636,0.00011463844797177103,0.013240425799949617,0.010381078357268803,0.02589411690602166,0.01542564247921383,0.07661911060720579,0.008327664399092915
LDA,2,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
QDA,2,0.05862646566164154,0.2413793103448276,0.9392679620424763,0.09433962264150943,0.6386376626247315,0.09559463686654338,0.05289335795146791,0.07218245312787992,0.09217720224201997,0.013104383190239493,0.0008889203829680614,0.005678539934492366,0.05368150037792896,0.00794217687074834,-0.000373992189468364,0.0018309082892416172,0.005161092214663698,0.020819318468128012,0.0680371315192744,0.01529383975812546
LR,2,0.0,0.0,0.9868956168097605,0.0,0.6422426424150562,0.0,0.01915872471725916,0.05720404333861798,0.05642680068032791,0.013104383190239493,-0.0005122511967750709,-0.00045146762408676544,0.04757322373393791,0.003033194759385127,-0.0004675296044344579,3.133660871752486e-05,0.004275163769211265,0.0184641912320483,0.06777415595867968,0.008517573696145008
CART,2,0.058823529411764705,0.5517241379310345,0.8784455490284682,0.10631229235880399,0.7330961064797272,0.15049632463657214,0.0822612951741296,0.10648787224496159,0.16097617071623344,0.013104383190239493,0.05981607457797942,0.06465088813303106,0.20598198538674728,0.0,0.1575116528092719,0.1546151423532377,0.0912646447467876,0.09079963466868235,0.24944586167800456,0.10187767699672468
GBDT,2,0.27053140096618356,0.38620689655172413,0.9783099864437416,0.3181818181818182,0.8497583522799039,0.31255070119601003,0.017584809872324907,0.2675045245414091,0.2658912084770133,0.013104383190239493,0.016188744016124867,0.0011950428319475348,0.1171469513731418,1.3227513227453968e-05,0.027079396573444093,0.01587033887629119,0.041169690098261436,0.023076971529352352,0.07404887881078351,0.009066672965482424
NN,2,0.23125,0.25517241379310346,0.9791233619521013,0.24262295081967214,0.7598569533914361,0.2323537818079708,0.024078419543099475,0.13222208834252747,0.12981748786477523,0.013104383190239493,0.09125535399344917,0.02454979213907784,0.13266109221466363,0.011122606449987305,0.01660383597883599,0.0013314121945073865,0.13219986142605183,0.07131598009574194,0.24623299319727887,0.06744362559838749
RF,2,0.41232227488151657,0.3,0.985223678264799,0.34730538922155685,0.899127352532525,0.3444268137261626,0.016890768510590966,0.3409330140152811,0.3398032693027636,0.013104383190239493,0.006076625094482324,0.002875881834215255,0.0761752015621064,2.5195263291921675e-06,0.022792894935752206,0.016738945578231367,0.025629409171075923,0.020390211640211754,0.08088955026455033,0.011058830939783392
LDA,3,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
QDA,3,0.06118881118881119,0.2413793103448276,0.9415273384545866,0.09762900976290098,0.6406414993052925,0.09872081454619995,0.04894452766054474,0.06737055812760845,0.06620085783861897,0.013104383190239493,0.0001677059712773987,0.0005900415721844965,0.04785887503149413,0.0062103174603175045,-0.0007616843033509069,0.0007758566389519439,0.005843253968254025,0.017643770471151444,0.0668331128747796,0.012002078609221556
LR,3,0.0,0.0,0.9858563036601898,0.0,0.6316001168371856,-0.003716821411639533,0.021189637983420002,0.07068859242382874,0.06954597806472237,0.013104383190239493,0.0,0.0005679957168052586,0.0834840325018896,0.0,0.0,0.0,0.0,0.049595773494582954,0.08115079365079358,0.0033152242378433174
CART,3,0.058823529411764705,0.5517241379310345,0.8784455490284682,0.10631229235880399,0.7330961064797272,0.15049632463657214,0.0822612951741296,0.10648787224496159,0.16097617071623344,0.013104383190239493,0.05981607457797942,0.06465088813303106,0.20598198538674728,0.0,0.1575116528092719,0.1546151423532377,0.0912646447467876,0.09079963466868235,0.24944586167800456,0.10187767699672468
GBDT,3,0.25733634311512416,0.3931034482758621,0.9771802982376864,0.31105047748976805,0.8629004041935076,0.30694510789340895,0.01810634590488607,0.26203684245993997,0.2598983815759713,0.013104383190239493,0.005600434618291783,0.0025724363819602304,0.06105205971277401,2.4250440917117365e-05,0.025559492315444722,0.028635046611237103,0.045908761652809285,0.031656746031746064,0.0721397077349459,0.00926351095993958
NN,3,0.1797153024911032,0.3482758620689655,0.9706281066425666,0.23708920187793428,0.7690814860426929,0.23649544420040067,0.026197441942950442,0.1332191565795428,0.13338612273932665,0.013104383190239493,0.16191499748047355,0.04369960947341889,0.19926193625598373,0.015589254220206471,0.012816672965482367,0.004370905769715172,0.12566121819098003,0.10265195893172072,0.2065839947089946,0.11339758125472395
RF,3,0.38425925925925924,0.28620689655172415,0.9846362403976503,0.3280632411067193,0.899563597322218,0.3240241017663823,0.016535281929385984,0.2822944056782244,0.2820414117007062,0.013104383190239493,0.006334876543209922,0.0011570924666163052,0.08918304358780553,0.0001229843789367857,0.025757117661879603,0.01509495464852606,0.020765621063240182,0.023429075333837267,0.0912211829176115,0.014198790627362023
LDA,4,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
QDA,4,0.06118881118881119,0.2413793103448276,0.9415273384545866,0.09762900976290098,0.6401550461033221,0.09872081454619995,0.04977561533091277,0.0671843498196298,0.06601834428809866,0.013104383190239493,0.00024707105064234456,0.0008681342907532307,0.04886920508944308,0.006780045351473874,-0.000745937263794505,0.0010221403376164506,0.00585175736961443,0.018264518770471062,0.06715718694885353,0.012519526329050023
LR,4,0.0,0.0,0.9868504292815183,0.0,0.6416856132373374,-0.0007746254965308403,0.01911723011283875,0.05737506113374483,0.056597535612548905,0.013104383190239493,-0.0004448538674729274,-0.0005771289997480444,0.04895455404383973,0.0030322499370118326,-0.0005415406903502174,3.4800957420011434e-05,0.004206506676744759,0.019784108087679476,0.0683243575207861,0.00854213907785344
CART,4,0.058823529411764705,0.5517241379310345,0.8784455490284682,0.10631229235880399,0.7330961064797272,0.15049632463657214,0.0822612951741296,0.10648787224496159,0.16097617071623344,0.013104383190239493,0.05981607457797942,0.06465088813303106,0.20598198538674728,0.0,0.1575116528092719,0.1546151423532377,0.0912646447467876,0.09079963466868235,0.24944586167800456,0.10187767699672468
GBDT,4,0.3076923076923077,0.3448275862068966,0.9812471757794848,0.3252032520325204,0.8573253757736516,0.31625301429694685,0.016537827926289345,0.2658408144760594,0.26340872798797893,0.013104383190239493,0.005770975056689243,0.005243291761148794,0.06638369236583508,0.0,0.03075239355001249,0.029746787603930302,0.049415627362055736,0.022856827916351574,0.075881991685563,0.01416997354497338
NN,4,0.15654205607476634,0.23103448275862068,0.9736104835065522,0.18662952646239553,0.7802928824049513,0.17712967817475186,0.024302179762258243,0.08936205393453932,0.09001555346749564,0.013104383190239493,0.12656620055429577,0.03419516880826403,0.20150163769211388,0.016528565129755646,0.019923941798941792,0.0014605379188712408,0.0639405391786344,0.07155738221214417,0.13813901486520536,0.039323979591836686
RF,4,0.3607142857142857,0.3482758620689655,0.9833709896068685,0.35438596491228064,0.8902853827207275,0.34602026378922957,0.01728332444525059,0.31468009241894573,0.3137279790397069,0.013104383190239493,0.0029440665154951027,0.0010004094230284366,0.0636240236835475,1.5117157974353645e-05,0.017578105316200566,0.012297335600907022,0.02845175107079867,0.016510141093474484,0.07323538674729146,0.01085081254724114
LDA,5,0.15759312320916904,0.1896551724137931,0.9760957975598735,0.17214397496087638,0.6344636541619301,0.16082883196563919,0.02318290889827766,0.06727159337555318,0.06631130623310072,0.013104383190239493,-0.0026721151423532374,-0.0011909486016628223,0.06378385613504667,0.0031009070294785836,-0.0006369677500629445,0.00040328168304366586,-0.0003327349458300821,0.04581711388259013,0.0795797115142354,0.007057193247669513
QDA,5,0.05863192182410423,0.2482758620689655,0.9379123361952101,0.09486166007905139,0.6377275167361374,0.09703659107732814,0.05358240410879399,0.06963783399970437,0.09467517742515982,0.013104383190239493,0.0005673658352228772,0.007512125220458454,0.05448554421768694,0.008126417233559979,-0.0002527399848829104,0.0019871189216426497,0.004889298311917245,0.02106654698916597,0.06764440035273364,0.015709561602418654
LR,5,0.0,0.0,0.9858111161319476,0.0,0.631141136162688,-0.003796848075697825,0.02113209147668714,0.07065444545716024,0.06951417841849403,0.013104383190239493,0.0,0.0005528785588310603,0.0832427878558832,0.0,0.0,0.0,0.0,0.04875708616780057,0.07891187956664161,0.0032210569412951307
CART,5,0.058823529411764705,0.5517241379310345,0.8784455490284682,0.10631229235880399,0.7330961064797272,0.15049632463657214,0.0822612951741296,0.10648787224496159,0.16097617071623344,0.013104383190239493,0.05981607457797942,0.06465088813303106,0.20598198538674728,0.0,0.1575116528092719,0.1546151423532377,0.0912646447467876,0.09079963466868235,0.24944586167800456,0.10187767699672468
GBDT,5,0.3163841807909605,0.38620689655172413,0.9810212381382738,0.34782608695652173,0.8670875963117342,0.3400260235679201,0.016644969619609255,0.28665698327395134,0.2853640934680332,0.013104383190239493,0.010895849080372865,0.0019231859410430818,0.09249700806248422,-3.1494079113514315e-07,0.01892463466868226,0.02048768581506677,0.04041099773242633,0.026436287477954123,0.09110607205845296,0.006553130511463823
NN,5,0.09750566893424037,0.1482758620689655,0.9708540442837776,0.11764705882352942,0.7852883036503726,0.10582899963410553,0.0251492022954738,0.0816288182554161,0.08017239054170301,0.013104383190239493,0.08961529982363318,0.019250913328294362,0.15914414840010083,0.008124527588813324,0.013226410934744326,0.0013808578987150265,0.08134495464852613,0.08987040186444954,0.16881786974048885,0.10008251448727645
RF,5,0.17101827676240208,0.4517241379310345,0.9641211025756891,0.2481060606060606,0.8944926266262472,0.2629356900750482,0.03191021495117327,0.17259384004458367,0.17274641179119415,0.013104383190239493,0.006102450239355029,0.0020083774250441166,0.07596812799193745,0.00012440161249687164,0.01684161627614007,0.011762566137566122,0.024646951373141834,0.01136463844797173,0.05933515998992187,0.0035742630385487972
LDA,6,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
QDA,6,0.06086956521739131,0.2413793103448276,0.9412562132851333,0.09722222222222222,0.6400640236200581,0.09833626599780067,0.05050766836191268,0.06716492141534591,0.06601276101819986,0.013104383190239493,0.00023604812295283662,0.0011717372134038672,0.04984363189720329,0.007217183169564145,-0.0006016943814562969,0.0011890589569161225,0.005733024691358035,0.01871771856890907,0.0674009511211892,0.013018707482993186
LR,6,0.0,0.0,0.9858111161319476,0.0,0.6311209264873058,-0.003796848075697825,0.021129547096670274,0.0706252973041842,0.06948534503170775,0.013104383190239493,0.0,0.0005724048878810395,0.08324341773746531,0.0,0.0,0.0,0.0,0.04874795288485767,0.07887534643487024,0.003239953388762884
CART,6,0.058823529411764705,0.5517241379310345,0.8784455490284682,0.10631229235880399,0.7330961064797272,0.15049632463657214,0.0822612951741296,0.10648787224496159,0.16097617071623344,0.013104383190239493,0.05981607457797942,0.06465088813303106,0.20598198538674728,0.0,0.1575116528092719,0.1546151423532377,0.0912646447467876,0.09079963466868235,0.24944586167800456,0.10187767699672468
GBDT,6,0.2918781725888325,0.39655172413793105,0.9794848621780389,0.3362573099415205,0.8523647688518379,0.3300398147657369,0.016993214199225976,0.2682018972510972,0.2668611252766265,0.013104383190239493,0.005681059460821358,0.0013191295036533157,0.06499543335852857,7.24363819604168e-06,0.02517620937263798,0.012761243386243381,0.03568405139833712,0.020687673217435164,0.05229481607457802,0.0048924477198286406
NN,6,0.22570532915360503,0.2482758620689655,0.9789877993673746,0.23645320197044337,0.7954130352406215,0.2260886929752409,0.02196728196351506,0.11479123725743087,0.11274854276241188,0.013104383190239493,0.10799603174603176,0.01732709750566892,0.14933610481229526,0.011534076593600373,0.012896667926429784,0.0002464411690601853,0.04244897959183676,0.058671579743008316,0.1878421831695642,0.032854780801209425
RF,6,0.13675213675213677,0.496551724137931,0.9523271577044735,0.2144452717795979,0.8886996336996337,0.24302565162453035,0.04029763642674688,0.21598499436939883,0.21606889020480796,0.013104383190239493,0.009213750314940738,0.0026648715041571736,0.1074714978584026,9.29075333836904e-05,0.021800044091710703,0.012018770471151342,0.028030517762660523,0.012705498866213106,0.050472411186696854,0.005659958427815526
LDA,7,0.1569767441860465,0.18620689655172415,0.9762313601446001,0.17034700315457416,0.6336718453959834,0.15897320873878631,0.02303603397698297,0.06838306242923387,0.06736693694839566,0.013104383190239493,-0.003186098513479596,0.0003947782816829504,0.06224474048878801,0.003074137062232163,0.00030092592592585455,0.00040737591332817846,-0.0005078420256992233,0.044592309145880527,0.07807020030234306,0.006777525825144815
