Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.04005524861878453,0.08123249299719888,0.9607625038355324,0.05365402405180389,0.7137338232979367,0.03833798844809972,0.03590128330012097,0.04403120383803916,0.043312085142595755,0.013692850567658791,-0.00017228220928271475,0.00028280287184112574,-0.013441121600995042,0.0046480863813668,-1.0317146249216869e-05,0.00029340267963129385,0.0018170897167730127,0.01692506642546201,0.056779778393351646,-0.00123424161908543
QDA,1,0.05108827085852479,0.4733893557422969,0.8723918379871126,0.09222373806275581,0.7552787477036313,0.12266590172453473,0.15920596552391078,0.046335746560411076,0.06415890859437277,0.013692850567658791,0.02550808412007468,0.0021201028888009786,0.022909152580699876,0.010725874837469628,0.0027659845101475566,0.004405280117587162,0.02902439369099443,0.04496735259200633,0.08508183051614007,0.040766436768613266
LR,1,0.0,0.0,0.9863071494323412,0.0,0.7019532137179196,0.0,0.019450004873675802,0.04045065567698139,0.03974743243616943,0.013692850567658791,-0.0016514500537057719,0.0005397422126745211,-0.012836508564644777,0.0025145570693650976,-0.00012281643959526355,0.00029651195658315644,0.0061432246028604535,0.015958646616541273,0.04446760698739323,0.0013337384815421017
CART,1,0.14534883720930233,0.0700280112044818,0.9816277999386315,0.0945179584120983,0.791520551444377,0.09232130367425061,0.025548532103100683,0.061190118213080645,0.06592405680802366,0.013692850567658791,0.06388588953586975,0.022640200124371134,0.10278181355644755,0.0,0.043827237266097566,0.035039148623438356,0.30714229181977504,0.07500678387698576,0.06741449488382614,0.05256034823901867
GBDT,1,0.2599009900990099,0.29411764705882354,0.9788662166308684,0.2759526938239159,0.9125128877139035,0.2657933119289628,0.01785345064907494,0.2179675588120656,0.21513058512503058,0.013692850567658791,0.0036244276103793325,0.05737647690655208,0.030841342076997024,7.631861608903279e-05,0.034155972638362786,0.034077392729945165,0.024547034880434082,0.02426635197015088,0.05035092430323931,0.01728630787495049
NN,1,0.06581740976645435,0.2605042016806723,0.9392451672292114,0.10508474576271187,0.7547882384530713,0.1073674703589734,0.057643258202696314,0.05132527230318557,0.0500646508398467,0.013692850567658791,0.25520648425575215,0.014405986771439849,0.3057815591610605,0.008654531064503358,0.01624780937305672,0.010425970942393592,0.16046709819661933,0.12870696478037189,0.20669667590027702,0.20647167731358468
RF,1,0.1855541718555417,0.4173669467787115,0.9669377109542805,0.2568965517241379,0.9222509069737168,0.2636263801399094,0.027255294823361007,0.18195572118426526,0.18090482401362115,0.013692850567658791,0.0035840070100061406,0.013075074905308348,0.019047713268132725,4.239923116067245e-06,0.024102549607100454,0.019338148001582844,0.00883896772005197,0.009937814460964423,0.03588685058510934,0.012397111199050204
LDA,2,0.04741379310344827,0.06162464985994398,0.9701979134703896,0.0535931790499391,0.7170307905390427,0.03905870498475643,0.027075706194611672,0.04604856811737804,0.04534208368785535,0.013692850567658791,0.004583215557691101,0.0001742608400700174,-0.012420430776188662,0.007279665328735252,0.00012479507038265503,0.00023234778676006762,0.0029494318503023643,0.007796229295042067,0.06954138164961265,-0.0003579908417661537
QDA,2,0.050546851906591785,0.4789915966386555,0.8696686100030684,0.09144385026737968,0.7551006480756799,0.12245455479571733,0.16368035855737584,0.04631967188169362,0.06414275854685315,0.013692850567658791,0.025645174967493946,0.002234863474475701,0.02297557804285153,0.010714003052744702,0.0027657018486064943,0.004467182995081709,0.029226779354401055,0.0452011136864718,0.08520196167109506,0.04092331392390749
LR,2,0.0,0.0,0.9863071494323412,0.0,0.701924674205673,0.0,0.019455880977766838,0.04043745197678753,0.03973443446947866,0.013692850567658791,-0.0016644524845948806,0.000529849058737164,-0.012812764995194703,0.002502119961558158,-0.00012903499349872227,0.0002840748487761502,0.00618053592628196,0.01598267284753243,0.044446124710271984,0.001351828820170864
