Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.05670103092783505,0.054455445544554455,0.9825722273998136,0.05555555555555555,0.5671126490295092,0.046773869264907314,0.023142151256962343,0.013211484324602382,0.0127230037978284,0.009412861136999068,0.004767735791745609,0.0009776894015587566,0.027625464369031415,0.0057731801625432455,0.00180704085861223,0.0008682267340991868,0.027504533311642154,0.004704128363892978,0.21427319903225833,0.024378224568661965
QDA,1,0.025889967637540454,0.07920792079207921,0.9632805219012116,0.039024390243902446,0.7286802452472175,0.02938314796495009,0.037170173840625195,0.02657260033562556,0.04074357288305358,0.009412861136999068,0.10934380657479499,0.010228796211107727,0.022380086624816255,0.011136869188173604,0.0053096263759778274,0.003282964018201473,0.021606629828586098,0.059379182710504554,0.07118532221962082,0.048727228559148905
LR,1,0.03773584905660377,0.0297029702970297,0.9837371854613234,0.0332409972299169,0.5620811128530296,0.025341391864946095,0.02083880051242346,0.013483991317826245,0.012918780082615933,0.009412861136999068,0.0051639631677817596,3.588909883729396e-05,0.019565494582559694,0.008762655991171075,0.00012800262050867152,-1.6488100538891715e-06,0.04911413099832509,0.051028729232779305,0.2335407169978759,0.04912869548713352
CART,1,0.2658959537572254,0.6831683168316832,0.9792637465051258,0.3828016643550624,0.8393906918210873,0.41815427750082085,0.02089692398120455,0.18895432760243341,0.47359044475047984,0.009412861136999068,0.12487779569484696,0.11090248167897218,0.1619010926481025,0.0,0.11914948148587827,0.34857220377386966,0.18463365822219432,0.16493182536829828,0.10630085434008943,0.0978652673032538
GBDT,1,0.596244131455399,0.6287128712871287,0.992497670083877,0.6120481927710842,0.9272041090645898,0.6084810706647532,0.006362678384999394,0.6582523925677197,0.6581431974990287,0.009412861136999068,0.0006149878299497313,0.006661320858070097,0.0021377555151780745,-2.638096086116093e-06,0.0420741883915712,0.018276143440612215,0.0064224632416118865,0.0052893276922045375,0.006119668435290215,0.006344364605397645
NN,1,0.21081081081081082,0.19306930693069307,0.9856011183597391,0.20155038759689925,0.8333998196602048,0.19449075234030785,0.013434224372137251,0.16114289937238147,0.15924958398620967,0.009412861136999068,0.13416488320379186,0.02430681277322162,0.07618218764850744,0.009162364188431882,0.03739008390977563,0.0132825573117215,0.07416252357340378,0.06039400697849699,0.13127972209123348,0.09338217108712643
RF,1,0.6632124352331606,0.6336633663366337,0.9935228331780056,0.6481012658227848,0.9690022346857886,0.6450048850511315,0.006932829013619264,0.6824353828888603,0.6844954036857597,0.009412861136999068,0.013595116737583735,0.0009918508479096256,0.014230623092647355,-1.5755296070674163e-06,0.026266844884713293,0.04954474522403836,0.004616833031601031,0.0018047325245369005,0.013580204166652843,0.0019177309735563196
LDA,2,0.049107142857142856,0.054455445544554455,0.9811742777260019,0.051643192488262914,0.5665986899282646,0.04221904740661561,0.025130566114208063,0.01283707641691885,0.01242522002715603,0.009412861136999068,0.0034892710510696866,0.0007414278926564765,0.028401126413455602,0.008860098126067006,0.004582929405969938,0.00045044355140468897,0.0319202634331591,0.008826664253254957,0.22899853280818414,0.02664117500657006
QDA,2,0.00959581273626054,0.9801980198019802,0.047530288909599254,0.019005567287387212,0.7211845231940637,0.0094695803015143,0.9516314238241523,0.020185688457587052,0.04143486454082693,0.009412861136999068,0.10966526097043508,0.011117415375404449,0.028273134377713994,0.011513243886265645,0.011169245710247865,0.0007698492952084024,0.008523792699545906,0.06123792351457706,0.08961513626783299,0.09088551900822703
LR,2,0.03592814371257485,0.0297029702970297,0.9833643988816403,0.03252032520325202,0.5670732928500302,0.024318058555564605,0.022556900100531102,0.012554872076061329,0.012046569250411128,0.009412861136999068,0.005243809686250644,0.0014376739353285871,0.021763362671368136,0.012153012616457204,0.003797050648575273,0.0008204265124867937,0.04921178905158139,0.05726902171548307,0.23398559262888394,0.05517828208024478
CART,2,0.26459143968871596,0.6732673267326733,0.9793103448275862,0.37988826815642457,0.8324277918901121,0.4139692240842987,0.02079754567808604,0.1843423949212978,0.470352835640797,0.009412861136999068,0.038017985717940614,0.10018822870091748,0.17440307222656365,0.0,0.27766786118938264,0.3566717893648609,0.20099554969220304,0.15070167621878733,0.08716250672245365,0.08992168015218413
GBDT,2,0.5228215767634855,0.6237623762376238,0.9910997204100652,0.5688487584650113,0.9175531122121526,0.5666333519162857,0.007322233446635326,0.6399491626569321,0.6398276504574971,0.009412861136999068,0.0004193070607952709,0.003984861643637694,0.002552652693245494,1.7404410624921596e-06,0.04454888637878607,0.03372614507968601,0.006229508482039426,0.007136330488872434,0.01725833540735886,0.00410169745216824
NN,2,0.10303030303030303,0.08415841584158416,0.9844827586206897,0.09264305177111717,0.8228758841167775,0.08534002215311523,0.013807467124493102,0.12633099793685157,0.12480247002660995,0.009412861136999068,0.1421718964019863,0.027747294919478537,0.0920386482342356,0.01373573490994089,0.03674304302196274,0.00811144740300096,0.05756625424014963,0.054091985791039264,0.13361219840331945,0.07619080107280793
