Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.12448132780082988,0.08955223880597014,0.9787846394211003,0.10416666666666667,0.6319549333003138,0.09502510421390675,0.022453463505482815,0.05012936270885841,0.049119474720054554,0.01377353836033221,0.02237839916262565,0.02066387541922112,0.06438228697156764,0.006604233866660913,0.02018834511780907,5.7932625552670204e-05,-0.00147277465661253,0.007305043470830652,0.06398291072992542,0.0036209599897464085
QDA,1,0.013803941556235134,0.9701492537313433,0.044938738590576434,0.027220570375643873,0.57309487912918,0.0014350217283890417,0.954446373472982,0.020027169532009798,0.111905050166515,0.01377353836033221,0.046766923717770734,0.01797257172153035,0.0858946019268152,0.007743319163480256,0.011416892743468732,0.0019865849229914858,0.023666866041484203,0.03756505671501507,0.0710587230042937,0.042193279644543204
LR,1,0.2,0.041791044776119404,0.984499629964641,0.06913580246913581,0.6138099057387428,0.08584313009207442,0.020656748990893474,0.04578120262320945,0.04475909292372248,0.01377353836033221,0.019931899258752918,0.017545425416016912,0.06592860957426354,0.007621686283724616,0.01800732702454444,0.00013111742464699816,0.0002706726763932688,0.02599848332728085,0.048928289150449625,0.012992459359579578
CART,1,0.16629464285714285,0.44477611940298506,0.9616396677904777,0.2420796100731113,0.724142181492587,0.2559315282581042,0.03869176808558577,0.08736593563972098,0.3095460500419246,0.01377353836033221,0.0675185739004122,0.16667780317433184,0.11102691560036737,0.0,0.19201369277764713,0.3740091000363146,0.10189701578621317,0.08522679597547685,0.10225522824856341,0.0870857240510114
GBDT,1,0.38341968911917096,0.4417910447761194,0.9825261080503248,0.41054091539528437,0.9240077181109917,0.40275687770214574,0.01404633349537567,0.43595787253373647,0.4356758246896977,0.01377353836033221,0.0018598252622135103,0.06524941789673806,0.007313929891269511,1.8370965330305467e-06,0.1059901309465319,0.0888266720782688,0.006010467177920709,0.003403135881058672,0.017180548138337602,0.0015142588597184758
NN,1,0.32608695652173914,0.22388059701492538,0.9829372584491407,0.26548672566371684,0.77320333339763,0.2618225494276557,0.018276917433782385,0.16530243748817391,0.16404523662855836,0.01377353836033221,0.21165667656420228,0.024976993570162233,0.2288933843163225,0.011045777882212305,0.007034648495076246,0.0002606968149874156,0.09852778074466503,0.08795661461559837,0.12030602610386013,0.11066763505863766
RF,1,0.4185303514376997,0.39104477611940297,0.9841295946057068,0.404320987654321,0.946506534323007,0.3965228452321901,0.01423771283876714,0.44049873997270544,0.4426381850894593,0.01377353836033221,0.003614145643304245,0.01427526541772588,0.00590699164761932,-6.835708029839793e-07,0.05180283254651481,0.053116762437784404,0.0028937047401362825,0.0018362634310982173,0.009771067865763827,0.0020736761156089135
LDA,2,0.11351351351351352,0.0626865671641791,0.9803470109366006,0.08076923076923077,0.6347662819848314,0.0749207968313256,0.02086465175717534,0.05034940908209289,0.049275705565311204,0.01377353836033221,0.01654384021108224,0.02547075336518745,0.06611576759654336,0.00704307848286474,0.020375120074290744,0.001139329679168699,0.004827208434764007,0.007585299355638342,0.0586946881442064,0.008759452798596624
QDA,2,0.013713169737624183,0.9641791044776119,0.04436312803223419,0.0270417346896061,0.6114876279377698,-0.002868480527621541,0.9546199875539324,0.02790172373449986,0.10894457184581435,0.01377353836033221,0.04854379404573568,0.02247626479732525,0.08315757209340316,0.008887317491517143,0.009332191628802212,0.005913625524464994,0.020868822943467015,0.03881247192347918,0.06400645515835601,0.05378464842425246
LR,2,0.17073170731707318,0.020895522388059702,0.9851163555628649,0.037234042553191495,0.6121769316588774,0.05533902212343755,0.01970581306844744,0.0448350593112266,0.04378530565650974,0.01377353836033221,0.01096471369495009,0.023409825761328752,0.0633917458136021,0.008180610376904563,0.016677408987682753,-1.1164023700582782e-05,2.312706301390577e-05,0.019605645844319786,0.04439150966009879,0.01442664859115792
CART,2,0.17553191489361702,0.4925373134328358,0.9611462873118987,0.2588235294117647,0.7488214076156924,0.2782779473922711,0.03897513540845057,0.09994435522970552,0.33776551261574456,0.01377353836033221,0.08871126327919558,0.186546397061043,0.16798752825407987,0.0,0.17748218639081095,0.3718197403021699,0.10662781231300815,0.1121536711216226,0.09324427860431506,0.08209883201673318
GBDT,2,0.36556603773584906,0.4626865671641791,0.9815393470931667,0.40843214756258234,0.9204231272038523,0.40204775232996404,0.014974196166579752,0.4241890412092207,0.42382555948899236,0.01377353836033221,0.0007659008545914947,0.05699662460293353,0.003931844856026223,6.436514657259806e-07,0.07223806936520864,0.08988301967531549,0.007057838076822564,0.00881474024002422,0.008217786797776183,0.0011686713080594879
NN,2,0.3217391304347826,0.2208955223880597,0.9828550283693775,0.26194690265486725,0.765603445647487,0.25817762466823757,0.018340040500656365,0.14876023747110825,0.14706699652003885,0.01377353836033221,0.22199552373697823,0.03709683003872562,0.237852987341817,0.012448330323707757,0.009127732411446798,0.00186736607166631,0.12600058949596313,0.07348087156623036,0.12717405489769926,0.1058900545638883
RF,2,0.39589442815249265,0.40298507462686567,0.983307293808075,0.3994082840236687,0.9386038706289289,0.39096082131214605,0.01467272444486641,0.4145963689114796,0.4172281269394073,0.01377353836033221,0.002326289566809292,0.020219334224679676,0.003023719222362531,-1.1097439065466119e-07,0.036414936797865116,0.0702247719698221,0.0035658957053798625,0.003294341371430409,0.004710552155300274,0.0014852590497396179
LDA,3,0.12184873949579832,0.08656716417910448,0.9788257544609819,0.10122164048865619,0.6251514968617952,0.09218051598361061,0.021827305726819193,0.049105883436168965,0.04817637925358029,0.01377353836033221,0.016049158641364934,0.019845656855707095,0.06793624456514377,0.004630723247865553,0.007603087314379619,0.0007525723857381816,-0.000859192638845685,0.00780693675023818,0.05646861892571571,0.005386343216531886
