Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.05652173913043478,0.04887218045112782,0.9765211309821161,0.05241935483870967,0.6879628826014001,0.0407061176564933,0.022885344512413097,0.03589801901662378,0.035262524299543116,0.013288040763313018,-0.003957044414264854,-0.0009750515567627183,-0.005558950757004144,0.007444042050198685,-0.0015499723353955552,-0.0010950153412805363,-0.0011133745787434534,0.00883016447864804,0.03676726522810732,0.0028481967707862264
QDA,1,0.013495002790320126,1.0,0.02862423818563293,0.02663062521900185,0.7029137812636086,0.014482720141494654,0.9712426521989866,0.03241087288874622,0.0576301122109546,0.013288040763313018,0.036601529098133835,0.010857351239877211,0.03637455359388353,0.012137970927015695,0.01865927267240075,0.003254614959005986,0.028717116845229086,0.05280758010160447,0.07757708364770381,0.01928650470298272
LR,1,0.08108108108108109,0.022556390977443608,0.9836147467279448,0.03529411764705882,0.697709492443137,0.03606360739196643,0.02026506947029654,0.03610461727405494,0.03546312845566682,0.013288040763313018,-7.318545344794369e-05,-0.0012260449675568497,-0.00048224435390564757,0.010147628388914188,-0.0011697097731501404,-0.000909913988229838,-0.001831396811025443,0.009825838740506132,0.036724259343091537,0.0045885518837081914
CART,1,0.09891196834817013,0.37593984962406013,0.9461984214207213,0.15661707126076743,0.6648743288963601,0.17245995311395954,0.05374052241871205,0.04558815671934166,0.24150588250056493,0.013288040763313018,0.07188106735073681,0.055629244001810706,0.18766296966953364,0.00017919118756593022,0.1868522710125244,0.24288227453347405,0.15855175795986112,0.22659423570242937,0.19016875408681647,0.17974460540214265
GBDT,1,0.19607843137254902,0.37593984962406013,0.9712258966929763,0.25773195876288657,0.8982550924699354,0.2581109347543733,0.021971724736252245,0.1859157863704331,0.18449138330951292,0.013288040763313018,0.0037377395503244816,0.04349680599567431,0.012734268899954816,-2.5149640354715784e-07,0.017412227755143152,0.1029548312459132,0.015613525476585743,0.018005130526633484,0.01747623358985968,0.0065373975152155815
NN,1,0.12244897959183673,0.09022556390977443,0.9793186132480768,0.10389610389610389,0.8012872780371342,0.09479728297906374,0.023235545180658696,0.06588707091400402,0.06493086894865417,0.013288040763313018,0.14233061717217435,0.0230984356923696,0.16726736582666862,0.01300487903022982,0.009067954328253048,0.012889190684573148,0.06595593783008893,0.07332666867863787,0.12283562195060602,0.07811151350535683
RF,1,0.2732919254658385,0.3308270676691729,0.9794185233290039,0.29931972789115646,0.9074490791072456,0.29033078140709817,0.02006945398622532,0.22009363806527998,0.21615026647332913,0.013288040763313018,0.0009540516070619453,0.00467167144509828,0.018013932900759477,2.514964036137712e-07,0.014210049796287838,0.07070255520346051,0.009801695085760165,0.005285574166289386,0.013787913082842839,0.010153538554398578
LDA,2,0.05652173913043478,0.04887218045112782,0.9765211309821161,0.05241935483870967,0.6879628826014001,0.0407061176564933,0.022885344512413097,0.03589801901662378,0.035262524299543116,0.013288040763313018,-0.003957044414264854,-0.0009750515567627183,-0.005558950757004144,0.007444042050198685,-0.0015499723353955552,-0.0010950153412805363,-0.0011133745787434534,0.00883016447864804,0.03676726522810732,0.0028481967707862264
QDA,2,0.013495002790320126,1.0,0.02862423818563293,0.02663062521900185,0.7029137812636086,0.014482720141494654,0.9712426521989866,0.03241087288874622,0.0576301122109546,0.013288040763313018,0.036601529098133835,0.010857351239877211,0.03637455359388353,0.012137970927015695,0.01865927267240075,0.003254614959005986,0.028717116845229086,0.05280758010160447,0.07757708364770381,0.01928650470298272
LR,2,0.08108108108108109,0.022556390977443608,0.9836147467279448,0.03529411764705882,0.697709492443137,0.03606360739196643,0.02026506947029654,0.03610461727405494,0.03546312845566682,0.013288040763313018,-7.318545344794369e-05,-0.0012260449675568497,-0.00048224435390564757,0.010147628388914188,-0.0011697097731501404,-0.000909913988229838,-0.001831396811025443,0.009825838740506132,0.036724259343091537,0.0045885518837081914
CART,2,0.09891196834817013,0.37593984962406013,0.9461984214207213,0.15661707126076743,0.6648743288963601,0.17245995311395954,0.05374052241871205,0.04558815671934166,0.24150588250056493,0.013288040763313018,0.07188106735073681,0.055629244001810706,0.18766296966953364,0.00017919118756593022,0.1868522710125244,0.24288227453347405,0.15855175795986112,0.22659423570242937,0.19016875408681647,0.17974460540214265
GBDT,2,0.19607843137254902,0.37593984962406013,0.9712258966929763,0.25773195876288657,0.8982550924699354,0.2581109347543733,0.021971724736252245,0.1859157863704331,0.18449138330951292,0.013288040763313018,0.0037377395503244816,0.04349680599567431,0.012734268899954816,-2.5149640354715784e-07,0.017412227755143152,0.1029548312459132,0.015613525476585743,0.018005130526633484,0.01747623358985968,0.0065373975152155815
NN,2,0.12244897959183673,0.09022556390977443,0.9793186132480768,0.10389610389610389,0.8012872780371342,0.09479728297906374,0.023235545180658696,0.06588707091400402,0.06493086894865417,0.013288040763313018,0.14233061717217435,0.0230984356923696,0.16726736582666862,0.01300487903022982,0.009067954328253048,0.012889190684573148,0.06595593783008893,0.07332666867863787,0.12283562195060602,0.07811151350535683
RF,2,0.2732919254658385,0.3308270676691729,0.9794185233290039,0.29931972789115646,0.9074490791072456,0.29033078140709817,0.02006945398622532,0.22009363806527998,0.21615026647332913,0.013288040763313018,0.0009540516070619453,0.00467167144509828,0.018013932900759477,2.514964036137712e-07,0.014210049796287838,0.07070255520346051,0.009801695085760165,0.005285574166289386,0.013787913082842839,0.010153538554398578
