Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,1,0.026392961876832845,0.041666666666666664,0.9747588273859699,0.03231597845601436,0.6145951603746806,0.020722790778229083,0.02485306891105002,0.019572982869058047,0.018437929339620067,0.010115200899128969,0.021859096579808335,0.005222245761049504,0.006725749123178648,0.0066811038140745845,0.008153065147627614,0.01207690919505051,-0.0004552409198974594,0.001869767514849019,0.10770386586006941,0.005282426696168563
QDA,1,0.018425460636515914,0.10185185185185185,0.9360307202397677,0.031205673758865248,0.6782297897765301,0.020211191332998774,0.06019953103585492,0.018333554191466758,0.03150629534782953,0.010115200899128969,0.07828041020329694,0.011585732332148458,0.05764494032907284,0.009907806259758734,0.0075401140848495585,0.018215992279264626,0.009095873643575092,0.025608360991455425,0.08227502765812207,0.018294847350704968
LR,1,0.04861111111111111,0.032407407407407406,0.9837969467078768,0.03888888888888889,0.6173329014273049,0.03169902617916046,0.019466712831735435,0.020240044551917205,0.019138194984674645,0.010115200899128969,0.03197247526461562,0.009860807067925203,0.008689671947210242,0.004703999246757529,0.005380034366687858,0.015782391387927697,6.386868472874063e-05,0.00434479674222632,0.12798617486210168,0.004180966504248751
CART,1,0.18423973362930077,0.7685185185185185,0.963238737473073,0.297224709042077,0.8711099984931473,0.36522816924398666,0.0368176662191835,0.1455545253023769,0.4776008528763974,0.010115200899128969,0.052446468783591806,0.12001326020604319,0.11951235396119228,0.0,0.2773341493460129,0.165981686792364,0.12492047799511959,0.11692559376691851,0.1948240472659652,0.090067870285369
GBDT,1,0.3552036199095023,0.7268518518518519,0.9838906059754613,0.47720364741641336,0.9604537685334118,0.5013767033292943,0.012401879308820642,0.5999770337950183,0.5961144571548581,0.010115200899128969,0.0014816907155018378,0.04465864777283461,0.009057976131629087,0.0,0.08232885310987137,0.03626517273576093,0.013223799323651053,0.01835275286585216,0.03877762869853818,0.006663449693602841
NN,1,0.13975155279503104,0.20833333333333334,0.9790203240610659,0.16728624535315983,0.8660273274741295,0.16030049607711458,0.021343270283284817,0.0804300637327354,0.07871935286252513,0.010115200899128969,0.14580373325800905,0.023894185125030366,0.12541118408147572,0.011263642711986743,0.04248570016241793,0.0012165650573955577,0.04888700578270531,0.0694531930419227,0.1524310900830921,0.06824219884032041
RF,1,0.4371584699453552,0.7407407407407407,0.9877306359464268,0.549828178694158,0.9621646376720178,0.563569280207428,0.01342407010437248,0.6141809965682568,0.6382365879432723,0.010115200899128969,0.0028055928253654327,0.0029576536496951577,0.008579667160981996,-4.7077654592442285e-07,0.03712983232508684,0.023589357311552116,0.006257875699299298,0.008293591946582546,0.03905766228059846,0.0042129793093707455
LDA,2,0.026392961876832845,0.041666666666666664,0.9747588273859699,0.03231597845601436,0.6145951603746806,0.020722790778229083,0.02485306891105002,0.019572982869058047,0.018437929339620067,0.010115200899128969,0.021859096579808335,0.005222245761049504,0.006725749123178648,0.0066811038140745845,0.008153065147627614,0.01207690919505051,-0.0004552409198974594,0.001869767514849019,0.10770386586006941,0.005282426696168563
QDA,2,0.018425460636515914,0.10185185185185185,0.9360307202397677,0.031205673758865248,0.6782297897765301,0.020211191332998774,0.06019953103585492,0.018333554191466758,0.03150629534782953,0.010115200899128969,0.07828041020329694,0.011585732332148458,0.05764494032907284,0.009907806259758734,0.0075401140848495585,0.018215992279264626,0.009095873643575092,0.025608360991455425,0.08227502765812207,0.018294847350704968
LR,2,0.04861111111111111,0.032407407407407406,0.9837969467078768,0.03888888888888889,0.6173329014273049,0.03169902617916046,0.019466712831735435,0.020240044551917205,0.019138194984674645,0.010115200899128969,0.03197247526461562,0.009860807067925203,0.008689671947210242,0.004703999246757529,0.005380034366687858,0.015782391387927697,6.386868472874063e-05,0.00434479674222632,0.12798617486210168,0.004180966504248751
CART,2,0.1950920245398773,0.7361111111111112,0.966610471106116,0.30843840931134825,0.8567344487547439,0.3682365479256258,0.033455182884173554,0.1480007989805297,0.46665590474196145,0.010115200899128969,0.04705466500325619,0.12135081483573822,0.13569977010412015,0.0,0.2684954766220213,0.1664454801528455,0.13228985711931834,0.12155638726078669,0.1905176972749884,0.07274125336409072
GBDT,2,0.3552036199095023,0.7268518518518519,0.9838906059754613,0.47720364741641336,0.9604537685334118,0.5013767033292943,0.012401879308820642,0.5999770337950183,0.5961144571548581,0.010115200899128969,0.0014816907155018378,0.04465864777283461,0.009057976131629087,0.0,0.08232885310987137,0.03626517273576093,0.013223799323651053,0.01835275286585216,0.03877762869853818,0.006663449693602841
