Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,CART,18,0.1671497584541063,0.569078947368421,0.9991787014881797,0.25840179238237493,0.8609830874870457,0.30812428472568604,0.367409813305346,0.0040893844754849255,0.061373265157049085,0.024286906873779525,0.028577391511754556,0.02800405479942163,0.016005724422712975,0.05992292899628813,0.039235103829698484,0.043145301948390835,1.4012909765859228e-05,0.0001082273669146927,0.01329780414722508,-0.0001654715940429652,5.858588870182313e-05,0.03838881352394878,0.0004844889014773646,0.0
AWE,CART,18,0.17805383022774326,0.5657894736842105,0.999234116392804,0.27086614173228346,0.860389231730569,0.31711555633603333,0.36543562214219355,0.0038121077503316726,0.06011374308671606,0.021961956440720853,0.0315138414752314,0.02540078412665272,0.016627659098701474,0.0562621308567254,0.03060404585501102,0.043437933244882966,4.35294643788442e-05,0.00011240142514266083,0.013616374234134776,-1.818696799400499e-05,0.0002930785170166761,0.03763569416079058,0.0005277202188398889,0.0
Sliding Window,CART,18,0.005617053923717668,0.6743421052631579,0.969902262995829,0.011141304347826087,0.8350428795753342,0.059705718945091704,0.3151676234237754,0.01998091859095714,0.30257315782412314,0.09497279408476318,0.09514780638332761,0.0456288665941176,0.014088191887419655,0.0509112863553018,0.04418255541807663,0.050110761616553146,0.0009263427796246005,0.0004652584189263509,0.00023807039251060312,0.003919440676197361,0.001458684277217115,0.016033601168736332,0.0009312622053934793,0.0
History Window,CART,18,0.017510648367250355,0.6085526315789473,0.9913164017365542,0.03404177017204895,0.8167383265684458,0.10220670300127771,0.28753960138403634,0.02575975313427046,0.08776583533340285,0.06404779296671181,0.08172045735752298,0.0489056513766938,0.014868889849584788,0.06812897839924859,0.057302663943590584,0.053549738375993194,-0.0001346133778566294,1.1478660127317574e-05,0.03226174326560423,0.0008637319062029247,1.6547159404289857e-05,0.03423249504330583,0.0004968620026535086,0.0
SEA,CART,19,0.16666666666666666,0.6713780918727915,0.9991858355684475,0.2670414617006325,0.9363577529907914,0.3342513992191364,0.4485485464851778,0.0038416507963988213,0.09254977493074794,0.05408468230609411,0.025107016101107927,0.025490932306094116,0.007555077042936187,0.061577432479224356,0.03517951436980602,0.019501926073407082,0.0002998398545706049,-1.1253462603932895e-05,0.010502943213296279,0.007760128116343412,0.0010273112880886614,0.03665177025623265,0.0007007444598337686,0.0
AWE,CART,19,0.17025089605734767,0.6713780918727915,0.9992045699369588,0.2716225875625447,0.9376186722169657,0.3378326541784258,0.42578184933773283,0.002674212257617814,0.09341769823407217,0.04646673736149594,0.026866776315789532,0.027223099896121927,0.0064832929362881545,0.054217451523545776,0.03524465460526327,0.01663023718836574,2.9756752077569893e-05,6.600588642746708e-06,0.010852666204986195,0.005290209487534714,0.0008651099376732363,0.035616127077562364,0.0007831977146815161,0.0
Sliding Window,CART,19,0.06350166313879649,0.7420494699646644,0.9975255021591359,0.11699164345403901,0.9158590253374175,0.21662310441289429,0.08993392594813818,0.0049004501385040864,0.3450693602839334,0.007532245498614909,0.03466434383656507,0.029061526142659288,0.006549298822714644,0.0690652051592798,0.018277354570637106,0.03365813279085865,0.00272106561634351,0.0,8.083015927977666e-05,-7.57444598353807e-07,0.0001871970221605901,0.003415101281163424,0.0002404345567866617,0.0
History Window,CART,19,0.02088992974238876,0.7879858657243817,0.9917943465920622,0.040700857820770216,0.9003521071048093,0.12748985782822395,0.37770019099771024,0.035992252423822736,0.09282148112880892,0.10290036357340718,0.134420879501385,0.08938019390581711,0.009361907029085815,0.11180325917590025,0.08474192780470913,0.02439707409972298,0.002106886253462581,0.00824748961218833,0.02631470740997226,0.00846649930747918,0.0011784755886426357,0.02437922004847639,0.0016134652008310546,0.0
SEA,CART,20,0.16623150565709313,0.5667655786350149,0.9991238665420187,0.25706594885598927,0.8584758822592953,0.3066304630763288,0.364566638918761,0.001792755559440118,0.07709797849891994,0.020220130105257826,0.01219543258125333,0.03369813582389589,0.00289602816866239,0.04319007604040499,0.0212523567531121,0.0401223638701943,0.0019961542783652588,0.0005446440834571797,0.011538413514964586,0.0015725005930901314,0.0002005269138084298,0.00879546504513724,0.0012836968872129706,0.0
AWE,CART,20,0.16740088105726872,0.5637982195845698,0.9991333897317793,0.2581521739130435,0.8669412264949811,0.30690226251631786,0.3590795068818219,0.004582651799872606,0.07384597135686535,0.021261971057198736,0.014451422792143575,0.03448563473136128,0.0030300041204159413,0.039448363695388775,0.01317471812608464,0.039355591904006726,0.0023678657493538145,0.0024528961530297265,0.01194770817465558,0.0014598758880745022,0.0002808125959869789,0.006848256314849643,0.0012963078575085162,0.0
Sliding Window,CART,20,0.014829099614310413,0.6617210682492581,0.9881523583385843,0.02900813008130081,0.8335998796704336,0.09787144811841621,0.31998787653863875,0.008812196431470132,0.2732176703417449,0.07764611869295424,0.11326386894579792,0.06344142141867175,0.013651687497658905,0.04250196656219971,0.0319222365118806,0.04178438986627386,0.0010926594163992664,0.0,0.0002388592690631075,0.01411854312077825,0.001906004569916031,0.02003620971669029,0.0001791756670703748,0.0
History Window,CART,20,0.0471437672541941,0.658753709198813,0.9963478567267845,0.08799048751486326,0.7963165040713517,0.17557959364144565,0.32703512748968233,0.00018766622132873056,0.23432044350659878,0.0016155776698423053,0.009981395697286732,0.001365106319219911,0.023530697099476704,0.012571888773739114,0.004081958820811882,0.034949368827179784,6.367915693816783e-06,4.494999313262582e-05,0.0002679519035073463,0.018566095219068733,1.8729163805253358e-05,0.00010463359512540294,-2.7469440247562814e-06,0.0
SEA,CART,21,0.2170212765957447,0.6818181818181818,0.999219968798752,0.329244673983215,0.9155822912032048,0.3843933012473297,0.44231738690282285,0.0050551647016350955,0.09305276968186735,0.10479796423319739,0.024621243473130838,0.03292201216881363,0.002525689228574679,0.10004543493382874,0.025211369299720832,0.033395380781727366,1.1710942246567769e-05,-3.1170477859365774e-05,0.014021431904833116,0.00012450580704237435,0.000252357597583841,0.04414012626685095,0.0023110179714534327,0.0
AWE,CART,21,0.22125435540069685,0.679144385026738,0.9992387375957021,0.33377135348226017,0.9115303874379789,0.38736795833442234,0.4439716207536922,0.0021568385739066053,0.07840695964567797,0.010186846762760982,0.01050762091767996,0.0009573034895085097,-6.163653814006409e-06,-0.0030600780142468363,0.013525521929399731,0.029165177116994956,0.0002840563886271852,-0.00020859565550455095,0.004549921193283369,-0.002647553469696895,0.00022065880654047464,-0.018294516989671505,0.0008643203691148127,0.0
Sliding Window,CART,21,0.004114872324257674,0.767379679144385,0.947787459140329,0.008185850173271916,0.8706730732006989,0.053793437735702956,0.3696476393071141,0.024018966443307456,0.08930139386628377,0.08068337310357569,0.09900095976895087,0.08837050603597803,0.003577120517042354,0.0897683346687915,0.06094427176430177,0.04220588364782629,3.883101902801833e-05,0.0,0.0297095158009667,0.004890154883815012,0.0,0.06455696536907063,0.0026119803819702803,0.0
History Window,CART,21,0.040224508886810104,0.5748663101604278,0.9960292733172272,0.07518796992481204,0.8187284086166381,0.1513285044361985,0.25121086399061127,0.019388125280666357,0.12040724141270945,0.011551303612781606,0.07012873231251485,0.0038587994963413365,0.0036782924917890814,0.04387412057867901,0.030240030289955876,0.03662962604231781,-2.553513722940437e-05,0.015178878038901411,0.007995491727495963,0.005524394861273718,-0.00027093661122312707,0.005632522959610431,-0.00013313492238202772,0.0
SEA,CART,22,0.23534971644612476,0.6501305483028721,0.999285200466022,0.3455933379597501,0.8776257950177718,0.3908933989291122,0.40274492534155515,0.0002730990305698677,0.11814807400840736,0.057652492207383554,0.016548871857931236,0.01988747176070229,0.0015795418799507744,0.04980740084074462,0.01353691841345186,0.016501973176241736,0.005356601561382823,6.477165489426895e-05,0.011389015985587236,0.0006141868512110404,3.510251937424158e-05,0.020861334324687508,0.00036203494523709965,0.0
AWE,CART,22,0.21769297484822203,0.6553524804177546,0.9992162219319902,0.32682291666666663,0.8903840025449153,0.37742705939878474,0.40402499428028654,-0.000356387085704446,0.11305270382338643,0.04145793417026513,0.013165160570791267,0.005881209070891402,0.0009444793960365239,0.04448211272841658,0.01177643055277533,0.016578040550201602,0.005403857702536574,-3.8534130229561646e-05,0.010302339214733048,-0.00022040950556205806,4.3181103262912576e-05,0.014505061626011617,0.00040850467556985404,0.0
Sliding Window,CART,22,0.013349339735894358,0.7258485639686684,0.9843456628041214,0.026216522067144473,0.8750317682833488,0.09707826053168596,0.34782988743588295,0.006389444936944155,0.10086019045440246,0.06999542451885951,0.0666874231462152,0.03740591666904973,0.013168806657325071,0.0859165260659441,0.05994888329663415,0.023255597815207762,0.008553290056907548,0.0005628556721667622,0.03099173553719008,0.007478194972690111,0.0,0.04038291057794045,0.0,0.0
History Window,CART,22,0.005863610213745187,0.6919060052219321,0.9658541096425168,0.011628672356671128,0.856311009130221,0.061614835278858436,0.33407051379111924,0.008154365294975596,0.11323264891761273,0.06373709571334611,0.06471968028825528,0.08114465669593071,0.002930667162343825,0.09988089450656294,0.04166761989190422,0.017998584460522226,0.00805070205038747,0.0,0.02945501730103812,0.0028890588807229723,3.538848694555341e-05,0.02430953129915068,3.2528811232790386e-05,0.0
SEA,CART,23,0.19290657439446368,0.58994708994709,0.9992271552636551,0.2907431551499349,0.9086171080258792,0.3370635782108562,0.4319566594682446,0.0006954850056923422,0.07677978580534335,0.03680596363735522,0.032497051585326765,0.02761870351560103,0.00043261594257242296,0.042627259031011125,0.021367519036873905,0.013971531607687049,0.0002118086564092181,9.57126982937151e-05,0.0104789725200936,0.0021548309689206403,-5.5423378712737834e-05,0.003437272051755813,0.0004547034883324974,0.0
AWE,CART,23,0.18288590604026847,0.5767195767195767,0.9991944798428171,0.2777070063694268,0.9072413633043883,0.3244715589955484,0.414217424353384,0.0016841753642059532,0.0741016027104963,0.04876582429493688,0.03676996911833881,0.021186932898854028,0.00044195542951412924,0.03842067230671693,0.020245417175111923,0.01580438887714821,0.0003469244455957865,-1.2066344443018018e-05,0.011815132695703135,0.004040521102468419,2.0451431259349562e-05,0.0018592396157858016,0.0013217760022905312,0.0
