Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,GBDT,18,0.20446927374301677,0.6019736842105263,0.9993110355887751,0.3052543786488741,0.8384041851518369,0.3505773134977684,0.24093248296662234,0.00453511426484392,0.231451528748826,0.022844322535442173,0.024165411964639772,0.020011627733635406,0.0032888597367361607,0.04647381523829393,0.010280109121807901,0.04511113430032345,-0.00018514929711850315,0.0007534175101741924,0.0008371968217526949,-0.0005098313978624036,0.0001523531253260435,0.0033869501050967977,7.751822423540666e-06,0.0
AWE,GBDT,18,0.1541038525963149,0.6052631578947368,0.9990653904145449,0.24566088117489987,0.8371220815985696,0.30509764168462544,0.2838784016462415,0.0062002653508444585,0.2011174550170689,0.017582623991890412,0.01923346402110886,0.013393956559979724,0.0023777224549425434,0.032211505493358786,0.006372296179245951,0.054582370566926566,-1.1329586619202026e-05,2.0870291140595575e-05,0.00029665628121229305,1.5205497831005665e-05,3.54794949389392e-05,0.005080127010628943,1.3714762749517106e-05,0.0
Sliding Window,GBDT,18,0.08483516483516483,0.6348684210526315,0.998186195733714,0.14967041488949204,0.8315817827626579,0.23163507461564478,0.4352821778530566,0.0,0.11441048881203324,-0.0019597203380986583,-0.010309029382388424,-2.921840759670946e-05,0.009369568134046945,0.0010481358357806725,-0.015639152666179636,0.045676122896200176,7.453675407775862e-07,0.0,-0.0008096182227456117,0.0,1.1102230246251565e-16,0.0,7.215157794313587e-05,0.0
History Window,GBDT,18,0.062013088189467123,0.6546052631578947,0.9974236204790329,0.11329348135496725,0.8305981317345446,0.20095494061437674,0.42159004886663326,0.003118617790432476,0.06612438693519773,0.0012083898570385498,-0.012157689956917794,0.0012830756846200497,0.010271313784827263,0.0009023419448130233,-0.013963566434608965,0.042711796186699645,-1.4161983273930368e-05,0.0,-0.002873093722514608,2.8323966547949554e-06,8.556819367633306e-05,5.962940325932032e-06,9.600333924659754e-05,0.0
SEA,GBDT,19,0.1839402427637722,0.696113074204947,0.9992506252595491,0.2909896602658789,0.9183144044376165,0.35759049733435977,0.39964605438417666,0.010637551939058066,0.18254284972299156,0.0382384002770082,0.05485478704986142,0.04935097818559549,0.0021253895429361514,0.07889521295013846,0.02593555228531843,0.020382401315789368,-0.00010322887811640147,-4.6961565097070056e-05,0.0008234504847644652,0.0004893092105262564,0.00018373441828247738,0.010184167243767162,4.6095914127408655e-05,0.0
AWE,GBDT,19,0.15034168564920272,0.6996466431095406,0.9990601591796845,0.2475,0.9209874062576271,0.32404983073290167,0.39877521565764756,0.007541767659279786,0.15860327216066486,0.030474376731301978,0.05230609418282552,0.03401229224376734,0.0011242641966759058,0.07492274065096953,0.017143568213296413,0.019010993767313012,-4.761080332360557e-06,1.406682825486616e-05,0.0002967018698061041,0.000525882963988944,4.804362880885815e-05,0.009352276662049918,9.781855955677265e-05,0.0
Sliding Window,GBDT,19,0.06573341448569689,0.7632508833922261,0.997551261915839,0.12104230876996355,0.9035416994085906,0.22354782651495192,0.47277791213048886,0.001478099030470892,0.09327454120498616,0.006940140235457015,-0.005379912569252121,0.010207864439058101,0.006827497403047045,0.010553800207756248,0.0024188452216066247,0.027318321502770027,-0.00012497835872582463,5.7890408587213396e-05,0.0038077822022160035,0.0010818472991689365,0.0006227276662049252,0.0037783500692520457,0.00020559210526309711,0.0
History Window,GBDT,19,0.05895377802380294,0.7526501766784452,0.9972913225527451,0.1093429158110883,0.932399989455451,0.21017605562155045,0.5441875350237896,0.002514391447368336,0.09289744200138488,-0.0015381535664821034,-0.012326328774238383,5.280470914112989e-05,0.007584617382271364,0.01608866430055389,0.004857275796398763,0.025978834833794862,-2.164127423831541e-05,0.0,0.0027290728878114788,-0.00020494286703618415,-1.0820637119657306e-06,0.0037587647160663095,0.0,0.0
SEA,GBDT,20,0.1780821917808219,0.5786350148367952,0.9991730696891155,0.27234636871508383,0.8684942691230207,0.3207057549087729,0.36850405213551474,0.004012785775824423,0.1640941952078313,0.016165266141417688,0.020707712669655053,0.022469252956086393,0.0013559914595013822,0.03433180586597413,0.010098765123799836,0.04657718288404158,8.490554258444583e-06,0.001107018441983376,0.0003848218856522534,0.0014865961617700706,5.893443544060517e-05,0.0012163967586060974,5.069360336633633e-05,0.0
AWE,GBDT,20,0.1506533435818601,0.5816023738872403,0.9990111754631842,0.2393162393162393,0.8809547321014157,0.2956740537777543,0.3640310993068717,0.0030918103609735015,0.1509732922124138,0.014778558853275791,0.014089825069610162,0.016438711932974658,0.0008952540298917677,0.032605726129680844,0.007371798873753011,0.04365193721984304,5.99333241781963e-06,0.0007868746020053497,0.00021950579979783668,0.0009474459663625145,1.473360886028452e-05,0.0006332954588021744,3.396221703366731e-05,0.0
