Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,LDA,18,0.4024390243902439,0.3256578947368421,0.99970886497869,0.36,0.796961843643381,0.3618746977980861,0.12142461341885569,0.0005781070645934694,0.10789344225637651,-6.648678463359037e-05,-0.010193646487082875,-0.0010557385846961642,0.008774466689524507,-0.003998151488499158,-0.005763778118990559,0.06931023687780435,-3.577764195594746e-06,-0.00016010494774985063,0.005451320045914532,-1.4311056782201348e-05,0.0006517493776180272,0.0003312413351022281,-0.0003613541837480305,0.0
AWE,LDA,18,0.4375,0.3223684210526316,0.9997254067412645,0.3712121212121212,0.7880857860813346,0.375413987372985,0.12013565717951692,0.00044095943709843155,0.1098796976789255,-1.669623291242761e-05,-0.007499291900836291,-0.0005363664823124559,0.007513901104634679,-0.005257226338307453,-0.0045205050610455325,0.07322460905472492,-1.1925880651708631e-05,6.0523844307658337e-05,0.006771216887047049,-3.5777641955236914e-05,0.0005134091620579096,0.0006931918128829428,-0.0003157376902549913,0.0
Sliding Window,LDA,18,0.007067894624116514,0.10855263157894737,0.9959414785523641,0.013271667001809774,0.6498239731524115,0.026768793997410775,0.002060423417562881,-8.13941354481651e-05,0.2031660231660232,-0.0001031588676376094,-0.011115815208479285,6.261087342169791e-05,0.012877565927758993,-0.03193571950328715,-0.004884542567940286,0.004242632041859817,-3.0410995661989127e-05,-4.4408920985006264e-17,-0.0029105111730594047,3.0410995661922513e-05,-5.366646293314403e-06,-0.000176204886629594,0.007072345373503697,0.0
History Window,LDA,18,0.007067894624116514,0.10855263157894737,0.9959414785523641,0.013271667001809774,0.6498239731524115,0.026768793997410775,0.002060423417562881,-0.00013148283418551454,0.2057959779967502,2.9814701629393704e-05,-0.01521593297655075,4.7107228574394534e-05,0.011557370939610267,-0.031073180185149353,-0.004338039087073864,0.00465139160119854,1.6696232912405407e-05,1.8186967993893966e-05,-0.003070019826776593,4.6212787525523605e-05,-6.678493164979926e-05,-0.0003118617790432099,0.007144795098463086,0.0
SEA,LDA,19,0.48249027237354086,0.4381625441696113,0.9997720651831128,0.45925925925925926,0.8819204752562375,0.4596788896649077,0.26431388795392224,-0.0009822974376732184,0.08612339854570628,0.00015992901662043035,-0.01452042936288096,0.0015679103185594512,0.004623009002769995,-0.006178367382271554,-0.0012136426592798566,0.03679838988919657,-1.6447368421124155e-05,-9.457236842118633e-05,0.007200917590027589,6.449099722982687e-05,-0.00010149757617736733,0.00032526835180048954,-0.0006641707063713032,0.0
AWE,LDA,19,0.48046875,0.43462897526501765,0.9997712845844249,0.4564007421150278,0.8822046594078214,0.45686044493353745,0.2674137893996078,-0.00030427631578948676,0.08891447368421046,0.00012097472299164025,-0.01854051246537398,0.002067607340720179,0.00340265754847644,-0.006655557479224394,0.00023524065096949264,0.03724787915512464,2.380540166213585e-06,-2.9215720221631436e-05,0.008609548130193878,-0.00023307652354576103,-0.000646857686980673,9.673649584485133e-05,-0.0005851800554016462,0.0
Sliding Window,LDA,19,0.011249121162409188,0.1696113074204947,0.9965232134437828,0.0210989010989011,0.6723859708884642,0.04289885087180299,0.004440594518531479,0.0006254328254847952,0.2101391533933518,0.0003462603878116255,-0.026009132617728546,-6.708795013832259e-06,0.003316958102493128,-0.030655081371191086,0.010475675207756252,0.0020831890581717084,0.00043174342105265493,1.0604224376731252e-05,-0.0023829207063712056,-3.895429362898995e-06,6.405817174519602e-05,-0.00014348164819948382,0.00017248095567867772,0.0
History Window,LDA,19,0.011770598547458051,0.16607773851590105,0.9967355362869106,0.021983161833489244,0.6727813418203619,0.04345628504294515,0.004728900915537409,0.0006247835872575713,0.1991624826869806,6.990131578945568e-05,-0.026059773199445923,2.5103878116339296e-05,0.003600891620498636,-0.02671593663434906,0.010461175554016622,0.0029198407202216227,0.0002915079639888685,1.623095567864219e-05,-0.0018170013850415945,-2.2939750692518857e-05,8.851281163431146e-05,0.00020191308864261348,-0.0007914213988920338,0.0
SEA,LDA,20,0.5413223140495868,0.3887240356083086,0.9997484290704891,0.4525043177892919,0.7992261775271203,0.4585997709905483,0.319031633047196,0.00010663137259805388,0.04125335564184849,-9.96391514440198e-05,-0.01375245039893116,-0.0005988337974003555,0.007710172433168095,-0.014705639975527162,-0.0005771079673862368,0.05466543470389203,1.7480552885862366e-06,-0.0002532182946471728,0.0279304273995181,-6.193110164938176e-05,0.0008670354230918331,-0.0001400941452633031,0.0003021638427249673,2.2474996566490548e-06
AWE,LDA,20,0.5458333333333333,0.3887240356083086,0.9997500162687825,0.4540727902946273,0.79806716806106,0.4605081546642662,0.3255159341135757,9.039943063331446e-05,0.04269799847669462,-1.0987776099158354e-05,-0.007379290539275218,7.716415487759586e-05,0.00779782491977663,-0.01305947133813643,-0.0003256377280276279,0.0518463209679231,-3.995554945168678e-06,0.00034561550275313824,0.02979909850291549,-0.000118867759617447,0.00047646992720591365,-6.21808238335797e-05,-0.00036809049931954,-2.4972218408692016e-07
Sliding Window,LDA,20,0.025721912157243388,0.314540059347181,0.9966303780230176,0.04755495737999102,0.7295368841602853,0.08917021462357669,0.020367588085164257,-0.0005244165865473827,0.2801161208155928,3.121527300888882e-05,-0.02787773601867911,-1.748055288477435e-05,0.003872941352745141,-0.040307907452958446,-0.00926494275118921,0.006762476744621715,-4.844610370953184e-05,2.1975552198250093e-05,-0.003812508584199947,3.995554945213087e-06,-0.0005908426875100403,0.0005980846308482502,0.015467042914757468,8.240832074357663e-06
History Window,LDA,20,0.03051237766263673,0.314540059347181,0.9971438366709469,0.05562844397795855,0.7332564160663998,0.09725460729653064,0.019687711320349615,0.0010600706713781438,0.2686099214623732,6.392887912205491e-05,-0.032845209704204036,-7.491665521497381e-07,0.003787036921424969,-0.03584387369051922,-0.007878734907415441,0.00873228533256758,-2.5471662775111703e-05,1.1986664835461625e-05,-0.002784901796751038,-2.547166277513391e-05,-0.0005423965838004197,-0.0004742224275492868,0.01879883629462229,1.0738053915093636e-05
SEA,LDA,21,0.5349794238683128,0.34759358288770054,0.9997319815795519,0.4213938411669368,0.7898263026408411,0.4310989996999681,0.351974615612152,-1.9195379020686688e-05,0.051281775836715934,-0.00042493990437530993,-0.005699794838380234,-0.0023332071251838337,0.01206138999198727,-0.015050057674189299,0.0009997446486276651,0.01772825330856138,-4.40260986709351e-06,1.2855620811969004e-05,0.01642825066699538,1.0742368075788988e-05,-0.0004672049590997096,0.00010214054891741764,0.0012556243341052431,-1.4088351574681468e-06
AWE,LDA,21,0.5258620689655172,0.32620320855614976,0.9997282278201619,0.40264026402640263,0.7857980019957778,0.4140443762586554,0.3594531058905658,6.0932120561063566e-05,0.056600480764997484,0.00010971303788884779,0.002794072326074848,-0.00034217083887329026,0.011386205742764343,-0.013691764477982505,2.2013049335645186e-05,0.009910979228486605,-1.7610439468906947e-06,6.674356558566963e-05,0.016593084380420686,7.924697760786081e-06,0.0005045390907730152,0.00015268251019204815,0.0043124444170504535,-7.044175787562778e-07
Sliding Window,LDA,21,0.029850746268656716,0.34759358288770054,0.996644889857192,0.05497991118629732,0.7503542154678663,0.10108371644684964,0.04424241845611593,1.1446785654545267e-05,0.21638880328258595,2.659176359749438e-05,0.010783400399757026,-5.635340629894792e-06,0.004822442744058697,-0.022949572506581827,0.0030446688797119313,0.0011062878074122207,-2.4126302071847407e-05,-8.805219734231429e-07,-0.0006500013207829003,-4.930923051182923e-06,-4.508272503940258e-05,-3.486867014761419e-05,0.011513529220121721,4.4026098671379185e-06
History Window,LDA,21,0.025728155339805825,0.28342245989304815,0.9967852804583791,0.04717400979083222,0.7455904773395429,0.08460372012607241,0.028951328846946685,-0.0001135873345719407,0.21171781031795645,0.00027349012494604086,-0.00392237318282278,-5.283131840583266e-06,0.0023944914545342534,-0.021291021317436987,0.004603368877070269,0.00318590460424939,-1.8314857047307954e-05,1.2327307627946204e-05,-8.840440613198109e-05,-1.7610439468906947e-06,-5.8114450246060654e-06,-5.881886782490575e-05,0.009669716207767931,1.4088351574237379e-06
SEA,LDA,22,0.352,0.2297650130548303,0.9996535913181039,0.27804107424960506,0.8217525016369961,0.2842229531509176,0.19464574498530354,-3.0026594983523224e-06,0.08593654379593356,1.5728216420285436e-05,-0.047359375446824316,-0.002367668506391385,0.0022251136721096465,-0.01489605078784062,0.006063370413795122,0.0033944350710629623,-4.289513568345171e-07,0.0006614429923646803,0.010631559381166245,-5.5048757470865795e-05,5.5191741256588324e-05,2.3306357059116323e-05,-0.00016714804541158036,-1.4298378561150571e-07
AWE,LDA,22,0.3534136546184739,0.2297650130548303,0.9996543493239725,0.2784810126582279,0.8272320207413255,0.2847939424629458,0.18892688833865007,2.530813005821031e-05,0.0869435785981871,2.945465984172113e-05,-0.039796534073036,-0.0008859275358173325,0.0006931853927765852,-0.01061983471074368,0.004513426177471591,0.005472132460179124,4.289513569455394e-07,0.0012878549572479692,0.011360633704138113,-0.0002610883925761698,9.822986073388939e-05,-0.0005697903857701636,1.9445794846983944e-05,-2.8596757122301143e-07
