Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,LR,18,0.0,0.0,0.9997229254768784,0.0,0.6818573314309007,-8.03025985456375e-05,0.08531796125773344,0.0009588408044005403,0.01077339336026586,0.00016904935823849331,0.004053308686513169,-0.006843368464990252,0.00462366392868323,-0.0011562141291871831,-0.0035252903206571817,-0.07328021347326379,-0.0018307717535517964,-0.0011887121539632117,0.07452035598753734,0.0017775525111431544,-0.0004979055172106506,0.009079322013684821,0.0002552138459473996,0.0
AWE,LR,18,0.20538243626062322,0.4769736842105263,0.9994044965473206,0.2871287128712871,0.8142140052049118,0.3127363036911519,0.18034030653320055,0.0024805831755638553,0.07041248639704234,7.572934213864179e-05,-0.010336458907887458,-0.0011657548337085765,0.0032724616508400086,-0.0017915654209091024,-0.012310192155752043,0.05899971676033455,0.00020780847035666293,-0.0018169079172940083,0.008914893934198953,0.00020989549947076914,0.00041621323474605454,0.003146345462947786,-0.00012074954159897455,0.0
Sliding Window,LR,18,0.2804642166344294,0.4769736842105263,0.9995608162036489,0.35322777101096225,0.7506488260471839,0.3655475686399758,0.20138313700355076,0.0036081751911868354,0.0926634963700601,2.6833231466572015e-06,-0.017461874450291393,1.1925880651908471e-06,0.00010822736691460389,-0.003996362606401194,-0.013144109360325484,-0.0006994529002250838,0.00014460130290250284,1.3714762749539312e-05,0.009305913746068284,7.364231302462443e-05,5.5157198014366135e-05,-3.84609651018275e-05,0.005326992740120229,0.0
History Window,LR,18,0.2804642166344294,0.4769736842105263,0.9995608162036489,0.35322777101096225,0.7506488260471839,0.3655475686399758,0.20138313700355076,0.00344419433222527,0.09294390363888434,-2.5044349368652517e-05,-0.01148193974448788,4.7703522607411845e-06,0.0009406538364067352,-0.0019152964326708322,-0.008970647426245825,-0.0007015399293391234,2.9814701629105047e-06,1.5801791863578886e-05,0.008401186625124879,7.662378318753493e-05,-2.9516554613051583e-05,-2.772767251530972e-05,0.005533906769428065,0.0
SEA,LR,19,0.0,0.0,0.9997525502159136,0.0,0.7039365875314625,-7.657980068675895e-05,0.20780483276980644,-0.0011890798130194335,0.024117360630193874,-0.020941828254847673,-0.01205364871883663,-0.0020393654778393167,0.0031929536011079617,-0.0010380237188365893,0.01311926506232688,-0.03549255540166205,-0.003272052458448771,-0.008005107340720219,0.021612815962603827,-0.004863876385041576,0.0013142745844875626,4.652873961210613e-05,0.0009593576869806108,0.0
AWE,LR,19,0.23780487804878048,0.5512367491166078,0.999510564622643,0.33226837060702874,0.9002267505693112,0.36185537940188245,0.37135522199703713,-0.0018734851108033635,0.07300856994459833,-6.0379155124690165e-05,-0.018207020429362907,-9.024411357341222e-05,0.005562240304709154,-0.004194728185595587,-0.008489655470914181,0.036249350761772846,-0.00012140754847647094,0.00038608033240992155,0.011875432825484733,-0.0015003895429363423,0.0006961997922437346,0.001640192174515187,0.0003901921745151693,0.0
Sliding Window,LR,19,0.3104166666666667,0.5265017667844523,0.999637021610094,0.3905635648754915,0.7950895549357422,0.40410349543842294,0.32273378070863423,-0.002038608033240963,0.07989623009002778,8.786357340722084e-05,-0.0221771121883656,-8.223684210562077e-06,0.0024991343490305294,-0.0033204207063711744,0.00468295533241001,-0.00013763850415513535,0.00025341932132969534,-1.6014542936249043e-05,0.014641836911357342,8.007271468146725e-06,0.0001458621883656974,4.111842105314345e-06,0.00011318386426595328,0.0
History Window,LR,19,0.30864197530864196,0.5300353356890459,0.9996338992153422,0.39011703511053314,0.7955817414924325,0.40429588474392086,0.3227592863402986,-0.002205678670360078,0.07092841066481996,-3.722299168975596e-05,-0.023015711565096943,-2.8133656509776727e-06,0.0006602752770083376,-0.004675380886426583,0.0003800207756232465,-6.557306094185922e-05,0.0005574792243767223,-1.1469875346259429e-05,0.011722861842105248,-3.895429362921199e-06,-6.838642659279248e-05,1.385041551245081e-05,-0.0003904085872575624,0.0
SEA,LR,20,0.4972972972972973,0.27299703264094954,0.9997317634884079,0.3524904214559387,0.7764118033731875,0.3683353106284988,0.24545234653281137,-0.0015839878135573526,0.06225124548939309,0.001643171971182089,-0.00023099302026490242,-0.0013355142404075427,0.003980571614079298,-0.0018901472112275108,-0.0037066263781541766,-0.0017495536215958785,0.00017905080597842017,0.001517311990410697,0.016166764474522054,0.0011791881531796333,5.443943612735147e-05,0.0030503564784178485,0.0014850978286656603,-7.99110989020413e-06
AWE,LR,20,0.24071322436849926,0.4807121661721068,0.9994555909853485,0.3207920792079208,0.8430496007428756,0.3399255692375877,0.38620278753898113,-0.0017875113935745368,0.059882630573487104,6.043276854510449e-05,0.007361809986390222,-0.0010293548427373622,0.003977574947870566,-0.0028628151181809168,-0.003545305847244795,0.05648441109265949,0.0005156763101050732,0.0009761640175305342,0.017733022013010635,0.003406959757270167,0.0004057985491142002,7.966137671853169e-05,0.00047322353881311673,0.00015382886538735098
Sliding Window,LR,20,0.282,0.41839762611275966,0.9995595524735692,0.33691756272401435,0.7776734300461848,0.3432822531847223,0.3178354380516331,-0.0008520520920475728,0.09789509171047209,-1.4983331044216008e-05,-0.014159497558965617,0.0,0.0023978324114423133,-0.010786250296545053,-0.009631534917404405,0.014954862715229278,0.0003228907840027828,-4.744721497340621e-06,0.02610345990086029,-1.0987776099047331e-05,0.0013030503564784412,0.00012061581490594442,0.00325437950280314,-2.2474996565602366e-06
History Window,LR,20,0.3284518828451883,0.4658753709198813,0.9996024068274921,0.38527607361963184,0.8002443608382757,0.39098262192838884,0.32080625342300995,-0.004382874052616614,0.04275293735718992,-4.27024934761544e-05,-0.009221990535529434,4.994443679740002e-07,0.0012893156363544156,-0.006917803943113499,-0.006943775050256784,0.030200152330532037,0.0002549663499354704,-3.795777197881378e-05,0.049547253680280456,-9.239720810727547e-06,8.640387568816798e-05,9.239720810416686e-06,0.001293061469115453,0.0006532732335275294
SEA,LR,21,0.4505928853754941,0.3048128342245989,0.9997004500006756,0.3636363636363637,0.8820110764352842,0.3704591351984198,0.41880992779019494,-0.00034516461358293784,0.052058044008488256,-0.0010474689395874037,-0.01098275057454059,-0.0019781806654984857,0.00800799513951871,-0.002286011147408207,-2.676786799209463e-05,0.03759459007299528,2.6415659203582465e-06,-0.0031823825163556974,0.01654395125430359,-0.0010541609065853664,0.00035344152013310203,-0.002345710537206447,0.0008833396437408104,7.713372487212488e-05
AWE,LR,21,0.3260233918128655,0.5962566844919787,0.9995405398506604,0.4215500945179584,0.897102762881051,0.4406962334291489,0.44092338717982027,8.805219734253633e-05,0.04707111975979359,-0.0005001364809059216,-0.012867595910856044,-0.002577992233796267,0.007464536977520253,-0.002442744058678037,0.0010638466482931098,0.03534274317815598,0.00013014114767224695,-0.0016051915575554076,0.013803766873002244,4.895702172242888e-05,0.0003460451355563832,-0.003260572867596001,0.0009169755831256676,7.572488971430147e-06
Sliding Window,LR,21,0.08315899581589958,0.42513368983957217,0.9985225203040845,0.13910761154855644,0.7993866365289928,0.18755188540235512,0.3310238555185557,0.0006901531227711865,0.054571758138224326,3.839075804139558e-05,-0.004131937412498177,7.044175787451756e-06,0.009499951571291465,-0.013536968715054299,0.008196250737437193,0.019702031364192706,0.0004659722283369749,1.4088351574459424e-06,0.01284840053183529,0.00010249275770679578,0.00013965078498539006,-0.0004522360855515606,0.002322464757108067,0.0005973461067720898
History Window,LR,21,0.25806451612903225,0.44919786096256686,0.999482731956054,0.3278048780487805,0.8036207471454341,0.3402337083144909,0.35617300699257964,0.00019353872975893526,0.06471220139298572,-4.930923051205127e-06,0.0021865121644109474,-1.4088351575347602e-06,0.005283836258133778,-0.00612403032517681,0.00974332784474632,0.01975556710017694,0.00010707147196851175,1.3383933996102826e-05,0.00795217004640345,-5.283131841338217e-07,3.8390758041328964e-05,-1.0037950497165937e-05,0.0012424165045038515,1.2679516417302138e-05
SEA,LR,22,0.3927392739273927,0.31070496083550914,0.9996604133709203,0.3469387755102041,0.8598364907619052,0.34915481613427213,0.283086134291719,0.00039234750779264526,0.0886426549229318,0.0006202636621007063,0.0064444222025223045,-0.0023974091338041957,0.001646458291629771,7.892704967262797e-05,0.048843118190397286,0.024365294975549845,9.722897423469768e-06,0.0001236809745775558,0.018109468386285,0.0025132260001716087,2.4593211129841918e-05,0.001781434985272745,-3.145643284097055e-06,1.5728216420374252e-06
AWE,LR,22,0.2806414662084765,0.639686684073107,0.9994193675047433,0.3901273885350318,0.8601427368550122,0.4234643648034125,0.29250880575277965,-0.00020861334324675517,0.08486430838742898,-7.449455231771651e-05,0.003364837427435807,-0.0019678858417454316,0.0010050330292545651,0.00023234865166299468,0.049060310560782486,0.023243587177214198,-4.23232005490437e-05,-0.00028010523606607495,0.0172704395321571,0.0021872229689154253,6.291286568111953e-05,0.002112728416597642,0.00017172352655223655,-7.2921730675634676e-06
Sliding Window,LR,22,0.289198606271777,0.6501305483028721,0.9994345276221128,0.4003215434083601,0.8412557589243932,0.43337814764433724,0.3614349587702906,-0.00016314449941381425,0.057993294060453435,0.0002676656467156313,-0.03263833681260551,4.918642225959502e-05,0.0011219937659068702,-0.011343904601218303,0.04926449140667444,-0.0011544510852469659,3.145643284045985e-05,8.664817409702597e-05,0.031078169235608598,-7.149189281996371e-06,-2.859675712896248e-06,0.0007968486373644224,8.779204438209564e-05,3.631788155216143e-05
History Window,LR,22,0.34850863422291994,0.5796344647519582,0.9995633886197547,0.4352941176470588,0.8346904077348205,0.4492518434925469,0.2971953514136713,-0.0005221767851526504,0.0690307129171551,-1.5871200206007962e-05,-0.03512940032600311,1.887385970422706e-05,0.001523206268409072,-0.010968715147702302,0.04555120249363713,0.00983185106808877,-6.291286568216314e-06,4.918642225959502e-05,0.021534430495581725,-1.000886499524789e-06,2.344934084468342e-05,0.0008563298921901774,7.234979553309984e-05,3.4030140981933245e-05
SEA,LR,23,0.446875,0.3783068783068783,0.9997073418829282,0.40974212034383956,0.9251525296350251,0.4110189073394699,0.33075018403516143,-0.0008382359958824636,0.05409130882342916,-0.0001858353387097722,-0.013454314911138554,-7.035292353207989e-05,0.00012898035980886126,-0.0001854263100846243,-0.0024093149452242947,0.006571862920873373,-6.858046615632052e-05,0.00023546414523241134,0.023347490268527248,0.0005014690944787903,0.00010334789929715704,-0.0008330549666301313,-0.0006477649994205859,0.0
AWE,LR,23,0.25334957369062117,0.5502645502645502,0.9994438075105165,0.34695579649708086,0.9288436371034311,0.37313872455309827,0.3236004673353693,-0.0008258287942517484,0.047023021494454295,1.3361601756156638e-05,-0.012875675749374493,-0.0012621259944508357,0.0002087409417202535,-0.0025654275371704617,0.00481849354757351,0.005898738146691329,0.0001447961333160386,0.00013756996093785556,0.01859866793011067,0.000257279005242439,0.00015406744882027202,-0.0003544914751617112,-0.0008454621682608022,0.0
Sliding Window,LR,23,0.2434584755403868,0.5661375661375662,0.9994111320896784,0.34049323786793956,0.8846498427414196,0.37101215129163684,0.36757086519270266,-0.0004309798280716093,0.04528090040834685,-5.33100641493256e-05,-0.0070974647042383095,-6.1354293778403955e-06,0.0009662619555657725,-0.007041018753962525,0.0013934241831356831,0.0033297656947691933,1.5270402006906104e-05,-1.3906973256361254e-05,0.046259569565543335,-1.949703113388601e-05,-1.1316458630195036e-05,0.0012727607387056582,0.005354321046567856,0.0
History Window,LR,23,0.3,0.5476190476190477,0.9995354407559104,0.3876404494382022,0.8939548501017173,0.40511263906789174,0.3372373733887659,-0.002806481740280353,0.052080387759136745,-2.1133145634522067e-05,-0.0211908186707932,-8.180572502736183e-07,0.0006168151667815148,-0.007513855844678163,0.002007103463790827,0.012985704449549784,-2.5905146261440137e-06,-2.072411700939636e-05,0.03314106715568321,-9.544001254235823e-06,0.0007399327829626934,0.00025073454723945066,0.0004033022244340767,0.0
