Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,NN,18,0.15369059656218403,0.5,0.9991820098406946,0.23511214230471775,0.818630250788729,0.27690441071771055,0.20690835176837602,-0.0008485264083718969,0.055767504956694226,-0.0008202024418240139,-0.016666716357835988,-6.201457938908028e-05,0.011262801687512147,-0.005132600885496608,-0.015035255884676624,0.0526035688197851,-0.00012850136402253742,0.0039030425903013198,0.006284640956455689,0.0031582713435996056,0.0005867533280660587,0.004408998076951787,-1.8186967993938374e-05,0.0
AWE,NN,18,0.13503971756398941,0.5032894736842105,0.9990645633264161,0.2129436325678497,0.8269885053297248,0.2603685298085048,0.20853352492515517,-0.0014221612677212335,0.05877431761601637,-0.0006234254110702552,-0.016085925970095904,-0.002519938581714709,0.010612244897959134,-0.005206243198521254,-0.010467941742073106,0.05441511009078568,-0.0008300412933618162,0.0029585128426826922,0.005936405241424403,0.003491897854832149,0.00025700272804514147,0.00392391288144176,-6.618863761733706e-05,0.0
Sliding Window,NN,18,0.05745757665972016,0.6348684210526315,0.99728963220218,0.10537810537810538,0.8273742974677378,0.1904450064674106,0.252178117174363,0.0006934899598992405,0.06700466600080505,-0.002017560859259704,-0.008383894098179811,-3.2498024775962084e-05,0.006677002429898149,-0.0019155945796871742,-0.015230542180349138,0.0470335862613855,0.000664867846334971,0.0019469000163981232,0.010480463916757322,-0.0029632831949434335,0.0005283165128723954,0.003603404838926094,-2.3851761303572693e-05,0.0
History Window,NN,18,0.03798496851513305,0.6151315789473685,0.9959861413113151,0.07155155921178497,0.8238990005522419,0.15217600729592,0.17261976641665508,0.0026827268526110172,0.08343077771649196,-0.0001434087148373342,-0.0014454167349920778,0.00011776807143595302,0.005921199743593531,0.0018213801225384295,-0.02067619743295417,0.05247268227963202,0.00017173268138519492,-0.001960018485115045,0.003967740492836968,-0.00019409370760723466,-0.00016904935823855994,-3.667208300421887e-05,0.0005518701271596705,0.0
SEA,NN,19,0.16289198606271776,0.6607773851590106,0.999174907186816,0.26135569531795944,0.9113622000067841,0.32781643368983426,0.49131496170243444,-0.0005157115650969324,0.06384868421052632,-0.001025363573407234,-0.005211868074792236,-0.005674991343490321,0.008759738573407217,0.012733076523545694,0.0034626038781163217,0.03563495498614959,-0.0001787569252077237,-0.003518438365650911,0.007221476800554005,-0.002713599376731235,0.001113876385041479,0.001336348684210531,0.00014997403047087854,-0.0003964681440443263
AWE,NN,19,0.1417740712661107,0.6607773851590106,0.9990414248111732,0.233458177278402,0.9143463515522056,0.3057879882759599,0.48191097088977375,-0.0019120065789474117,0.0698695031163435,0.0010208189058172,-0.006371407548476449,-0.0043172177977839786,0.0072742815096953125,0.011691265581717469,0.005929059903047085,0.0318191655124654,7.358033241011697e-06,-0.0021991862880887058,0.010958924861495922,0.0010344529085873021,0.0008288608033241163,0.002458448753462594,0.0002934556786703624,-0.00020580851800555688
Sliding Window,NN,19,0.04852125693160813,0.7420494699646644,0.9967285108987188,0.0910865322055953,0.9099982948564659,0.18922717154450422,0.18212133578559686,4.0252770083082365e-05,0.07734526488919673,-3.224549861489123e-05,0.006895667416897533,-0.0004958015927978065,0.005761340027700923,0.016920013850415527,0.012406509695290868,0.031960266620498626,0.00012032548476454963,0.0007230349722992191,0.00886902700831027,-0.0006399324792243366,0.0017302198753462949,0.0019578860803324714,-0.00010625865650961685,0.00010625865650970567
History Window,NN,19,0.0512033978291647,0.7667844522968198,0.9968096931622678,0.0959964609599646,0.914894921926401,0.19764044138475617,0.18810235689040533,-0.00013417590027708926,0.07440421572022149,-0.0017776142659280182,-0.004139975761772918,-0.012389845914127506,0.009650060595567788,-0.0021405384349031387,0.019921225761772778,0.026506232686980557,-0.0003633569944598847,-0.0003105522853186882,0.009635344529085854,0.0003066568559555893,0.0019358119806093255,0.001847082756232643,0.001065832756232643,-3.09470221607544e-05
SEA,NN,20,0.15530629853321828,0.5341246290801187,0.9990984713693236,0.24064171122994651,0.8669549615529676,0.2876903031025916,0.38977225845802915,0.006177627389529139,0.05515588907340581,0.0003216421730823926,-0.0031410056312352274,-0.001858182771666539,0.004353656557080266,0.008783478380301912,0.00891907752625205,0.05034249397545232,-0.00042252993544684704,0.004274744346914039,0.020869782367116584,0.010560751164329706,0.0005041890896377632,0.0002749441246612472,0.0017203361260597738,-0.0005531346377155577
AWE,NN,20,0.13980137509549273,0.543026706231454,0.9989841930921955,0.22235722964763058,0.8718741451289662,0.27518102418730855,0.41526189392791574,0.0045112312552284765,0.0559147947907952,0.00039181410680617647,-0.004541447639501062,-0.0027901459626165303,0.004203074080085889,0.008135699034823696,0.00889485447439715,0.049060420282435735,-0.0008892606974741258,0.004536203473635569,0.021707850016856222,0.01087839778246702,0.0007191998901222129,0.002221278827304585,0.001430408670354133,-6.742498969924959e-06
