Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,QDA,18,0.14142857142857143,0.3256578947368421,0.9993333669682506,0.19721115537848605,0.7816961929203218,0.21431716661812494,0.1670402604376343,-1.9826776583498072e-05,0.1460179484503809,0.001021749824838647,0.00046913433013819896,0.0006517493776181605,0.006514065085493725,0.000292184075967894,0.002678254647366596,-0.006285237250488196,-0.00020840476438930278,-1.4161983273952572e-05,0.00828982871453916,0.0019158927267036718,0.0007155528391049826,0.0007316527779848813,0.009349890430971609,0.0
AWE,QDA,18,0.050761421319796954,0.4934210526315789,0.9975526462271135,0.09205277692543724,0.8101541541717737,0.1576903714019492,0.18183203563307823,-0.0003855040920678787,0.05578852432134278,0.00047912225518398355,-0.004840118662512527,-0.007397921915296446,0.004492479241513925,0.0030336458907886943,-0.01182838657742138,0.04533206123939706,-0.00011627733635466431,0.005129917562349951,0.010946020482700014,-0.0019319926655834597,1.7590673961254134e-05,-0.0020118960659501806,0.0003443598038192164,0.0
Sliding Window,QDA,18,0.04176267281105991,0.4769736842105263,0.9971167707832773,0.07680084745762712,0.7338580018237961,0.1405069561017609,0.21931612649459795,-0.0005378572173938778,0.11731101206004683,3.875911211870253e-06,-0.0029880293972958105,-7.006454882896307e-05,0.0026174326560427508,0.0007353796156885472,-0.011494461919172272,-0.023658860183956687,0.0008688004054799636,0.001477318465735533,0.009306510040100769,-0.002580760573038554,7.67728566956949e-05,0.0024969812614600738,0.015065965027355044,0.0
History Window,QDA,18,0.04142692750287687,0.47368421052631576,0.997111808254505,0.07619047619047618,0.7332358383882216,0.13945101845982857,0.2189616166953106,0.0040965400038759595,0.11062223282300501,-5.784052116093452e-05,0.0007531193631580502,0.0023869650124476393,0.0015533459548903394,0.0019597203380987914,-0.008053249057109978,-0.023640375068946406,0.0003863985331167052,0.0044060166067889425,0.005398249877014339,-0.0024725332061238613,-0.0002629656683710513,0.002414394537946718,0.015778536396297005,0.0
SEA,QDA,19,0.1675603217158177,0.4416961130742049,0.9993919136220716,0.2429543245869776,0.8308327499735799,0.2717996530127515,0.29743525928029035,0.0006085526315788403,0.13237675294321313,0.019559491862880796,0.0018032591759002293,-0.007207193559556924,0.0020623052285318353,-0.0012612534626039507,-0.0020036573753462903,-0.002266057825484835,-0.0027705159279778568,0.003371061288088528,0.025760582583102386,-0.0014999567174516005,0.0011198277354569797,0.0006959833795013414,-0.00027159799168985366,0.0
AWE,QDA,19,0.05627445079747216,0.6607773851590106,0.9974771050404818,0.10371602884082086,0.9382781976231422,0.19234769232616106,0.3134112977908985,0.0006492382271467978,0.08824391880193902,0.0018925294321328946,-0.021204336911357324,0.0033857773545705517,0.006907894736842035,0.02014975761772846,-0.0011707929362881008,0.016224463296398837,0.0003785058864264945,0.0020277873961218607,0.012068905817174458,-0.00159063365650971,0.000924298822714631,0.00261448234072017,-2.1208448753551325e-05,0.0
Sliding Window,QDA,19,0.033325341644689525,0.4911660777385159,0.9967402198790384,0.06241580601706332,0.7330708194901064,0.12731194529372644,0.25728886922088046,0.002043369113573479,0.1203773156163435,-0.0002161963296398506,-0.03271056959833796,0.002581804016620537,0.003248896295013859,0.00929968836565096,-0.0017129068559556648,-0.019281076869806114,0.0011204769736842478,-0.010234591412742345,0.006751211911357369,0.00015062326869812458,-0.0021043975069251486,0.0018804103185595445,-0.0006135301246536828,0.0
History Window,QDA,19,0.035493473780627435,0.5477031802120141,0.9966122016942114,0.06666666666666668,0.7603969247492888,0.138811318720244,0.2681080055508883,0.005103228878116317,0.07048465633656512,-0.0006431786703601005,-0.02875108206371193,0.0037686114958448425,0.0052134911703600965,0.015173995844875355,-0.006535448407202238,-0.016190702908587283,0.002171052631578885,-0.007373831371191142,0.01521533067867038,0.004233466066481961,0.0008286443905817009,0.0006929536011080373,0.00012184037396119063,0.0
SEA,QDA,20,0.12045060658578856,0.4124629080118694,0.999037364235026,0.18645204560697518,0.8771349031790887,0.2225300296525946,0.3079859942739517,0.00042252993544684704,0.07976963128519528,4.844610370962066e-05,0.009455480777634872,0.003540311403563523,0.006049020464732946,0.012222152854948876,0.0017163405711146718,0.04374108803955601,0.0006957260048196634,-0.0016757607162032784,0.019620921724581408,-0.0012910636916430907,0.001127995105445212,0.006675948007841282,0.0025254404475021806,-4.744721497340621e-06
AWE,QDA,20,0.04768429706768978,0.516320474777448,0.9971128863042247,0.0873055694932263,0.8772811364383679,0.15627609035587245,0.3165512144528287,-3.895666071496162e-05,0.07285919414651196,-0.0009869020714455168,0.013249010475845568,0.004199827691692892,0.005279126971244464,0.01042889785114054,-0.00342219281049827,0.045055875338685714,0.00014658692204914115,-0.0019213624842362663,0.018407147048908067,-0.0016566569691218503,0.0008368190388192476,-0.0005126796438961855,0.002786400129855493,3.74583276099294e-06
Sliding Window,QDA,20,0.023166023166023165,0.49851632047477745,0.994244025388824,0.0442746079852418,0.7703309144343928,0.10654520700686224,0.22805564698719455,-0.0023950854674175126,0.024423204185343807,-7.891221016627092e-05,-0.04038032688633897,-0.01927430733309199,0.0025251907253180717,0.011679256826780216,-0.01647467192748071,-0.03711645794054115,0.00012685886950767334,-0.0017501779270561845,0.03472611719462097,-0.0031027981370725043,0.0009521906878596998,-0.0014526339447365143,0.019516288129455984,-0.00028318495673569367
History Window,QDA,20,0.0232592374503165,0.4688427299703264,0.9945924154142349,0.04431977559607293,0.7690495084299065,0.10351912653109539,0.24501926425336945,-0.005816029666995437,0.026009314637465853,-7.341832211664734e-05,-0.031143353019765452,-0.013010026345690396,0.00299391926481789,0.012761552772540518,-0.01633482750440134,-0.02872878922199047,0.0008153429309892158,0.00041553771429283517,0.0356241181685375,-0.003288591442020783,-0.00039780743922381847,-0.0036978861017118005,0.019844922523692455,9.414526339441842e-05
SEA,QDA,21,0.12921348314606743,0.4304812834224599,0.9990255240623485,0.19876543209876543,0.8549011691276986,0.2354780908095465,0.2960341058843059,0.0006330952988932159,0.046809604733686096,0.0032549375269659508,-0.005040988297862925,0.014686225994769675,0.0020796167968371248,0.011671847070943597,0.009702647729574077,0.030807174493039446,0.0016235064146025823,0.0015298188766300403,0.010903679701326907,9.192649402560704e-05,0.00037651119583688165,-0.0015668007995139454,0.0018550836936135572,2.993774709669772e-06
AWE,QDA,21,0.06662980370472768,0.6443850267379679,0.9973656116600775,0.12077173640691556,0.8582656488345332,0.2066447710793712,0.30769439130320664,0.0003120569873820589,0.05758798615819449,-0.005126751138074681,-0.0019408465338253578,0.014317287287904223,0.002525689228574657,0.015063969921369292,0.015426568870026091,0.03405031302556152,-2.8176703149673797e-05,0.0022426894663156506,0.012373182822777306,0.0002868740589420771,0.0005381750301578503,1.0037950497010506e-05,0.002774876947054117,-3.345983499114524e-06
Sliding Window,QDA,21,0.021866033442168795,0.5909090909090909,0.9924632018966996,0.04217154851636295,0.7945284738724885,0.11265420387200588,0.2399315559605202,-0.00011376343896667418,0.03171349576028668,-3.275541741145638e-05,0.0021144854669848277,0.017605860754255097,0.005872377145171614,0.025418908328857338,0.0036043286460212933,0.0022566017134957317,0.0008185332264966094,-0.003096443571749363,0.02328064876859002,-0.0028608158916606065,0.0007502047213587381,-0.00024161522950811866,0.003341933097940397,4.1384532750976535e-05
History Window,QDA,21,0.02739067755886593,0.4572192513368984,0.9952890319655134,0.05168505364969019,0.7808109789530928,0.11103754536340363,0.2553215758858417,0.0016610166506705326,0.039528568535427855,-0.0010798721482094598,0.005853005661756283,0.013431834391427255,0.00832656798950424,0.025934013683311496,0.0007944069244248508,-9.756183465556845e-05,0.0010081976595726072,-0.0021308631756904893,0.021271209573034945,0.000987065132210385,0.00040803388248551454,-0.00145620723965163,0.0025587088025782025,0.0006478880680466758
SEA,QDA,22,0.10328262610088071,0.3368146214099217,0.9989584999367065,0.15808823529411767,0.8779626017758041,0.18610385207471383,0.16129066907524736,7.978495238638583e-05,0.07279390317138035,-0.0005288970230775903,-0.009422631473590948,-0.004678429466098555,0.0030943121050072573,-0.006688781492178819,-0.016415110526466336,0.03217406846063655,-0.000673167662787022,-0.0013979524721896563,0.012801266836340686,0.001001458434613478,0.00010194743916036586,0.00087820641139289,0.0005110240498727326,1.429837856448124e-06
