Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11,Importance_12,Importance_13,Importance_14,Importance_15,Importance_16
SEA,RF,18,0.091478093403948,0.625,0.9983449966544286,0.15959680806383872,0.8686658465658263,0.2386883265284497,0.40463016818277403,0.0017972302142186703,0.06527690404138291,0.007257494670622156,0.003423920335117292,0.004886331450038028,0.005157645234865371,0.031031141455851972,0.0060413529911599985,0.03623678836034059,8.049969439971604e-06,-1.162773363541092e-05,0.010389230929771554,0.00021764732189450965,-6.857381374714145e-06,0.008446206824585235,0.0003061969857337532,0.0
AWE,RF,18,0.13793103448275862,0.6052631578947368,0.9989495980765238,0.22466422466422467,0.853558178109718,0.2886057911382795,0.3627815293468151,0.005134687914610692,0.06809081558116307,0.020717938015235315,0.019773706414633097,0.01626123641567656,0.009535934169138827,0.046425068201130015,0.016810721366705937,0.04128441734619341,-0.0001657697410592851,0.00028651928265832627,0.014236520028025824,0.0014641999970185448,0.0003568819785036537,0.016504822527988572,0.0003822244748885817,0.0
Sliding Window,RF,18,0.02787686616461884,0.694078947368421,0.993837366352897,0.05360091451797282,0.8283371041709092,0.13829605729691943,0.35789461542198003,0.005091456597248056,0.05661364618893574,0.013622337174460663,0.002821812435712001,0.010777567418494028,0.01129142380107635,0.01812748766416723,0.0010549932171553423,0.03451170972406494,0.00034823571503106443,0.000935138116605283,0.001630566032110381,0.001259223923316588,-0.0003849077980352389,0.008279840789493287,-0.00030291736855445615,0.0
History Window,RF,18,0.07698199923400996,0.6611842105263158,0.9979215275325232,0.1379073756432247,0.8144245466297414,0.22514332971678902,0.39764119391181174,0.0025557162236698127,0.05639242110284581,0.007522547368107158,0.01180378944857705,0.017658353334029007,0.01535695651525768,0.024632310192155726,0.011906053875165768,0.0362604910481358,0.000874763345805829,0.0003750689464974588,0.0036494685529434136,0.002435861123119798,-2.027399710800015e-05,0.009459459459459363,-0.00020751032334049847,0.0
SEA,RF,19,0.03590931656462022,0.7667844522968198,0.9954007125304823,0.06860575403098323,0.9190750052236488,0.16532364071410177,0.5075154046260844,0.0016659452908587725,0.066394347299169,0.00877575311634351,0.0072392226454293775,0.014162915512465402,0.003918585526315877,0.029143221952908617,0.011435682132964064,0.01013698926592801,2.4454639889226472e-05,-2.1641274234873719e-07,0.011530038088642702,0.00039040858725767345,5.62673130197755e-06,0.00954834660664825,0.00033370844875346695,0.0
AWE,RF,19,0.14721189591078068,0.6996466431095406,0.9990383024164213,0.24324324324324328,0.914986239046115,0.3206525573075289,0.5817678781098367,0.008879631232686935,0.07670987707756227,0.03228185595567867,0.029645083102493096,0.03997900796398894,0.008286227493074838,0.060997013504155165,0.03419775796398894,0.025929709141274217,0.0001482427285318888,5.475242382273482e-05,0.013708232340720206,0.0024844182825485062,0.0009230003462604274,0.019579293628808857,0.0009333881578947212,0.0
Sliding Window,RF,19,0.09600367478180984,0.7385159010600707,0.9984060174791658,0.1699186991869919,0.9302093773072669,0.26591367328503934,0.5100306982722018,0.002562543282548435,0.08298216759002772,0.00936320550554015,-0.008728358725761786,0.0066013460872576205,0.007543282548476471,0.029123961218836557,0.004782072368421075,0.028602298303324124,0.000546442174515227,-0.0010025320290858674,0.004759349030470861,7.098337950144362e-05,-0.00011210180055398755,0.0033198796745153025,0.00021143524930755664,0.0
History Window,RF,19,0.07358302949950282,0.784452296819788,0.9977706101471585,0.13454545454545455,0.9332123721992438,0.239842578841678,0.6006989491004933,0.002221585006925242,0.07279215720221607,0.00478434470221607,-0.003756925207756212,0.0037612534626038975,0.00854429968836563,0.0249979440789474,0.011990023372576219,0.02661703601108034,0.00012454553324097172,0.0001408846952908105,0.003426895775623273,0.001413499826869824,0.00026380713296396684,0.0039051679362881453,3.6573753462598726e-05,0.0
SEA,RF,20,0.004163750874737578,0.7062314540059347,0.9547481830547536,0.008278692801363549,0.8637608009147628,0.051942540602523145,0.3577869617503495,0.0013763438175030895,0.06710047572076072,0.013686898325612784,0.012298567843274478,0.01230031589856293,0.004465157512267659,0.007674961605214259,0.010740176553584214,0.040165066363670454,0.00026420607074637557,0.00017368177902095107,0.0009437001336014105,0.009550874651949792,0.00039993007778853505,0.002330906866111504,0.00019066288753764039,-4.994443681294313e-07
AWE,RF,20,0.15433571996817821,0.5756676557863502,0.999042919429053,0.2434127979924718,0.8942123914131603,0.2977424247101105,0.4536501047679017,0.0023336538101361047,0.06044949993132629,0.028422879546504354,0.014628226098465369,0.013180836319594347,0.001577744758955535,0.006945023661176841,0.006101212401203537,0.04606025796301603,-9.764137397156869e-05,0.001582988924821116,0.009873265991584269,0.0017780219505798335,0.00024447801820473016,0.004198828802956633,0.0006727515638851322,7.491665521941471e-07
Sliding Window,RF,20,0.058394160583941604,0.6646884272997032,0.9970438431784598,0.10735681763719146,0.849370468068328,0.19643564115062112,0.37694437709488976,0.00041691118630513555,0.061887025683926435,0.007127071133364016,0.03157275031527409,0.006443331793379747,0.003089812583500695,0.0009518161045835693,0.0009574348537250588,0.04957472312052828,0.0005553821373720513,0.0014989574098813296,0.005136285881956204,-2.6845134787656376e-05,0.0003496110576981737,0.0015146899074778065,0.0008832673650561506,0.0
History Window,RF,20,0.07241153342070773,0.655786350148368,0.9976612633146097,0.13042195337857776,0.8831899614463212,0.21740160293466104,0.41636627978029705,0.0004938256189988665,0.06518822809624295,-0.0008388168162918541,0.019377942039481066,9.839054052369622e-05,0.0034504114172982494,0.012622207793829342,0.0009370824957234847,0.04784564671802618,0.00013147872991297048,0.000453245764087451,0.005880957434853729,0.00025134537826669855,0.00039655882830347267,0.0007334340546142126,0.001086166639613384,-5.369026957535716e-06
SEA,RF,21,0.1263395375070502,0.5989304812834224,0.9987244725592681,0.20866325104797395,0.8530264529072795,0.2746893348582313,0.24874358823232665,-0.0007723058228918056,0.09476767427731159,-0.019022444505102643,-0.012729177856633456,-0.016195616761616315,-0.0005038346731942811,-0.02214257411793712,-0.010288899259481043,-0.02620116405004891,4.930923051180702e-05,-0.00018684676276097266,0.02305664397855043,0.00025658410305624547,0.00020709876814972716,-0.00991890392624748,7.440410675447761e-05,0.0
AWE,RF,21,0.199250936329588,0.7112299465240641,0.9991163650395871,0.3112931538911644,0.9441113875635625,0.37615903313812826,0.5572279201431796,0.003615423222886638,0.06740378096135394,0.042899734962886016,0.03758754589720792,0.02581179723339997,0.0021840467028855226,0.04452958113569729,0.01598781357588779,0.0359842914879942,0.00012926062569900142,0.0005476846674709268,0.015003213905203028,0.0007426322323873969,0.0001771610210533625,0.015074007871866458,0.0022620609497310262,0.0
Sliding Window,RF,21,0.07831845666570689,0.7272727272727273,0.9975202665469468,0.14140889004419027,0.9219760782788776,0.2381490290039366,0.5314334052869628,0.0008371122401359621,0.05489746321619453,0.022228248905951452,0.035966504944130895,0.013156583222534301,0.0016851429527423578,0.050665410455317916,0.0057961239422729795,0.03438711268039689,0.00026829504530281325,-9.05176588682055e-05,0.0104495064674339,-1.4616664758837495e-05,0.0002954151220843748,0.011309600331076353,0.0011880002465461282,4.402609867049101e-06
History Window,RF,21,0.08803471791692498,0.7593582887700535,0.9977237203058863,0.15777777777777777,0.9272437826791272,0.25807772434794574,0.5397284567880144,0.0017459870211061989,0.05910424499643394,0.03166559536493243,0.039923834849298755,0.008147205663517431,0.0012144159057489556,0.04472787468411284,0.0037832507110215686,0.03475112046421125,4.622740360491484e-05,0.0021941727055799108,0.008425626711514655,0.0005541124778768892,-3.5220878933373003e-07,0.017790330107687914,0.001186943620178127,-1.0566263680455989e-06
SEA,RF,22,0.271259418729817,0.6579634464751958,0.999387531258267,0.38414634146341464,0.8644254259236525,0.42222530647820306,0.4436012750482507,-0.009314392747862433,0.10203573164803115,-0.04101153879150108,-0.07644914066744828,-0.011445137121450389,-0.0016558952214818846,-0.06310753810517888,-0.04882624610369184,0.00870656867511228,-0.006213002945466029,-0.0015642426148875011,0.002092138751465522,-0.006191555377620173,1.2296605564987573e-05,-0.023705424804827114,0.00012296605564927622,0.0
AWE,RF,22,0.18342391304347827,0.7049608355091384,0.9990032222829469,0.29110512129380056,0.8813043838583909,0.3592758441955785,0.47302437053709306,0.0018261889101776729,0.08890746089393475,0.0195368755183164,0.0341060653721869,0.009158397437730703,0.0015173439331980898,0.01903800509022282,0.015320712631187727,0.01523721010037471,0.005283536846921644,0.0004479682004062013,0.013057136320741325,0.0007825502588007626,3.102748148366974e-05,0.005612685521461991,0.00043567159484121377,0.0
Sliding Window,RF,22,0.07626416137054436,0.720626631853786,0.997384879753739,0.13793103448275865,0.8967712814892741,0.233893721534936,0.4820290093663703,0.00038820097800906783,0.07775007864108219,0.003717363950927988,0.027890131259115235,0.000818367697103195,0.001461866224370234,0.0012185793131059609,0.006862792759301084,0.02091094969830425,0.002995939260487801,0.002552975492579246,0.007749578197832396,0.0007012639766650564,4.861448711723781e-06,0.0027185507163487886,0.0004019274214303925,2.2204460492503132e-17
History Window,RF,22,0.07526588491955277,0.720626631853786,0.997348495472052,0.1362962962962963,0.8866477627926365,0.2323503395661046,0.48070041230876426,0.0003077725985873636,0.08113943778775487,0.003300065772541494,0.02619248477222691,0.00026166032771894886,0.0012830650004290068,0.010362821356058306,0.014023706711658979,0.011975106522920397,0.00024364437072847965,-1.5728216419708118e-06,0.005925820012010719,0.001081171895107169,4.83285195459926e-05,0.0033587606165461415,0.00042745002716697565,0.0
SEA,RF,23,0.21262766945218198,0.6058201058201058,0.9992917957700957,0.31477663230240543,0.9059277191206596,0.3586389525058474,0.38786825491274635,-0.013294384718690443,0.05404522493165827,-0.03360592818820758,-0.05384173319062764,-0.029792145286967543,0.0017534375447376238,-0.054894981900483183,-0.01660069943894895,-0.006728998084382565,-0.000569095160509514,-0.0001850854528968382,-0.0047540715391064525,-0.0028328640866049025,-0.00041277805425075085,-0.014381719147311567,3.1086175514283276e-05,0.0
AWE,RF,23,0.14774193548387096,0.6058201058201058,0.9989558072036517,0.23755186721991703,0.9148587172399385,0.2988348582336362,0.43783898392158377,0.006770378146964062,0.06673547437094814,0.028339275610304894,0.03280764065471855,0.0295052798778368,0.0014911820245554265,0.05022571562966556,0.008861059793167914,0.009422656095549176,0.0004780181199681266,-2.8222975137848218e-05,0.014052860132661715,0.0015230862573200055,0.00013497944631164495,0.00885833293566669,0.0014260101302756123,0.0
Sliding Window,RF,23,0.07867425510545697,0.6216931216931217,0.9979435794929059,0.13967310549777118,0.8835533215865714,0.22066789668528572,0.45008822825737455,0.00017438253720458707,0.0612557860507605,0.003994846239322669,0.007829898629072397,0.004798587487814321,0.00019606105433946918,0.014955245451260857,0.0006114296232164751,0.012591128169119736,2.072411700939636e-05,6.817143753279353e-07,0.0027752592218911686,9.148606916671298e-05,2.2204460492503132e-17,0.0008683677712711946,2.2632917260345664e-05,0.0
History Window,RF,23,0.07212416311625076,0.626984126984127,0.9977340305984006,0.12936681222707425,0.9364325493216333,0.21213611114884878,0.37321481756222497,0.0006142246521553263,0.054773704913115596,0.01777836102229895,0.007914840240236254,0.009592062117813938,0.0011465072363981755,0.03245274015093167,-0.00019769716884010524,0.008375679157946504,0.0021662837704259806,-0.00017942722358181838,0.005040391576737302,0.0002588469483057132,-0.00013259344599789725,0.00700318360613279,0.0007057107213221059,0.0
SEA,RF,24,0.17834394904458598,0.6387832699619772,0.9991714916867914,0.27883817427385893,0.931347757739623,0.3372441991267735,0.3148641996584898,-0.010873645754598172,0.0591755549956607,-0.06323297220122621,-0.01413685227177297,-0.04427549620671323,0.005184975224657729,-0.059142941127068194,-0.042329722012261775,0.01783544693597594,-0.003424456202233994,-0.0003028330673833901,0.0017592592592591938,-0.003590464992581488,0.0,-0.041259973125052564,0.0010450435318159813,0.0
