Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,CART,14,0.5636363636363636,0.09657320872274143,0.9837717711509639,0.16489361702127658,0.9066894041049196,0.22866714871078941,0.24792246107463375,0.036994071462906605,0.06742348982534854,0.07500721038295148,0.000903701329915152,0.11263419323826318,0.12833680499919892,0.0705063291139241,0.050794744431982154,0.12035090530363728,0.04637558083640445
AWE,CART,14,0.4714285714285714,0.102803738317757,0.9832032663186728,0.16879795396419436,0.9152671059602606,0.21457221666245277,0.2260720481838039,0.032579714789296575,0.05162794423970514,0.05272552475564807,0.0016952411472520358,0.10490946963627626,0.09835443037974678,0.05095978208620409,0.06190834802115042,0.10330075308444157,0.03775196282647011
Sliding Window,CART,14,0.33064516129032256,0.2554517133956386,0.9790686857201922,0.28822495606326887,0.8766989227876676,0.28016453189504337,0.28836820702533095,0.040600865245954146,0.1458548309565775,0.05454574587405867,0.004431982054158024,0.19948245473481818,0.1332094215670566,0.08915398173369657,0.0869219676333921,0.10053356833840732,0.1273465790738664
History Window,CART,14,0.3263157894736842,0.48286604361370716,0.9748824228642307,0.3894472361809045,0.9192686691591404,0.38468179030813593,0.3426166003814415,0.08442236821022275,0.08552796026277838,0.1295449447203974,0.0,0.29881589488863963,0.10003525076109596,0.19017304919083483,0.09498157346579077,0.16469796506970039,0.1818827111039897
SEA,CART,15,0.8518518518518519,0.33014354066985646,0.9876044852191641,0.4758620689655172,0.9355991221751987,0.5259301012386713,0.5092713899088154,0.04718413058879476,0.08218243223571205,0.05722518220902362,0.000192447666462936,0.07801282984443095,0.15325879989518737,0.04971982026571951,0.06566512359158012,0.11752680971652067,0.04024271891771234
AWE,CART,15,0.7814207650273224,0.34210526315789475,0.9871559633027523,0.475873544093178,0.9413286120908717,0.5120404602108205,0.4943631610841128,0.03740394600207675,0.07335516930154007,0.050819479624615416,0.0001123824497044179,0.07398909172077128,0.1434696868236915,0.04585048669946912,0.057964208421890276,0.1253161362952611,0.03155724420376353
Sliding Window,CART,15,0.3091715976331361,0.5,0.9724362895005096,0.3820840950639854,0.9206172719194706,0.3799796935456629,0.4489293283809597,0.04177870944575468,0.1102295202880407,0.19014421443891266,0.006237128909851486,0.09948767966149401,0.25065711706990423,0.05410147417047586,0.055283333818577064,0.16685746450442057,0.1308421890315505
History Window,CART,15,0.10931174089068826,0.8397129186602871,0.8806523955147808,0.19344171948195096,0.9237899293877793,0.2766862883697848,0.46288838185850883,0.02847487893168734,0.1046668801739113,0.17897526227424032,0.0004930076377363424,0.26459380246697917,0.2691709125493735,0.11360545802156423,0.08790258246717328,0.09892877592414666,0.05281878087363279
SEA,CART,16,0.8095238095238095,0.31941544885177453,0.9844735149045679,0.45808383233532934,0.9449141943771893,0.5028098582119448,0.5088385142652327,0.037082255442869784,0.0739446784643208,0.035770357821478374,0.000535873720839608,0.073449726425677,0.16159686133559206,0.01266609051990566,0.044916725807559274,0.08708093908106489,0.026027849637141887
AWE,CART,16,0.8097826086956522,0.31106471816283926,0.9843448423761527,0.44947209653092013,0.946870825503152,0.4962234486901292,0.48661551522676805,0.032037785307112945,0.0740365948581763,0.029341132300084748,0.000498157093473206,0.07236178201048513,0.1574819143334631,0.01504132231404962,0.03867791488290111,0.08402938348481037,0.023673450699388844
