Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,GBDT,14,0.11346633416458853,0.2834890965732087,0.9513669957103726,0.1620658949243099,0.6291816552357339,0.1577166199011157,0.12964163632584128,-0.004055439833360097,0.0015830796346739007,0.05633712546066336,-9.774074667516786e-05,-0.03156545425412598,-0.05473481813811891,0.05866848261496553,0.03670245153020344,-0.018956897933023555,-0.03053677295305244
AWE,GBDT,14,0.5494505494505495,0.1557632398753894,0.9838751356659259,0.24271844660194175,0.9423625259250672,0.2867728988903059,0.2942846959669738,0.006848261496554908,0.09162473962505997,0.04450088126902727,0.00021791379586597604,0.10766543823105261,0.0863066816215349,0.03798269508091641,0.041571863483415995,0.08689953533087633,0.009990386156064646
Sliding Window,GBDT,14,0.4314159292035398,0.6074766355140186,0.9802056953847744,0.5045278137128073,0.9699339618872859,0.5022825757827546,0.4992916039860979,0.00038295145008797603,0.04310527159109101,0.01924050632911376,5.4478448966333026e-05,0.17794584201249783,0.08604390322063757,0.0345601666399614,0.0317561288255086,0.036409229290177716,0.024771671206537248
History Window,GBDT,14,0.46522781774580335,0.6043613707165109,0.9819112098816476,0.5257452574525745,0.9709523004956788,0.5212848359576683,0.5342550132722019,0.005028040378144594,0.09244191635955785,0.028908828713347212,0.0012866527800032169,0.21517545265181867,0.09374459221278637,0.028298349623457807,0.026825829194039485,0.05888799871815411,0.026657586925172238
SEA,GBDT,15,0.09579100145137881,0.3157894736842105,0.937533129459735,0.14699331848552338,0.5270941176727441,0.14844360465404943,0.12335860701331106,0.022981531623334318,-0.012704166302733877,0.017620461757940985,0.00023311109170136567,-0.07102066167836103,-0.09627235760522519,0.0013575178812317069,0.04458613561591984,0.03750555604079926,-0.007180248638891306
AWE,GBDT,15,0.7298578199052133,0.3684210526315789,0.9869113149847095,0.48966613672496023,0.9539226332044753,0.5130249960240948,0.4587486880197174,0.008668879378111538,0.10234663871662734,0.03639182461350332,0.0001609068234973865,0.09056336797973621,0.13207053502974545,0.027850661387214724,0.043605943265302136,0.10594714725206474,0.010964276356013603
Sliding Window,GBDT,15,0.4257748776508972,0.6244019138755981,0.9792456676860346,0.5063045586808923,0.9658658476969603,0.5056024886105946,0.6152827155389616,0.007904717539620165,0.09815859706330488,0.026174920662648905,0.000542211352762556,0.1560268242738328,0.14100455158626182,0.025060315796624665,0.025616016925301622,0.05736609699051835,0.013426791277258588
History Window,GBDT,15,0.41029641185647425,0.6291866028708134,0.9782670744138634,0.4966949952785648,0.9669561323787111,0.4977329066402814,0.6217929720315766,0.007309032326937892,0.08989712832755896,0.026640754651061284,0.00038673925912986463,0.17425296726545744,0.1466875321473977,0.03021030463601875,0.02653506856494021,0.05963878456148528,0.013796061761822997
SEA,GBDT,16,0.532051282051282,0.3465553235908142,0.980313103152477,0.4197218710493047,0.8098336015616114,0.4199464537000007,0.41361010377608165,0.01834018223026037,0.15776207046541976,0.011895332066573606,3.4397106293404535e-05,0.11463897346672469,0.1565561113527621,0.010053169570293785,-0.01753016185526881,0.04235582976580214,-0.01781214944712799
AWE,GBDT,16,0.75,0.33194154488517746,0.9840017156337122,0.4602026049204052,0.9485890314929619,0.4925950725440602,0.44844694328020324,0.008777958380073647,0.10547600787527751,0.021059900185435243,8.75094434650725e-05,0.06829153407660074,0.1410039261921659,0.014974245095121375,0.030807215952015677,0.06947356974428238,0.004388120693207531
Sliding Window,GBDT,16,0.5708418891170431,0.5803757828810021,0.982414754449925,0.575569358178054,0.9694733090008049,0.566611621964418,0.6559534304267243,0.005494837572399968,0.1170451683798448,0.02055023923444983,0.00022584189922398857,0.1612102515968042,0.13389769007119806,0.014191582152423287,0.021819154781255068,0.04366858588402285,0.006946956342574584
History Window,GBDT,16,0.516245487364621,0.5970772442588727,0.9802273214668669,0.5537270087124879,0.9700383345199738,0.5451756569887902,0.6497774877975298,0.0036212540921683133,0.08538889906366623,0.024320986241157527,0.0002772944758591356,0.1452914882901033,0.1108663950001145,0.01671115588013099,0.027004990728234323,0.04150425814427339,0.012081969277260195
SEA,GBDT,17,0.5555555555555556,0.25806451612903225,0.9932750812022508,0.35242290748898675,0.8757863497734921,0.3757601558424557,0.35671693970080715,0.0059900802384926346,0.16331980770655635,0.01968131240711115,5.91437450151e-05,0.15770132626688343,0.1467148853082056,0.014214068104654332,0.03940969573877384,0.0854943100840739,0.011844962321468278
AWE,GBDT,17,0.6666666666666666,0.2838709677419355,0.9939155496591793,0.3981900452488688,0.9666129255198982,0.43258623841157046,0.39782987690596,0.006633862300112004,0.09573803287119562,0.021599103909065897,0.00013184217293333856,0.08365675707480347,0.15271686403040427,0.01874359857218195,0.03404622539127702,0.09156005247536403,0.00702258968536571
Sliding Window,GBDT,17,0.4379746835443038,0.5580645161290323,0.9917882794272382,0.4907801418439717,0.9776040242321914,0.4903362325462028,0.5568975728110449,0.006992124336975514,0.09822982814754119,0.027414760221582023,0.00024969382106947434,0.14388409220671106,0.1736756290288135,0.01824564920829317,0.021446036235895027,0.03465195845555069,0.021277452591297985
History Window,GBDT,17,0.44080604534005036,0.5645161290322581,0.9918340271741617,0.4950495049504951,0.9782264752743659,0.4948176183970342,0.5571857498805438,0.008179575577163645,0.07389333205486379,0.018494994355847495,0.00035843637362114044,0.12117332996282273,0.18630227378716102,0.019002183567888943,0.02922302465557598,0.052201001564672424,0.020234134265453906
SEA,GBDT,18,0.8503937007874016,0.2946793997271487,0.9782105139177889,0.43768996960486317,0.9675683289109982,0.49323136619156943,0.6147681734659151,0.008717898022892846,0.12534588969823096,0.01962081165452647,2.247658688863119e-05,0.07217554630593126,0.058837981269510856,0.022260978147762643,0.029475650364203944,0.09556638917793961,0.013116233090530649
