Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,LDA,14,0.07272727272727272,0.04984423676012461,0.9736937309421676,0.059149722735674676,0.6494460205226336,0.04713309055238704,0.041707795748943705,0.02438551514180416,-0.000870052876141747,-0.0008155744271751919,0.009740426213747688,0.014141964428777399,-0.0029129947123858633,0.006686428456977955,0.011307482775196175,0.050132991507771084,0.0029017785611279213
AWE,LDA,14,0.08290155440414508,0.04984423676012461,0.9750891518941547,0.0622568093385214,0.6475679880183131,0.052110453798279235,0.04128280497091502,0.02602147091812217,-0.0006489344656304352,-0.0029274154782886973,-0.00038615606473313413,0.018988944079474535,0.0012385835603269334,0.004808524274956016,0.007843294343855178,0.05690113763819904,0.005109758051594327
Sliding Window,LDA,14,0.05032822757111598,0.07165109034267912,0.962168587523903,0.05912596401028278,0.6481588536192278,0.04108192373795448,0.03771088033213718,0.009703573145329348,-0.00014420765902893872,0.0005816375580836919,-0.0008604390322063171,0.0003669283768627407,7.370613683708172e-05,0.01613042781605518,0.008529081877904177,0.030302836083961004,0.005005608075628931
History Window,LDA,14,0.05032822757111598,0.07165109034267912,0.962168587523903,0.05912596401028278,0.6481588536192278,0.04108192373795448,0.03771088033213718,0.01180099343054002,-0.0002755968594776004,0.0006473321583079894,-0.0009902259253323996,0.00041499759653909065,3.84553757410977e-05,0.016332318538695788,0.014233295946162516,0.04267585322864931,0.0032414677135075066
SEA,LDA,15,0.10175438596491228,0.06937799043062201,0.9737003058103976,0.08250355618776671,0.6272186521693653,0.07096479149373247,0.04607202958887948,-0.007963043836919282,0.0013505303714055339,-0.0030204481711163743,0.00010830640230590216,0.004899214875631985,-0.00034238798148307216,0.0036876583107694925,0.009051930784833262,0.05440465445793419,0.0025920749992721205
AWE,LDA,15,0.08968609865470852,0.04784688995215311,0.9754943934760448,0.06240249609984399,0.6343202643398262,0.053761341436193065,0.046296446786988646,-0.007057773119437893,0.0010059102687280052,-0.004045379994371134,-0.0003737347269533453,0.007408216146970603,-0.0003281218155879673,0.0041924088469638575,0.008612979299502199,0.06040828408109396,0.005623489678865723
Sliding Window,LDA,15,0.09,0.0430622009569378,0.9762691131498471,0.05825242718446602,0.6316610672950718,0.051109293124823735,0.04582890786710546,-0.005562446016634115,0.00254869420910131,0.001938354635533468,0.0026425403480168754,0.0048668976426859524,-0.00023582845663374651,0.001497947418988632,0.029693034811385834,0.08881319086577195,0.00440620723789562
History Window,LDA,15,0.087248322147651,0.06220095693779904,0.9729255861365953,0.07262569832402234,0.6194396374377947,0.060155104862074246,0.04305184262347992,-0.014189691482031442,0.002675148727205734,-0.0003063828961286985,-0.0008626663172911497,0.00020409351617318717,5.221222620124255e-05,0.004206966159101743,0.008842790733785643,0.06139721081899441,0.0011891383041702452
SEA,LDA,16,0.08296943231441048,0.03966597077244259,0.971263135320609,0.05367231638418079,0.6482408741133565,0.04382860367615093,0.049539063011370094,-0.012702719717955113,0.0008879146539685579,-0.003740527918316849,-0.0017877337973030815,0.0031983585540624527,-0.00024942194546826444,-0.003766282823195399,0.006205329548316252,0.03580807444884508,-0.0007540463817220066
AWE,LDA,16,0.06701030927835051,0.027139874739039668,0.9722496247051254,0.03863298662704309,0.656130296045763,0.030004521979016676,0.05140397789943561,0.0049839747258533015,0.0003142670726402175,-0.001010336301824677,-0.000833943819967553,0.002464343765023713,-0.00023448410063877655,-0.0026356424990271023,0.00971131613287235,0.03501304915180507,0.0025189441633661548
Sliding Window,LDA,16,0.07042253521126761,0.031315240083507306,0.9716062620630496,0.04335260115606936,0.6602391071344333,0.03376215307515599,0.051652735985633545,0.010916989079920381,-0.0026304915180513032,-0.00225069252077561,-0.0009778851216776462,0.0010609876147523955,-0.0006210938394267229,0.007889299695519835,0.027676678647466858,0.03762642796639275,-0.0029301641445937275
History Window,LDA,16,0.06666666666666667,0.029227557411273485,0.9716491529058546,0.040638606676342524,0.6620704462170306,0.030997166449672677,0.05183179334190981,0.023228005311233722,-0.0033298230351869185,0.0018751287745244038,-0.0016261074609097647,0.0013586570820265376,-0.0006718023854765054,0.0015443213296399082,0.03784534465786045,0.04031855955678676,0.004669650420091154
SEA,LDA,17,0.10948905109489052,0.0967741935483871,0.9880140903060525,0.10273972602739725,0.6975351280572633,0.09691634813530485,0.03546434702273041,0.011724626374536395,0.00238174519811194,-0.011076790983302876,0.0005955779481434887,-0.0014376244873409716,-0.0005539986314564649,-0.002771126346206687,0.0020987530563412625,0.07995628505803232,-0.004847389960817794
AWE,LDA,17,0.12980769230769232,0.08709677419354839,0.9893865227137564,0.10424710424710425,0.7111980621975436,0.10111967577661557,0.03786812724538367,0.03058986841933222,0.002258314773732728,-0.005675663896165006,-0.00043897995563126904,0.0012531761978024746,0.0017510383933124097,0.0015328123569894325,0.006556543948117444,0.10410828927698187,0.006683809781163808
Sliding Window,LDA,17,0.09956709956709957,0.07419354838709677,0.9886774326364427,0.08502772643253236,0.7077551112921061,0.08032500962407303,0.030539145840157985,0.02450834855147943,-0.003354021295235032,-0.019768742291046547,0.002999812587985562,-1.2552246547081758e-05,-3.3821330973959896e-05,0.003534285502591028,0.01722359996687599,0.09614053286029958,0.0003282325303672895
History Window,LDA,17,0.11353711790393013,0.08387096774193549,0.9888604236241365,0.09647495361781076,0.718894874439675,0.09205615115742809,0.033733301336526265,0.02677350604294777,-0.00149602730113636,-0.008547905561778535,0.00321267776901244,-5.0121817810167e-06,0.0001910295021377184,0.01083577041592385,0.031114447722943982,0.10417275029310355,0.004192886188606071
SEA,LDA,18,0.058577405857740586,0.019099590723055934,0.9629382434925994,0.028806584362139915,0.6866059440728742,0.017347822621142872,0.06590275524754856,0.021196462018730555,-0.00014817898022887466,-0.003939229968782443,0.0008657648283039165,0.005374193548387129,-0.00038844953173777785,-0.001564412070759591,0.011076170655567208,0.10697793964620192,0.00509073881373574
AWE,LDA,18,0.06043956043956044,0.015006821282401092,0.9649405205920458,0.024043715846994537,0.6877196070756039,0.016066315345465168,0.0684440098232927,0.022760457856399574,0.0004919875130072526,-0.004306763787721235,-0.0001142559833507084,0.007731737773152903,0.0018303850156087265,0.0010833506763787248,0.008674193548387055,0.11847065556711756,0.0033862643080124545
