Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,LR,14,0.0625,0.003115264797507788,0.9826864437438627,0.005934718100890208,0.6579499665028812,0.01034015506511365,0.04155219556776657,0.011825028040378105,-0.005553597179939173,-0.012582919403941694,0.004492869732414628,0.041717673449767664,-0.0025236340330075714,0.003994552155103359,9.133151738500711e-05,0.05613363243070022,-0.00037333760615287925
AWE,LR,14,0.07142857142857142,0.003115264797507788,0.9827898082588248,0.005970149253731343,0.6531338142773038,0.011552805520844195,0.04138100764134914,0.01507130267585315,-0.0009117128665278695,-0.00078032366607923,-0.0002243230251563366,0.037301714468835054,0.004387117449126676,0.00574106713667677,0.006577471559044978,0.034635475084121126,-0.006676814613042837
Sliding Window,LR,14,0.1111111111111111,0.003115264797507788,0.9830482195462298,0.006060606060606061,0.6801127474382727,0.01596361531236635,0.03749482883990542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033635635314853404,0.09509693959301391,0.0
History Window,LR,14,0.06666666666666667,0.003115264797507788,0.9827381260013437,0.005952380952380952,0.6774136589659312,0.010920174584212908,0.03773820378860327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03242749559365492,0.06823585963787855,-0.0004005768306360569
SEA,LR,15,0.12121212121212122,0.009569377990430622,0.9819367991845056,0.017738359201773836,0.6657576577948036,0.029541304147436942,0.0474107992461518,-0.0030905173668733577,-0.0015600586174434384,-0.004382042099746663,0.00041711551712428905,0.015242767442086214,-0.0023248997971680565,0.0011215923758504554,0.0071438553585466465,0.06367358624236963,0.0035134558088528943
AWE,LR,15,0.11428571428571428,0.009569377990430622,0.981855249745158,0.017660044150110375,0.6475243546366152,0.0284015651617763,0.046734943971352645,0.002488621034345595,9.957201502315271e-05,-0.0027535641152551136,-0.0004072165448705034,0.016541279684785713,0.002235323803146372,0.0016677827272639112,0.0013774128744868496,0.0739216428411991,0.012044137770402075
Sliding Window,LR,15,0.11475409836065574,0.01674641148325359,0.981039755351682,0.029227557411273492,0.6325300003195482,0.03769560068205578,0.04555680597418747,0.0002508710125094682,0.000814336040993302,0.005419493211440018,0.0015425898428779393,0.0054587009054646975,3.493754913077574e-05,0.0033141176813112237,0.019830164691724585,0.07124998786890649,0.004680952242311198
History Window,LR,15,0.10869565217391304,0.011961722488038277,0.9814882772680937,0.021551724137931032,0.6291584191135096,0.030695340924024414,0.04223187401224694,-0.007040692539862658,0.002152347123960463,0.0,0.0,0.0,0.0,0.0,0.0197718383944256,0.09298463718325725,-0.0009260391494646747
SEA,LR,16,0.06666666666666667,0.0020876826722338203,0.9788977053399099,0.004048582995951417,0.651330801711834,0.008249602130073242,0.05304360861366211,0.026139511458070985,0.022969197133765197,0.008725876239097086,-0.0005429133948398723,0.024425551154964364,0.0009866417893362733,0.0008813328449440272,0.022276676358141945,0.038400505940798024,0.006916107689842232
AWE,LR,16,0.0625,0.0020876826722338203,0.9788548144971049,0.00404040404040404,0.6632922836191327,0.007750606452322381,0.054186561506486104,0.015132666376685533,0.013089157757377356,0.0027261852979556522,-0.0005447448547423184,0.02582604564913806,0.004922906984730191,-0.0018586456354021453,0.016971509351892133,0.03655324969666447,0.008795700647878935
