Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,NN,14,0.43333333333333335,0.12149532710280374,0.9827898082588248,0.18978102189781024,0.8584087755247719,0.2230398587859938,0.15784461461844956,0.15155423810286808,0.028458580355712203,0.12202211184105108,0.023980131389200476,0.048809485659349394,0.009280564012177518,0.11210543182182342,0.10631469315814768,0.13875020028841528,0.08696362762377823
AWE,NN,14,0.3448275862068966,0.09345794392523364,0.9820145743966097,0.14705882352941177,0.8646823634885988,0.1727057027346086,0.1612362250019977,0.12892965870854042,0.025968594776478216,0.12514180419804527,0.0249286973241468,0.059847780804358354,0.007767985899695629,0.09087165518346432,0.11622656625540788,0.15183143726966836,0.08973401698445768
Sliding Window,NN,14,0.22362869198312235,0.16510903426791276,0.9766396196185849,0.1899641577060932,0.7860050641880764,0.1805020119746019,0.10762682055819639,0.10846338727767979,0.016572664637077315,0.09387117449126732,0.0124387117449126,0.0031501361961224104,-0.0002755968594777558,0.10416439673129299,0.08873097260054472,0.12881108796667196,0.11527960262778389
History Window,NN,14,0.22397476340694006,0.22118380062305296,0.9743656002894207,0.22257053291536052,0.8366877112397733,0.20954325672035945,0.1595151924181636,0.15565614484858198,0.00430059285370934,0.12169684345457459,0.017295305239544968,-0.0008604390322063171,1.922768787050444e-05,0.110682582919404,0.11519788495433425,0.12920846018266308,0.08364685146611114
SEA,NN,15,0.34375,0.10526315789473684,0.9813251783893986,0.16117216117216118,0.8751642150436562,0.18282828928327127,0.19583779512596336,0.10907570772799187,0.016691802292291568,0.15870760182839855,0.009262526567094743,0.023266272648751585,0.009003309362292811,0.08695936568938596,0.10741384497433074,0.1645627468677518,0.08847973136906676
AWE,NN,15,0.3333333333333333,0.10047846889952153,0.981243628950051,0.15441176470588233,0.8707182769482866,0.17560356387327083,0.177960109589611,0.11282052775108928,0.019527178501761333,0.1586583010646246,0.010157704214827045,0.030132665637949807,0.0075891150124706595,0.08504643782571983,0.10950641006977793,0.16320095884162605,0.0822506575052648
Sliding Window,NN,15,0.2823920265780731,0.40669856459330145,0.9722731906218145,0.33333333333333337,0.8546782456921027,0.3252039802687086,0.2848559107147607,0.17716142118185968,0.018230510185266068,0.2131616540988539,0.011087625314195337,0.006078745353791182,0.00025057986626682017,0.12268553294319737,0.1459662658553392,0.1906038373074796,0.16540881784920564
History Window,NN,15,0.31096196868008946,0.33253588516746413,0.9760652395514781,0.3213872832369942,0.8491634584487064,0.30939923263328095,0.18149385081067257,0.1580456323211149,0.015030133636125442,0.14259896546035078,0.01012781320057059,0.006535942003668494,0.00016343009093464645,0.11950311041236017,0.18544841373822074,0.17623120893624872,0.1531919333081006
SEA,NN,16,0.5714285714285714,0.15866388308977036,0.9802702123096719,0.2483660130718954,0.8944824784951131,0.2941494646408578,0.27319008488353064,0.18259002770083108,0.03691793914974482,0.1552727730592249,0.009666731530871654,0.03402165701334681,0.011872267118426816,0.08217354227238394,0.06692022847462291,0.14422248803827759,0.08758298802683093
AWE,NN,16,0.5244755244755245,0.15657620041753653,0.9797555221960111,0.2411575562700965,0.8905300881917027,0.2790710696885557,0.25947320809797714,0.17919244064925247,0.04430375907144972,0.1684939676289461,0.008877143380417007,0.04067935715757411,0.01171871065222856,0.0904200911151301,0.06998946910556063,0.13122667750280426,0.08045122593347213
Sliding Window,NN,16,0.32897196261682243,0.3674321503131524,0.9716062620630496,0.34714003944773175,0.8332366559631333,0.33320416175573997,0.17466294240021263,0.18615610906343721,0.019899155239120003,0.1444573155376479,0.018946223758613566,0.009999027036926811,8.58496829287958e-06,0.12096786932533596,0.09573264119411189,0.15288082919347087,0.11283029234678696
History Window,NN,16,0.3765182186234818,0.3883089770354906,0.9742226034741582,0.382322713257965,0.8787527275360189,0.3692083033376547,0.3339705298535396,0.19882265744831842,0.026656383782422455,0.18287802477049514,0.012408713170485952,0.014175041780178987,0.0006235548636706279,0.09069812962157449,0.09203532428286894,0.15216398434101774,0.17090405439435902
