Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,QDA,14,0.05194805194805195,0.07476635514018691,0.9620135407514601,0.06130268199233717,0.5644825268157043,0.04329494647535634,0.042691554375591426,-0.005479891043102025,0.0019852587726326256,-0.0002579714789296084,-0.00557923409709975,0.01267425092132679,0.0010030443839128544,0.015127383432142327,0.00025316455696209326,0.016752123057202483,-0.010706617529242091
AWE,QDA,14,0.0635593220338983,0.09345794392523364,0.962116905266422,0.07566204287515763,0.6359055551517128,0.058147118362018045,0.04169826826030249,0.009602627784008954,0.0004887037333760169,0.01644287774395119,6.729690754683215e-05,0.025346899535330824,0.0063435346899535,0.009807723121294609,0.019431180900496604,0.03806120813972114,-0.0020926133632431345
Sliding Window,QDA,14,0.05016722408026756,0.09345794392523364,0.9556049408238152,0.06528835690968443,0.6629099467778915,0.04694534564059776,0.03778792258842705,0.032576510174651484,0.005119371895529512,0.012720717833680473,-0.01193078032366619,0.003427335362922457,5.4478448966466254e-05,0.0209822143887197,0.0319996795385354,0.0489777279282166,0.011637558083640354
History Window,QDA,14,0.052364864864864864,0.09657320872274143,0.9560183988836632,0.06790799561883899,0.6648915322034032,0.04975841600170173,0.03824182555310966,0.022483576349943867,0.0052251241788175305,0.01167601345938154,-0.004651498157346623,0.0021903541099182354,2.0829995193039075e-05,0.02441115205896487,0.0387614164396731,0.04741708059605827,0.014448005127383378
SEA,QDA,15,0.08167770419426049,0.08851674641148326,0.9675025484199796,0.0849598163030999,0.5931343176345175,0.06850187744786848,0.053833384309466006,0.0008152094797217568,0.004493357013227816,0.003842936306907019,-0.0030505332828679064,0.0020878097068158354,0.0012134975398143456,-0.0019072990363058872,0.000742422919032304,0.0339735639211576,0.01253675721314822
AWE,QDA,15,0.09236947791164658,0.11004784688995216,0.966401630988787,0.10043668122270742,0.6432640423089802,0.08378322013301132,0.046609745932233465,-0.015488203724730875,0.00041798895585261065,0.00534166011587629,0.0006814763055483341,0.009066682194466357,0.0022504634077698204,0.007658796013237534,0.0036563115652993305,0.03148309896060801,0.002403315185217636
Sliding Window,QDA,15,0.11134020618556702,0.1291866028708134,0.9675840978593272,0.11960132890365449,0.6791712407383113,0.1034779744519256,0.05443065462776878,0.033743073145641046,0.0013441251540648568,0.037500606554672446,0.018564454925709174,8.132685047694821e-05,-0.00015003736376784094,0.02749478362981723,0.02268689162566353,0.050328801156821035,0.030177890354324943
History Window,QDA,15,0.10567514677103718,0.1291866028708134,0.9665239551478083,0.116254036598493,0.6908619426587563,0.09988831240189876,0.05344061192872815,0.018662280063275728,0.0019129278636659031,0.04178191205442483,0.004670276880076818,3.649032909225358e-05,0.00019788239632758664,0.020598014382624364,0.018541357323783682,0.05673042769383056,0.020810551139837475
SEA,QDA,16,0.06565656565656566,0.081419624217119,0.9573236114089642,0.07269338303821063,0.6788913944250206,0.05141949462593846,0.051833434632412245,0.07421951191593594,0.006021210594995474,0.06374470593621935,0.008529967262654203,0.014957246857901497,0.003565966896362194,0.020242611203955874,0.01360854833909475,0.04849591355509251,0.025095693779904237
AWE,QDA,16,0.05815831987075929,0.07515657620041753,0.9559939952820072,0.06557377049180327,0.6567143827769288,0.04378983230059699,0.048728563362372954,0.022369565715070695,-0.0019426066253061646,0.0036176484054853074,0.005371671893958552,0.010143025571758968,0.0026078272017582725,-0.00500806987019522,0.0020336645223324457,0.02476935051853215,-0.0009338156177742362
Sliding Window,QDA,16,0.058823529411764705,0.081419624217119,0.954364143255415,0.06830122591943959,0.708814571798329,0.046165721414027375,0.0500164606989899,0.07926821730271756,-0.0017493876055949098,0.042090725944918986,0.009371465854719662,-0.0001497218470271955,-4.275314209827297e-05,0.005945834573384423,0.014622719260090334,0.03868352372885246,0.008997561869005022
History Window,QDA,16,0.06212121212121212,0.08559498956158663,0.9546643791550504,0.0719929762949956,0.7082923768682274,0.050025966803859165,0.04758689154271942,0.06479481925780092,-0.0025190013964880853,0.045578913028547906,0.01154821318193271,0.0003817449234221115,-1.57963416587803e-05,0.012566619353952535,0.017534397106293342,0.04851628854650767,0.011992113275795014
SEA,QDA,17,0.05489614243323442,0.11935483870967742,0.9791847751498238,0.07520325203252032,0.7777986144965102,0.07129247720756228,0.052185061173786906,0.0692339207029257,0.004981367759031641,0.06996212533941178,-0.0004064661503394351,0.01134431073783666,0.008559237451022227,0.010742195161283163,0.019550864928238564,0.09336853483030486,0.01515666336879622
AWE,QDA,17,0.06085526315789474,0.11935483870967742,0.9806944507982982,0.08061002178649238,0.7148586034386407,0.07609424782741836,0.05038648567076378,0.049995728749438806,0.0015424444628465484,0.0027203943497456475,-0.000208332425329516,0.003356723514977622,0.002221268212743088,-0.008563726622530465,0.004440705889531471,0.09340196390357428,-0.001986610937016553
Sliding Window,QDA,17,0.061128526645768025,0.12580645161290321,0.9800997300882931,0.08227848101265822,0.7777069857793422,0.07837242823187415,0.02771388019846007,0.07823253036728398,-0.004563656887827427,0.05142001647482357,0.010846927968410114,-4.166648506591653e-05,-0.00012913995319061567,0.012507093326824714,0.018354217424087205,0.13678313814880513,0.01501013332403538
History Window,QDA,17,0.05909090909090909,0.12580645161290321,0.979596504872135,0.08041237113402061,0.7818072779805714,0.07672607902451234,0.027562732543594662,0.06942582188885156,-0.002268774979188626,0.05413274000723496,3.23830527238167e-05,0.00020715565221556264,-6.376366909148779e-05,0.011838468277247726,0.020664135878068878,0.13868144751809833,0.019921504874891548
SEA,QDA,18,0.03940886699507389,0.03274215552523874,0.9491971261434573,0.03576751117734724,0.7226587019412282,0.009952407131313113,0.05953180627935403,0.11064609781477627,0.0035182101977107695,0.057347138397502585,0.000429136316337142,0.01864557752341318,0.002412486992715923,0.009750780437044715,0.03654849115504677,0.07930093652445376,0.017947554630593145
AWE,QDA,18,0.03697478991596639,0.030013642564802184,0.94958972949629,0.03313253012048192,0.668812207873025,0.007582858651373705,0.05334162075349105,0.049679084287200935,0.00214516129032265,0.006898855359001121,0.001142872008324769,0.008313943808532875,0.0017084287200833438,0.002036836628512062,0.02213152965660774,0.08716670135275761,0.01631862643080133
Sliding Window,QDA,18,0.036334913112164295,0.03137789904502047,0.9481763574260924,0.03367496339677892,0.7268668138682755,0.007216218947268018,0.05697800924206156,0.10898782518210193,0.002163475546305893,0.06988678459937558,0.005847138397502549,0.0007441207075962186,0.0003306971904266431,0.018173881373569144,0.034850156087408914,0.0946262226847034,0.025839334027055117
History Window,QDA,18,0.03680981595092025,0.03274215552523874,0.9475089317262769,0.034657039711191336,0.7299255818991214,0.00778693489300156,0.059366396532914284,0.11449448491155034,0.0015601456815816039,0.06580790842871995,0.003067117585847967,0.000829344432882273,0.0003171696149842695,0.014067533818938438,0.032066701352757444,0.09580478668054093,0.022652133194588853
SEA,QDA,19,0.023121387283236993,0.0594059405940594,0.9675209692451072,0.033287101248266296,0.6221190810867707,0.02234953886324584,0.025088645833229853,0.05729063874376723,0.002413691700369691,0.029352862239874523,0.0029374135707225025,0.004825708324570033,0.0018623124612637376,0.012662998870254105,0.01736140140594713,0.1361372743532809,0.007056072244173883
AWE,QDA,19,0.024691358024691357,0.0594059405940594,0.9690587138863,0.03488372093023256,0.6924800121841143,0.02408523923227854,0.028611812508933552,0.09999959053693633,0.012382349164043882,0.025276955232658736,-1.5057073567503743e-05,0.010968156802018948,0.003700578273517552,0.011913253388772116,0.013491063468635999,0.08929345287173189,0.008461963673181416
Sliding Window,QDA,19,0.027777777777777776,0.07920792079207921,0.965237651444548,0.04113110539845758,0.6178348465667904,0.031585386268094644,0.029656033231847793,0.04739508904891028,0.004771454468637848,0.02825109019540679,0.01538955757515965,0.0006992326289946727,9.287366761638882e-05,0.008554558161436243,0.015317827091192893,0.14752436770527586,0.017019853374999182
History Window,QDA,19,0.026595744680851064,0.07425742574257425,0.9657036346691519,0.0391644908616188,0.6008092235980583,0.02923457942999338,0.02942581171561625,0.051631877816221736,0.005483566572179943,0.028275509083565777,0.010548103534596832,0.0005127594274217717,-3.0374714539127544e-05,0.00807732896076414,0.014066619640454215,0.16119976400037966,0.01658304934588275
SEA,QDA,20,0.03260869565217391,0.10638297872340426,0.9687636761487965,0.04991680532445923,0.6832239925023431,0.0457196847773395,0.0340176422920699,0.10436721890010785,0.0013932457602196413,0.05983702578178614,0.002490932261543044,0.013306048426624839,0.003621948828546295,0.015152681109695188,0.021688314871091085,-0.009928438388393235,0.005859964709342224
AWE,QDA,20,0.038461538461538464,0.10638297872340426,0.9725929978118162,0.05649717514124294,0.659255809843529,0.05189274704496756,0.031600754028960835,0.17399201058719727,0.0053283991765513015,0.057178462895794493,-0.007731104793647669,0.013570728359964757,0.00278575629840212,0.025980541123419233,0.03470615625919027,0.016687334575041634,0.016786344476031646
Sliding Window,QDA,20,0.02912621359223301,0.10638297872340426,0.9657549234135667,0.04573170731707318,0.6449431674003626,0.04167309593638006,0.044108661101636394,0.07765366140574448,0.0048801588079599775,0.07830996961082244,0.01942946769924514,0.0009788256053328225,0.000789383393784937,0.0057180668561905845,0.011064846583668308,0.00825066169983335,-0.001060925399470669
History Window,QDA,20,0.03571428571428571,0.14184397163120568,0.9638402625820569,0.05706134094151212,0.6730668099260283,0.0568976980442034,0.03982639265264013,0.07370772473286935,0.0020698951083227613,0.052038280560729365,0.011759876482697806,0.0012295363199686493,0.0007589942162532948,0.0045292128222723434,0.01485663170277427,0.010402656602293892,0.0016672385060288787
SEA,QDA,21,0.053811659192825115,0.08921933085501858,0.9680754319628584,0.06713286713286713,0.6425995015011204,0.053629272984223285,0.029376355468005915,-0.0044806599265630135,0.00899451737840149,0.019918515165233196,0.0030712740807806284,0.018492027564005854,-0.002323826769277093,0.008880841003973683,0.032721694079774696,0.018606709924048094,0.02072028569991451
AWE,QDA,21,0.05555555555555555,0.08550185873605948,0.9695113195807208,0.06734992679355783,0.6404251480211455,0.053828564374681705,0.030210978741256847,0.009755042502892252,0.007550928021729386,0.025575172275036563,-0.0024012876615864044,0.022699059403450628,-0.0033489261103565758,0.007365826668678688,0.04044363965595299,0.02842110557819031,0.02082390221819832
Sliding Window,QDA,21,0.04436860068259386,0.09665427509293681,0.9615660747618819,0.0608187134502924,0.6398138307843607,0.047455299855525726,0.028470093649198,0.011770031688546756,0.014771389769126241,0.027402042150797223,-0.003686937276797009,0.00023439464815648846,0.0004969568935163204,0.005504753282028018,0.04519742467682704,0.0205799507067048,0.015232131180524067
History Window,QDA,21,0.043689320388349516,0.10037174721189591,0.9601301871440195,0.0608793686583991,0.638286213629193,0.04772026463194377,0.03156966185330522,0.014908706805492744,0.024849856647049993,0.020494944922287716,-0.005816608822493819,0.0012081887229013378,0.00027362808711841604,0.008836074644132608,0.05627332629143407,0.02315175292993312,0.015116442834867506
SEA,QDA,22,0.06019417475728155,0.12156862745098039,0.9707764064886284,0.08051948051948052,0.6547328909871974,0.07172655518254478,0.028576581430475166,0.0433910531916365,0.0010718480949683863,0.03228880197896662,-0.0027202498583490443,0.007495888669310902,0.007411174527715292,0.016233053716781187,0.02306615442019877,0.04442489738947777,0.02045397382567966
AWE,QDA,22,0.05813953488372093,0.11764705882352941,0.9706525777025633,0.07782101167315175,0.6492380816835328,0.06882762772448728,0.02930214400910932,0.04012769309434645,0.004846533353602078,0.03231132792526359,0.010016168930777659,0.008260388883514613,0.0074776467986898965,0.010655463578446978,0.021373668136150714,0.03953676704302041,0.02540429236743551
Sliding Window,QDA,22,0.04393939393939394,0.11372549019607843,0.9646262434473934,0.0633879781420765,0.6589484300311148,0.054792991559116974,0.031689981896532986,0.040358756788878035,-0.0009496828402039359,0.05232984618786372,0.014168820220837274,0.00044402371443188484,-3.910946504321888e-05,0.005241497491742897,0.02450822957117791,0.039374801343265056,0.015299954395323523
History Window,QDA,22,0.04662379421221865,0.11372549019607843,0.9661947414042185,0.06613454960091221,0.6651208272396227,0.057419304091881285,0.031080409190255988,0.04285291800831936,-0.005002142037838131,0.05291303326377463,0.016450436008346947,0.00012755489835676316,0.00022843797073002214,0.005363109962548851,0.018237724741227958,0.055973383452412116,0.017285968961180686
SEA,QDA,23,0.04182509505703422,0.07801418439716312,0.9688048670940346,0.054455445544554455,0.6493690143370279,0.04209137415044926,0.02947330615877352,-0.01414271434063814,0.0023967704728950824,0.02586897347174173,0.0020332179930796722,0.015435755478662116,0.01911080353710117,0.009435294117647142,0.011004690503652515,0.06475309496347563,0.026217454825067342
AWE,QDA,23,0.04411764705882353,0.0851063829787234,0.9682332285329305,0.05811138014527846,0.6471051882996448,0.04606041381486174,0.030175191779905818,-0.01848058439061904,-0.0010715878508265719,0.021562629757785445,0.003990772779700102,0.01506543637062665,0.019301806997308702,0.009782083813917718,0.010319415609381034,0.05455624759707802,0.02561261053440982
