Scenario,Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
SEA,RF,14,0.45045045045045046,0.1557632398753894,0.9828414905163058,0.23148148148148148,0.9240836753444834,0.25801266488731034,0.28175972275672995,0.012291299471238592,0.06676013459381507,0.03815734657907384,0.0005592052555680072,0.10344976766543827,0.08888960102547669,0.02583400096138442,0.029554558564332666,0.08012818458580354,0.021799391123217448
AWE,RF,14,0.5083333333333333,0.19003115264797507,0.9835133598635588,0.27664399092970515,0.9461498614601076,0.3041306478364432,0.2980641617648703,0.010221118410511121,0.05180259573786252,0.04442557282486781,0.0011344335843615383,0.10128665278000323,0.0743086043903221,0.03192597340169845,0.035314853388880005,0.0863098862361801,0.015915718634834188
Sliding Window,RF,14,0.32769830949284784,0.7850467289719626,0.96971419711613,0.4623853211009174,0.9726594092850215,0.4955201923473955,0.49667635920615455,0.0031998077231213174,0.018899214869411974,0.021184105111360308,7.530844415957195e-05,0.11864765261977248,0.06338887998718153,0.03161672808844736,0.00784489665117769,0.056647973081236966,0.009514500881269039
History Window,RF,14,0.311639549436796,0.7757009345794392,0.9678536358468138,0.4446428571428571,0.9713426909155681,0.47940859798331675,0.47907263163986397,0.0051626341932382355,0.018537093414516925,0.028195801954814925,0.0003012337766383322,0.11043262297708703,0.08178016343534686,0.0333183784649896,0.009149174811728921,0.06496875500721044,0.007258452171126417
SEA,RF,15,0.7688442211055276,0.3660287081339713,0.9873190621814475,0.49594813614262556,0.9265163605718763,0.5253430896131182,0.5276387038824063,0.008314069156937554,0.07295367863277728,0.032121000378490125,0.00026300210595779915,0.08244980153531115,0.13243242980949332,0.01852466493919891,0.025593113420871293,0.086321852466494,0.01912025310313372
AWE,RF,15,0.7255813953488373,0.37320574162679426,0.9869113149847095,0.49289099526066354,0.955378512822518,0.514800453378433,0.487682583982525,0.01238264380198173,0.06850515814093423,0.03675061383332854,0.000582874778001008,0.08412049572500269,0.12532166807387352,0.025022952028804068,0.0376943158548539,0.10207839597829993,0.017536320493784063
Sliding Window,RF,15,0.46065259117082535,0.5741626794258373,0.9812844036697248,0.5111821086261981,0.9706233453206925,0.5049245136596993,0.5848678173294002,0.0084310128977785,0.044812453295290156,0.02661193117302818,0.00022214458322409314,0.0812459118215079,0.1148080861016488,0.03074358750400319,0.027923350899156606,0.08302801797342796,0.015830494657466377
History Window,RF,15,0.43567753001715265,0.6076555023923444,0.9798980632008155,0.5074925074925074,0.9716169220042302,0.504704920215143,0.5855001955117634,0.0065424442697565866,0.023240263584398325,0.026405605535660404,6.201414970732344e-05,0.08493638454595735,0.11083869527663737,0.03384313040440201,0.018339301831309763,0.06844479381993569,0.020178278549315264
SEA,RF,16,0.75,0.35073068893528186,0.9842590606905426,0.4779516358463727,0.9519142759244368,0.5064761046969982,0.47120893018151205,0.009616767015407124,0.07962123119891944,0.020183088757125444,0.00026647741581007354,0.08206376914447928,0.12350890547377573,0.014490682447746095,0.02489995650282728,0.07167166502598377,0.010638549941622166
AWE,RF,16,0.7603686635944701,0.3444676409185804,0.9843019515333477,0.47413793103448276,0.9518000000731366,0.5055087888552812,0.46439084145332477,0.009855658066436224,0.07795214166342346,0.023051898994986386,0.00028805430278620035,0.07778696687346906,0.12093736407133537,0.014818227604679412,0.02438228291476845,0.07155742771456701,0.010436001923032978
Sliding Window,RF,16,0.6008403361344538,0.5970772442588727,0.9835728072056615,0.5989528795811518,0.9711413707470643,0.5905706699675445,0.6644941736836848,0.005587955861816285,0.024991357798585145,0.023988461802614314,7.17131018062478e-05,0.07318450813854986,0.11860236716192392,0.015645246216890563,0.01927565760857113,0.05725618690048302,0.010841326892699298
History Window,RF,16,0.678391959798995,0.5636743215031316,0.9855457859746944,0.6157354618015964,0.9685141689256717,0.611146544501962,0.6582500986760815,0.008092992376548192,0.05639774730431999,0.022845802522835988,9.660950985554973e-05,0.09063322726128067,0.11472493761589708,0.015310375220347528,0.022411059728486095,0.06201283166594176,0.013077768366108878
SEA,RF,17,0.6,0.3,0.9936181893041768,0.4,0.9679068746061378,0.42149228046633785,0.41899754140900275,0.010093226581125391,0.06703753906232975,0.022584803936523935,0.0002878735709833435,0.08854838498786177,0.15228511905021333,0.021744805854228267,0.027232491141513448,0.10203695067577281,0.014161069730344589
AWE,RF,17,0.7295081967213115,0.2870967741935484,0.9941900361407201,0.41203703703703703,0.9672086979655897,0.45544850327115227,0.41542858493695445,0.010391560357564611,0.07144067538059887,0.02301136239817634,0.00022663778487710395,0.09277138785134298,0.13842447513739906,0.024187002323037186,0.03150395962360686,0.11010717352173316,0.017830466220073938
Sliding Window,RF,17,0.5033333333333333,0.4870967741935484,0.9929548469737866,0.4950819672131147,0.9790217798413848,0.49160259631803443,0.5565183465342765,0.005151346097689658,0.04759912134274171,0.022203442279278774,0.00015699025021691514,0.08686281004702731,0.1508724683033982,0.015070366673785385,0.020778152117537817,0.06305084967377228,0.017939426693572645
History Window,RF,17,0.49014084507042255,0.5612903225806452,0.992748982112631,0.5233082706766918,0.9808333977384873,0.5208841029373972,0.5887406013988826,0.005061737004284384,0.03226136566699069,0.016216020676339538,4.602490400587023e-05,0.0824451166094988,0.12937979698484586,0.018225818402116522,0.02304147907305152,0.07146582345788255,0.017656390967612623
SEA,RF,18,0.768361581920904,0.1855388813096862,0.974951906089278,0.2989010989010989,0.9690878827575473,0.37006409985990113,0.597580791518111,0.0103709677419356,0.06781050988553591,0.01934245577523421,0.0001893860561915206,0.05908917793964634,0.06468241415192517,0.01802320499479715,0.02175764828303863,0.08957658688865774,0.014633610822060428
AWE,RF,18,0.8291139240506329,0.17871759890859482,0.9753052491068274,0.29405162738496077,0.9670781164503037,0.3782168345818814,0.5831183456577826,0.013798022892819995,0.07550478668054113,0.018973985431841856,0.00013111342351725951,0.05854422476586894,0.05848210197710724,0.020589490114464114,0.021583454734651442,0.09291040582726331,0.016202081165452742
Sliding Window,RF,18,0.7305555555555555,0.7175989085948158,0.9842566055514114,0.7240192704748796,0.9801559084085253,0.7159474906758162,0.7886340770080414,0.0069295525494275315,0.0326873048907387,0.013879292403745969,3.902185223716437e-05,0.05064339229968771,0.06658678459937557,0.017951508844953046,0.02251342351716945,0.07175868886576467,0.01876888657648268
History Window,RF,18,0.39730226854690376,0.8840381991814461,0.9580699619174747,0.5482233502538071,0.9808544156677395,0.5765697711543634,0.6990732656714906,0.005569406867846127,0.02558511966701362,0.012643496357960537,3.72528616025658e-05,0.06032226847034346,0.053382310093652505,0.01673517169614991,0.012685744016649413,0.058429656607700456,0.01016992715920928
SEA,RF,19,0.8231292517006803,0.599009900990099,0.9950139794967381,0.6934097421203439,0.9676116108647276,0.6998456547362242,0.7037190025089584,0.006881231515999819,0.044382743737541676,0.014677129068341288,0.00016110510358489095,0.053383318847026476,0.10985039708611204,0.01446835874175727,0.021022019806845215,0.1440569786465013,0.008386864424918516
AWE,RF,19,0.7935483870967742,0.6089108910891089,0.9948275862068966,0.6890756302521008,0.9658967060973667,0.6926423497103118,0.7020110879469064,0.007123317246398142,0.04964324599982502,0.013465472027158577,0.00018628708199870393,0.05477404153072181,0.11782485775811528,0.01344766038389027,0.019656963012457028,0.14937452655833267,0.009335125044436055
Sliding Window,RF,19,0.5772058823529411,0.7772277227722773,0.9925442684063374,0.6624472573839661,0.9860243645024962,0.6662271878685952,0.7946532732888353,0.0038148184682730733,0.02008606169119411,0.010092464204552832,3.917817040728355e-05,0.045717816668496794,0.09525028429764984,0.008904202393869864,0.008758768558447993,0.07394258955608615,0.006937793254654334
History Window,RF,19,0.6175298804780877,0.7673267326732673,0.993336439888164,0.684326710816777,0.9867460497108136,0.6851043963180528,0.8072428113174354,0.004134106598124942,0.028302086958787442,0.012084315889586295,5.514722988908538e-05,0.055946929864560666,0.08786323561435269,0.010717453735326643,0.011893599161717328,0.09105550271827627,0.007861002179460109
