Dataset,Model1,Model2,Period,Topn,Overlap
Google,LDA,QDA,1,1,1
Google,LDA,QDA,1,3,0.666666666666667
Google,LDA,QDA,1,5,1
Google,LDA,QDA,2,1,0
Google,LDA,QDA,2,3,0.6
Google,LDA,QDA,2,5,0.416666666666667
Google,LDA,QDA,3,1,1
Google,LDA,QDA,3,3,0.428571428571429
Google,LDA,QDA,3,5,1
Google,LDA,QDA,4,1,0.5
Google,LDA,QDA,4,3,0.5
Google,LDA,QDA,4,5,1
Google,LDA,QDA,5,1,1
Google,LDA,QDA,5,3,0.5
Google,LDA,QDA,5,5,0.5
Google,LDA,QDA,6,1,0.5
Google,LDA,QDA,6,3,0.428571428571429
Google,LDA,QDA,6,5,1
Google,LDA,QDA,7,1,0.6
Google,LDA,QDA,7,3,0.75
Google,LDA,QDA,7,5,1
Google,LDA,QDA,8,1,1
Google,LDA,QDA,8,3,0.5
Google,LDA,QDA,8,5,1
Google,LDA,QDA,9,1,0
Google,LDA,QDA,9,3,0.2
Google,LDA,QDA,9,5,0.5
Google,LDA,QDA,10,1,1
Google,LDA,QDA,10,3,0.75
Google,LDA,QDA,10,5,0.666666666666667
Google,LDA,QDA,11,1,0
Google,LDA,QDA,11,3,0.333333333333333
Google,LDA,QDA,11,5,0.5
Google,LDA,QDA,12,1,1
Google,LDA,QDA,12,3,0.375
Google,LDA,QDA,12,5,1
Google,LDA,QDA,13,1,0
Google,LDA,QDA,13,3,0.5
Google,LDA,QDA,13,5,0.416666666666667
Google,LDA,QDA,14,1,0.333333333333333
Google,LDA,QDA,14,3,0.75
Google,LDA,QDA,14,5,1
Google,LDA,QDA,15,1,1
Google,LDA,QDA,15,3,0.6
Google,LDA,QDA,15,5,0.833333333333333
Google,LDA,QDA,16,1,1
Google,LDA,QDA,16,3,0.25
Google,LDA,QDA,16,5,0.416666666666667
Google,LDA,QDA,17,1,0
Google,LDA,QDA,17,3,0.75
Google,LDA,QDA,17,5,0.625
Google,LDA,QDA,18,1,1
Google,LDA,QDA,18,3,0.6
Google,LDA,QDA,18,5,1
Google,LDA,QDA,19,1,0
Google,LDA,QDA,19,3,0.333333333333333
Google,LDA,QDA,19,5,0.5
Google,LDA,QDA,20,1,1
Google,LDA,QDA,20,3,0.2
Google,LDA,QDA,20,5,0.6
Google,LDA,QDA,21,1,0
Google,LDA,QDA,21,3,0.444444444444444
Google,LDA,QDA,21,5,0.833333333333333
Google,LDA,QDA,22,1,0
Google,LDA,QDA,22,3,0.333333333333333
Google,LDA,QDA,22,5,1
Google,LDA,QDA,23,1,1
Google,LDA,QDA,23,3,0.5
Google,LDA,QDA,23,5,0.75
Google,LDA,QDA,24,1,1
Google,LDA,QDA,24,3,0.5
Google,LDA,QDA,24,5,0.833333333333333
Google,LDA,QDA,25,1,1
Google,LDA,QDA,25,3,0.5
Google,LDA,QDA,25,5,0.75
Google,LDA,QDA,26,1,1
Google,LDA,QDA,26,3,0.285714285714286
Google,LDA,QDA,26,5,0.5
Google,LDA,QDA,27,1,1
Google,LDA,QDA,27,3,0.5
Google,LDA,QDA,27,5,0.833333333333333
Google,LDA,QDA,28,1,0.25
Google,LDA,QDA,28,3,0.5
Google,LDA,QDA,28,5,1
Google,LDA,LR,1,1,1
Google,LDA,LR,1,3,0.8
Google,LDA,LR,1,5,1
Google,LDA,LR,2,1,1
Google,LDA,LR,2,3,0.416666666666667
Google,LDA,LR,2,5,1
Google,LDA,LR,3,1,1
Google,LDA,LR,3,3,0.25
Google,LDA,LR,3,5,1
Google,LDA,LR,4,1,1
Google,LDA,LR,4,3,1
Google,LDA,LR,4,5,1
Google,LDA,LR,5,1,1
Google,LDA,LR,5,3,0.416666666666667
Google,LDA,LR,5,5,1
Google,LDA,LR,6,1,1
Google,LDA,LR,6,3,0.416666666666667
Google,LDA,LR,6,5,1
Google,LDA,LR,7,1,0
Google,LDA,LR,7,3,1
Google,LDA,LR,7,5,1
Google,LDA,LR,8,1,1
Google,LDA,LR,8,3,0.25
Google,LDA,LR,8,5,1
Google,LDA,LR,9,1,1
Google,LDA,LR,9,3,0.5
Google,LDA,LR,9,5,1
Google,LDA,LR,10,1,1
Google,LDA,LR,10,3,0.75
Google,LDA,LR,10,5,0.5
Google,LDA,LR,11,1,1
Google,LDA,LR,11,3,1
Google,LDA,LR,11,5,1
Google,LDA,LR,12,1,1
Google,LDA,LR,12,3,0.25
Google,LDA,LR,12,5,1
Google,LDA,LR,13,1,1
Google,LDA,LR,13,3,0.25
Google,LDA,LR,13,5,0.416666666666667
Google,LDA,LR,14,1,0.5
Google,LDA,LR,14,3,0.5
Google,LDA,LR,14,5,1
Google,LDA,LR,15,1,1
Google,LDA,LR,15,3,1
Google,LDA,LR,15,5,0.916666666666667
Google,LDA,LR,16,1,1
Google,LDA,LR,16,3,0.25
Google,LDA,LR,16,5,0.583333333333333
Google,LDA,LR,17,1,1
Google,LDA,LR,17,3,0.4
Google,LDA,LR,17,5,0.583333333333333
Google,LDA,LR,18,1,1
Google,LDA,LR,18,3,1
Google,LDA,LR,18,5,1
Google,LDA,LR,19,1,1
Google,LDA,LR,19,3,0.333333333333333
Google,LDA,LR,19,5,0.666666666666667
Google,LDA,LR,20,1,1
Google,LDA,LR,20,3,0.25
Google,LDA,LR,20,5,0.75
Google,LDA,LR,21,1,1
Google,LDA,LR,21,3,0.666666666666667
