Model,Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9,Importance_10,Importance_11
NN,1,0.09302325581395349,0.1198501872659176,0.9754300857925706,0.10474631751227495,0.7027340006661067,0.0932550375597484,0.02331420126862894,0.11263206042409475,0.05173860011259161,0.1485167245261777,0.02066862919872412,0.10828860949521506,0.03834197316569734,0.08226824920247718,0.002134312253706372,0.04255770313379641,0.021795130418465192,0.18304008725839763,0.0992048226684182
NN,2,0.34930448222565685,0.5931758530183727,0.9731656184486374,0.43968871595330733,0.8457415806091969,0.4426695730485581,0.0271297266464997,0.24302290675980864,0.18924308098023537,0.20171569246307283,0.05511888229600639,0.2119579458261443,0.023057133639130867,0.00036807922680919257,0.013344555260979996,0.0550734334890375,0.07847788578883144,0.20298433138352343,0.08299835879308164
NN,3,0.18439716312056736,0.20634920634920634,0.9800962784669506,0.19475655430711608,0.7431486660481602,0.18501189642038166,0.01755038066443656,0.11583620945019682,0.04919420505507697,0.07915039163411677,0.03414236606251007,0.2544965245486048,0.013168550781546152,0.004072168144336375,0.004613015892698602,0.060229262680747776,0.031931717196767906,0.38810878955091255,0.0408189527490167
NN,4,0.158311345646438,0.20689655172413793,0.9751920469950294,0.1793721973094171,0.8199953423013768,0.16854797122511178,0.028660296087292356,0.10418650793650797,0.12387739355001257,0.20766250944822376,0.02025321239606952,0.2102473859914336,0.006859095490047862,0.012358276643990983,0.0017258755353993128,0.08049540186444948,0.10675847190728145,0.24193357898715045,0.12419343663391284
NN,5,0.1584,0.515625,0.9701873525020469,0.24235006119951044,0.7605714912174095,0.27452062842368924,0.026514044795240898,0.25767717003567175,0.14902390011890596,0.2099480380499405,0.033456718192627785,0.17653888228299636,0.015474197384066524,0.016516409036860736,0.017186801426872723,0.12358656361474425,0.21503935790725315,0.24928692033293692,0.09680237812128416
NN,6,0.03759398496240601,0.054945054945054944,0.9877532333753004,0.044642857142857144,0.7098775929242477,0.03940566449467597,0.015842634510031324,0.03674696180555579,0.049380154079861294,0.07758680555555572,0.003726128472222379,0.027795681423611284,0.008680284288194584,0.00773518880208357,0.00451144748263912,0.021690809461805773,0.15101535373263908,0.054242078993055734,0.018074815538194632
NN,7,0.08610792192881746,0.35545023696682465,0.9568758097353323,0.13863216266173753,0.6874625604375575,0.15911478883496796,0.04018129993232998,0.152378939741577,0.1116036710542204,0.22455500543412624,0.06677575172080659,0.1707873445236082,0.0033751962323389506,0.054667310711266716,0.044350923801473166,0.10233788189832131,0.1457130781306605,0.23057843255645447,0.25786136939983084
NN,8,0.23035230352303523,0.2814569536423841,0.9773896561061468,0.25335320417287627,0.7770741875781757,0.24324342609952163,0.022942189592307604,0.0549693403113138,0.12615013139866585,0.083665461243009,0.020481795107926647,0.10929943172884711,0.012785427101817182,0.008311807910873603,0.0072500617686036325,0.027770939556613826,0.020428337189191702,0.1939850856898992,0.03361312638979368
NN,9,0.29959514170040485,0.10709117221418235,0.9664600492485352,0.1577825159914712,0.6487153739574929,0.16487065599068562,0.035543572263641805,0.10036983027060213,0.05472972676636985,0.12189596947502301,0.016911319678961378,0.1277784965571685,0.012976843120915627,0.02047684312091578,0.040824744528748756,0.06258289110126743,0.03566323845445374,0.21566499276347528,0.07096278671988077
NN,10,0.2961783439490446,0.27761194029850744,0.9809637365348245,0.28659476117103233,0.7307719542115163,0.277107211796053,0.02129469101719185,0.15734048056362443,0.04365218720744899,0.13488660281770365,0.022162410650894925,0.1948729478241018,0.009720030744678731,0.009876330157639668,0.00030732112900819784,0.032995449033574056,0.03478647317903738,0.07159019940060432,0.03787947583254612
NN,11,0.10815602836879433,0.25,0.969759753140842,0.15099009900990099,0.7206918177428465,0.1507714104161249,0.025118191058582526,0.20734631321006908,0.07928821563822674,0.2283217643127645,0.011584851860102541,0.20044580084651367,0.013379193584317228,0.0005602138560926618,0.0009652038315883348,0.09744343951882375,0.06435027845845391,0.18909360659389615,0.08884909779460895
NN,12,0.09800362976406533,0.35526315789473684,0.9682886532004477,0.15362731152204837,0.8009349663045906,0.1744475052233445,0.026750258895164337,0.26134120532115024,0.11383028755710829,0.1609901572158021,0.02529074845471646,0.14833529293200748,0.007458680462241319,0.051181805966138104,0.024549684224670763,0.10946133431873155,0.08238695915076592,0.2747043805428648,0.17705791453910233
NN,13,0.04675716440422323,0.3924050632911392,0.9554478149773963,0.08355795148247978,0.72197708113804,0.12348412409184892,0.03826557920171539,0.19150882963988924,0.09476108033241001,0.1866204986149585,0.023021121883656504,0.19862534626038789,0.008292070637119186,0.04042806440443218,0.021973684210526367,0.11387465373961221,0.07369632963988929,0.20562716412742388,0.10694425207756238
NN,14,0.0759493670886076,0.2803738317757009,0.931469326580185,0.11952191235059761,0.6447026418519486,0.11870037562000435,0.06458890048995321,0.21901297868931263,0.16498958500240346,0.25749399134754053,0.01535330876462102,0.20188431341131227,0.010318859157186378,0.05040538375260375,0.01204614645088926,0.1384297388239064,0.11218875180259576,0.2034161192116648,0.17327992308924853
NN,15,0.1927710843373494,0.07655502392344497,0.9787971457696228,0.10958904109589039,0.7286748691985869,0.11207602617372443,0.027645655760524798,0.12564454925709195,0.01968100076668522,0.05658009918382014,0.009320755815646287,0.1263464057996332,0.021288710319193438,0.018180530080259372,0.0016671033860309104,0.009723993361865801,0.0975165225492766,0.08521889345018012,0.026820100736600083
NN,16,0.22043010752688172,0.4279749478079332,0.9571520480377439,0.29098651525904895,0.8301381805309784,0.28721137161512034,0.03475784268572507,0.23275600375449282,0.0472719260090199,0.18574649160962425,0.05008132826629423,0.26986166754424107,0.012614637943270512,0.07570287997069655,0.009022057645200431,0.07394845585036966,0.11604204345138609,0.11297823996703367,0.0687274215333897
NN,17,0.18711018711018712,0.2903225806451613,0.9860240633148818,0.22756005056890016,0.7908130506640667,0.22628634517814866,0.016567373543757792,0.16574792648218933,0.10230590870855683,0.20495635043431645,0.03923810478510814,0.18471759624478623,0.010950658339180875,0.023347440082635628,0.003940185058468271,0.1021096055195017,0.08028177178446749,0.16349148582860076,0.05780863054118488
NN,18,0.3904052936311001,0.6439290586630286,0.9608181853873032,0.486096807415036,0.8727664008853715,0.4828619429868365,0.036283927362683745,0.07228761706555682,0.027667429760666096,0.16136878251821035,0.013476482830385116,0.0822250780437046,0.0027087408949012072,0.011231009365244637,0.003790634755463218,0.0386414151925079,0.05558522372528631,0.15665140478668066,0.03462643080124881
NN,19,0.33093525179856115,0.45544554455445546,0.9862068965517241,0.3833333333333333,0.8760708839723939,0.3814546997434354,0.012707944126743358,0.1477923612804283,0.13197539871465827,0.09469557351816249,0.004035630731319651,0.11429979024323969,0.012464148716984735,0.009227566542400912,0.0018719534552168239,0.10157864761794862,0.06511774854873262,0.28491614382576236,0.03276145612510215
NN,20,0.12307692307692308,0.1702127659574468,0.9842450765864332,0.14285714285714285,0.6314791724582314,0.1369262518986295,0.01623073662107318,0.13219243211449844,0.05866875796490527,0.18912900696010182,0.02632585040682276,0.1878266836584648,0.014079502009606814,0.061030291147926574,0.012148318792275247,0.04926183707479652,0.04096019998039404,0.1046706205273992,0.09963876090579345
NN,21,0.0893042575285566,0.31970260223048325,0.9492653041688603,0.1396103896103896,0.7123195879633502,0.14902414375762835,0.04352479538159825,0.11740455711483333,0.0756028368794327,0.21092600975806058,0.04966249182636691,0.23825260298777734,0.026243146723001966,0.09336753684422328,0.022142749358684256,0.15349026708918073,0.16833559680096583,0.16374629042804695,0.16233388662542134
NN,22,0.04962779156327544,0.1568627450980392,0.9595079869567013,0.07540056550424129,0.5758963071295597,0.07107960714627919,0.03332739405933417,0.24529304459584594,0.16576097621647026,0.28076975166180684,0.05477315128314988,0.29017481792678385,0.022412072801647386,0.037669048244219995,0.01585260015754355,0.08052721770014248,0.10522339381711152,0.12723151974129726,0.12311949807216602
NN,23,0.08188153310104529,0.16666666666666666,0.9688865297456208,0.10981308411214953,0.7594556300350171,0.10217997254564949,0.0262970250831633,0.04764029219530932,0.08090057670126857,0.1804824298346788,0.04215086505190293,0.1876299884659745,0.007585390234525047,0.03934225297962306,0.01829557862360609,0.09108896578239116,0.051252287581699155,0.1349394848135331,0.11723952326028428
NN,24,0.12149532710280374,0.04887218045112782,0.9826656009591368,0.06970509383378017,0.7761722806408489,0.06927494451044591,0.022269456407400797,0.08088803380111662,0.08434749258085608,0.12373560183089378,0.010253885619435587,0.0917650017604748,0.0064916251697600515,0.0107997585634525,0.009953598913535533,0.038996906594235645,0.04806209446204919,0.09419055882500878,0.030364544037020248
NN,25,0.0711071107110711,0.22128851540616246,0.9497545259281989,0.10762942779291552,0.7167226836291584,0.10423001185355228,0.04578231985694026,0.1258874159081916,0.0989021425744814,0.21985259200633173,0.005846005992424774,0.30187404601729895,0.010432472157838223,0.005621007405732459,0.006892984340550701,0.11753830063881518,0.15267454350161122,0.17864449657979542,0.163712759341964
NN,26,0.08536585365853659,0.12962962962962962,0.9771471387093753,0.10294117647058824,0.7028260934318744,0.09392674654322157,0.022109397096656266,0.05923208499085912,0.015155630879802895,0.03489356526924496,0.013755149118470977,0.09733948481353331,0.004267589388696691,0.010891336926927675,0.012977347801865857,0.02928622429363905,0.013605834490659042,0.14477218338315725,0.043799559039302036
NN,27,0.0815450643776824,0.1366906474820144,0.9839492527271854,0.1021505376344086,0.681807993373081,0.09780282684003991,0.01747568962508863,0.21995113168724284,0.2147427983539095,0.0727034036351166,0.029336419753086495,0.19139424725651583,0.010117884087791507,0.024999142661179707,0.0019810956790124123,0.11072423696844995,0.07186792695473258,0.10639381858710559,0.058440929355281224
NN,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26325086693235333,0.1858930697168883,0.26298017700947146,0.05582423270017074,0.21124631230267582,0.008707623828994282,0.08819781584804096,0.009709642358055959,0.12241395372910305,0.0975700015527146,0.1633212566637337,0.22907458206096992
NN,1,0.12403100775193798,0.0599250936329588,0.9836500022458788,0.0808080808080808,0.627619900928531,0.07857538321982442,0.01954896097702923,0.03994698817789466,0.023400262713454766,0.07612450741227259,0.016265481328579613,0.03272858416213189,0.0038405423156315567,0.10088454681929078,0.005105437230249654,0.03038023081253527,0.046738365547007055,0.12114937136423358,0.059101379245637166
NN,2,0.0,0.0,0.9822501747030049,0.0,0.8382488668000165,0.0,0.028403473780735596,0.1564213272734924,0.1024817292990503,0.23524274432240597,0.03611819495293802,0.23332688072493646,0.018557421201026814,4.629045154169731e-06,0.012013634642090598,0.07377365371936759,0.02548710179691114,0.14764395629059177,0.05494732707710863
NN,3,0.11740041928721175,0.2222222222222222,0.9714404739862988,0.15363511659807957,0.7641907081303859,0.14797127286475298,0.022380588685850827,0.08701731181240147,0.03648149296298595,0.16041898306018842,0.03814819407416603,0.25773589324956436,0.014119081571496505,0.004298950820123881,0.002599320754197154,0.08365284063901464,0.042737581030717654,0.34974118392681236,0.06096010636465728
NN,4,0.14035087719298245,0.16551724137931034,0.975779484862178,0.1518987341772152,0.7531255526083113,0.14018653223775612,0.021768235492227103,0.03152179390274634,0.03420241244646007,0.07650951121189224,0.00574263038548759,0.11459309649785847,0.007881393298060013,0.002465986394557906,0.001024502393550053,0.012892416225749593,0.02878936759889139,0.09135582010582013,0.023149722852103795
NN,5,0.2878787878787879,0.3958333333333333,0.9853585705341232,0.33333333333333337,0.7935492471197317,0.33035260375530945,0.015698005048616986,0.09462080856123647,0.08840915576694404,0.11125659928656353,0.020745897740784613,0.13894601664684886,0.01056242568370982,0.011673840665873847,0.01312699167657545,0.05805077288941727,0.1078246135552912,0.16214173602853735,0.06203721759809746
NN,6,0.053418803418803416,0.27472527472527475,0.9708710083552707,0.08944543828264759,0.7754633331921488,0.11111631889837828,0.026258615774369488,0.14368055555555545,0.13964789496527769,0.1417366536458333,0.029038899739583245,0.12223524305555551,0.009362521701388783,0.043000759548611045,0.01294270833333333,0.10696180555555546,0.1676429578993055,0.1490169270833333,0.10530192057291662
NN,7,0.06045589692765114,0.2890995260663507,0.9491948917268185,0.1,0.6747514345234786,0.11409414277154795,0.04488273378957635,0.19211206376041548,0.1318584711991306,0.12597512377732165,0.017780461296944838,0.17824658857625897,0.012336674314696362,0.02771525178118588,0.016328945779495306,0.0991667672986355,0.09478565390653307,0.2062842651853641,0.1410626735901461
NN,8,0.1126228269085412,0.49337748344370863,0.9401119234587959,0.18338461538461542,0.783576183180941,0.21514503222333864,0.05140795458757112,0.1439711596774555,0.14179735405763563,0.16011073426023664,0.047724444644100396,0.15841243458143342,0.015447541609577398,0.008517328900968036,0.01641158105163838,0.05535679791559023,0.08544260012129101,0.32181869230250887,0.08878506772085074
NN,9,0.19084967320261437,0.21128798842257598,0.9505816421839178,0.20054945054945053,0.6683338678834027,0.17536145879167772,0.04272493320616862,0.0986086136572956,0.043518486031314384,0.07107023814744962,0.03854282706898811,0.12913030130257444,0.006937853602912059,0.03553923073549401,0.091756501907811,0.08585259418446552,0.08879895618613216,0.21860510503925265,0.12065041006973369
NN,10,0.3042168674698795,0.30149253731343284,0.9808815064550612,0.30284857571214396,0.7767840664937289,0.29315967866779286,0.017533505479992044,0.23124038443414507,0.10012691604482701,0.22179181998864883,0.025164582465061546,0.3012475470228136,0.008781522196694813,0.004387274048600931,0.00012308343159213032,0.05374525897365563,0.026994791415784158,0.07967896104766481,0.042165447420944614
NN,11,0.18258426966292135,0.26639344262295084,0.9792814635221512,0.21666666666666667,0.7481611161070085,0.21033315233478864,0.020100378152806606,0.2182758743595456,0.08093071953664517,0.2175269325016708,0.012029583426152901,0.23238351525952333,0.014393406103809393,0.0014063711294275416,0.0008088215638226926,0.05060200490086888,0.029784539986634086,0.12996498106482518,0.07197389173535315
NN,12,0.10933940774487472,0.3157894736842105,0.9736182913180195,0.16243654822335024,0.7721224219406181,0.17480861842056228,0.02419045668185811,0.15378863208814825,0.06608203439935492,0.17732632356893294,0.031302237301800526,0.13515889545821008,0.009049986562751845,0.050001679656006305,0.018332773447997754,0.1249627116366568,0.08556906745498508,0.2364196452566513,0.14148246439129258
NN,13,0.04991680532445923,0.379746835443038,0.9593788901264496,0.08823529411764706,0.6890226720998786,0.1262346283075505,0.036743561426053194,0.11608898891966764,0.11412396121883665,0.2521191135734072,0.023699792243767392,0.16460612880886433,0.014069425207756225,0.05388331024930755,0.01546052631578949,0.08500779085872583,0.04338382963988918,0.15649584487534635,0.11342278393351804
NN,14,0.06473724295506474,0.26479750778816197,0.9243371750478061,0.10403916768665851,0.722843266882646,0.10170517890107712,0.0674056713323141,0.152036532606954,0.15158468194199648,0.17889440794744427,0.009027399455215423,0.19493350424611433,0.020429418362441897,0.07917961865085718,0.008315975004005693,0.12792821663194995,0.08327511616728085,0.2149415157827271,0.15341131228969723
NN,15,0.12708333333333333,0.291866028708134,0.9537614678899082,0.17706821480406387,0.6629603206438281,0.17159309043808277,0.03684851475859541,0.17840694480837732,0.14430440310167797,0.19036199182849545,0.03642288021273086,0.26533593423976864,0.017987694218806128,0.0476718975941615,0.002789375103114322,0.13347065731116742,0.09162517832707366,0.19153026465193473,0.16921497268077754
NN,16,0.22355289421157684,0.46764091858037576,0.9556937593823719,0.3024983119513842,0.8486572221789497,0.3032676337949561,0.037023527077090126,0.18729041230741048,0.10314805063986629,0.16658117946017711,0.06752993292278105,0.2541225017742268,0.020027242966049363,0.07819063208259884,0.014811187930679214,0.04335122822279704,0.10204327968682037,0.10899367001671201,0.08015899361278359
NN,17,0.20118343195266272,0.21935483870967742,0.9882885767875932,0.2098765432098765,0.8123313823525915,0.2041817635931475,0.012384488441010985,0.11205538678788869,0.03834951033163196,0.09756739205285883,0.02365815176886423,0.13720969661045754,0.010321520565199683,0.015077950322740886,0.01327840272662677,0.06162608252230413,0.04893454090594087,0.14274249153377114,0.05880714432032623
NN,18,0.3597173144876325,0.694406548431105,0.9556358211299124,0.47392923649906893,0.9040690777685754,0.4800945986563467,0.03857941639127506,0.09633777315296548,0.018553381893860375,0.1612314255983349,0.03085660770031202,0.06561935483870958,0.0052043704474504125,0.012759209157127804,0.010207492195629442,0.09140665972944836,0.08279001040582705,0.16270842872008312,0.08207263267429747
