Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
CART,1,2,5,0.03249985009294237,0.8287461773700305,0.9630249997155244,0.0625468813109457,0.9159715045858876,0.1597783468381206,0.02537680375316436
CART,1,3,5,0.03378740110641842,0.8068181818181818,0.967539854296971,0.06485869254924351,0.9023817911441199,0.16110607257286613,0.018711756002900145
CART,1,4,5,0.01544422917243288,0.7728531855955678,0.9654408763952366,0.030283295343536305,0.890255888240106,0.10622196894635859,0.01750356399155077
CART,1,5,5,0.016056083220262325,0.8528528528528528,0.9702925636940507,0.03151878364130736,0.9355371972132565,0.1146593629659411,0.016058130902129524
CART,1,6,5,0.01986021728600097,0.691566265060241,0.9763275190106984,0.03861159693259787,0.8587798416052179,0.11455692550464022,0.012817473937391539
CART,1,7,5,0.019261962692619625,0.7894736842105263,0.9772071358368452,0.03760638648809131,0.872086728953765,0.12114703710229638,0.01397256539491589
CART,1,8,5,0.030274361400189215,0.7692307692307693,0.9847379368334096,0.058255962133624606,0.865978514134292,0.1507363363662006,0.011437319644451889
CART,1,9,5,0.03319909635595718,0.8086124401913876,0.9857007607143423,0.06377960184923107,0.9091311698546829,0.16211439890245852,0.011994789272253153
CART,1,10,5,0.0200213561131874,0.746268656716418,0.9897634360958995,0.03899649031587157,0.8782402573828622,0.12118247576910507,0.01090679375055498
CART,1,11,5,0.022911526260133944,0.5882352941176471,0.9928629870837165,0.04410517387616625,0.8245896308963228,0.11510417501339912,0.008113085855882196
CART,1,12,5,0.016486104569006125,0.6008583690987125,0.9908636031698808,0.03209169054441261,0.7989801388892424,0.09847189429825008,0.009115250249195435
CART,1,13,5,0.009553492784063962,0.7305699481865285,0.9850036800785084,0.018860353130016053,0.8488202414337707,0.08245049572700956,0.012259111686715077
CART,1,14,5,0.003792937656926118,0.6729857819905213,0.9618589439321882,0.007543361045446094,0.821713922786735,0.04859698752143066,0.019553033415619522
CART,1,15,5,0.002646185620240093,0.7884615384615384,0.9450624504299989,0.005274668725073974,0.890759670690854,0.04371248194583184,0.022757647844071614
CART,1,16,5,0.001293895401495743,0.7142857142857143,0.9302468628430369,0.0025831116162529384,0.8384072437675758,0.02844218532616403,0.02559888062855757
CART,1,17,5,0.0018849019354966717,0.6666666666666666,0.9118390401095336,0.003759175355637774,0.8073759310360888,0.032214405276238374,0.03146085364874234
CART,1,18,5,0.0013987772486523018,0.6872586872586872,0.881640319939832,0.0027918722012657536,0.8244338239450282,0.02733438322735785,0.04206771874644383
CART,1,19,5,0.0012335043270548616,0.6217105263157895,0.8733331072625782,0.0024621236793767832,0.8300837453921238,0.0235964066844393,0.04684622812982941
CART,1,20,5,0.0009389466328937025,0.607773851590106,0.85705442646292,0.0018749965933928172,0.800601345539095,0.019735736460722048,0.055810612720732386
CART,1,21,5,0.000985551531613098,0.6201780415430267,0.8317704720803885,0.0019679756686644605,0.7726472950998644,0.019755215824377486,0.06701356820108226
CART,1,22,5,0.0010819637843794997,0.7192513368983957,0.8134696898944292,0.0021606772799563044,0.8355271136741689,0.02290807711247916,0.0679131735869039
CART,1,23,5,0.0010451016050044143,0.7232375979112271,0.7992231955859802,0.002087187157394256,0.8146873726135788,0.022215134003090296,0.06930627960783776
CART,1,24,5,0.0010104328963034407,0.7566137566137566,0.7990795476016952,0.002018170591867337,0.8382107278962349,0.022716678398517084,0.06682792910377194
CART,1,25,5,0.000915010822209217,0.7490494296577946,0.7948588627984513,0.0018277888857446383,0.8216209142046198,0.02132197292001446,0.06918020112917665
CART,1,26,5,0.0013223102038917025,0.6350093109869647,0.8029467352112762,0.0026391248321524347,0.790448403080906,0.022303498588286782,0.06294316344499079
CART,1,27,5,0.0009230930610675011,0.45051194539249145,0.8064872924267342,0.0018424110460916806,0.7263672427678647,0.0129581944783606,0.06261255646847574
CART,1,28,5,0.0009472504428938139,0.42326332794830374,0.8115427631086027,0.0018902705179124775,0.7619331401387235,0.012336008645848927,0.062198462770804055
CART,1,29,5,0.0015218264641196216,0.4806451612903226,0.8101252895673037,0.003034046481320591,0.7701540245322511,0.018184591040128865,0.0641298852234055
CART,1,30,5,0.0012685188085319635,0.5049875311720698,0.7934699496324971,0.0025306805968657053,0.7426982497769594,0.016797007983060552,0.06838715830207762
CART,1,31,5,0.0015270657244469078,0.52324431256182,0.7942250728059305,0.003045244036876812,0.7279116830075112,0.019248928525666488,0.06617070934095193
CART,1,32,5,0.0013223564727117515,0.4683794466403162,0.7975661524440959,0.0026372672569916792,0.7178001152548609,0.01582916830955805,0.06441415187020642
CART,1,33,5,0.0014911922230672011,0.45916666666666667,0.797294414258676,0.002972730191015449,0.713536437807434,0.016376197767720858,0.06575947717147813
CART,1,34,5,0.0018766388233862849,0.43569711538461536,0.796424634671585,0.003737180825427263,0.730387868370356,0.017084881499108584,0.06550659776326791
CART,1,35,5,0.0017900845347383271,0.4267515923566879,0.7965304440468772,0.0035652141523038203,0.7055054017517927,0.016217951745304847,0.06400925393292076
CART,1,36,5,0.0016786636736394766,0.3874773139745917,0.7820046866719236,0.0033428451761648094,0.6852624591232153,0.012634771271553382,0.06756900595609555
CART,2,3,8,0.024041400105945153,0.8380681818181818,0.9523076252308814,0.04674192909487027,0.8981714868447355,0.13717814863543254,0.03221931897284206
CART,2,4,8,0.01222762851702983,0.8005540166204986,0.9547064273239115,0.024087347891315218,0.8829753605722639,0.0955307874119316,0.033648290010774996
CART,2,5,8,0.010704055480174883,0.8528528528528528,0.9552388441793647,0.021142750790991996,0.9161320490942759,0.09262768657281506,0.0342761845377069
CART,2,6,8,0.011034904250984653,0.7831325301204819,0.951606571713936,0.021763149964844145,0.8633726704259208,0.089408561358297,0.036462943752914666
CART,2,7,8,0.009119770916334662,0.8116343490304709,0.9501500825805766,0.018036874018898707,0.87868409749175,0.08284191900481133,0.03711621823403949
CART,2,8,8,0.011635176437899417,0.8052884615384616,0.9579017244685716,0.02293892084360449,0.8752701459051169,0.09373203148883696,0.032374324023850265
CART,2,9,8,0.01074415481350345,0.8421052631578947,0.9532014415961888,0.02121760096443641,0.9045085639368627,0.0920120844164114,0.03723945048544153
CART,2,10,8,0.004805716273040564,0.7562189054726368,0.956348178866404,0.009550738297203895,0.8882669093377786,0.05808699830769619,0.034615638667096015
CART,2,11,8,0.004072358131436834,0.6244343891402715,0.957150058387985,0.008091943239122788,0.7687744769608835,0.04800947062171813,0.033980674560146036
CART,2,12,8,0.004694971743225619,0.6952789699570815,0.9627685067481676,0.009326961828545107,0.8146555656656744,0.055111877453567715,0.03226189684031762
CART,2,13,8,0.0037606156451572732,0.7823834196891192,0.9590652600588813,0.007485252565310067,0.8705607703320317,0.0524903509449315,0.035111206209198616
CART,2,14,8,0.0034086788347636892,0.6682464454976303,0.9578483401775935,0.006782759284202425,0.7888269315468928,0.045690862353782384,0.03513092967640491
CART,2,15,8,0.003975433250809369,0.8028846153846154,0.9628024047612069,0.007911692249384119,0.8961808565249403,0.05490984881759159,0.03236231889093003
CART,2,16,8,0.002319280372818901,0.7642857142857142,0.9583961457205232,0.004624527282549973,0.8628071593174353,0.0406654718704426,0.03390011376031387
CART,2,17,8,0.0033108456896705175,0.6526315789473685,0.9508954326239148,0.0065882686313403225,0.7906818827171815,0.044084155692852935,0.03906248552098394
CART,2,18,8,0.0032941176470588237,0.7027027027027027,0.9486701907333615,0.006557495180961646,0.8509639669212433,0.0457894424491561,0.04144784503400136
CART,2,19,8,0.0027104402771425183,0.5263157894736842,0.9511893940835078,0.005393106935198449,0.748883317575519,0.0351387981069381,0.03762028543736575
CART,2,20,8,0.0033047871748836176,0.734982332155477,0.9509737188033734,0.006579987978868117,0.8661329801451962,0.04716841467052748,0.0353629404932929
CART,2,21,8,0.003223876628556235,0.5756676557863502,0.9522848513033279,0.006411845388594186,0.7792121157580134,0.040490088660917405,0.035061141023382106
CART,2,22,8,0.003883023904865914,0.5989304812834224,0.9567469320524505,0.007716022803603106,0.7646197987317066,0.04574579674337648,0.03272347997750197
CART,2,23,8,0.0032547640296078533,0.6475195822454308,0.9423286395083271,0.006476971493490382,0.8145281946474378,0.04308162721840067,0.04218175798065538
CART,2,24,8,0.002773544232538342,0.5343915343915344,0.9482840431713343,0.0055184471854553396,0.7376142016436444,0.03571246203088169,0.03804634276357658
CART,2,25,8,0.0032309802189628323,0.5285171102661597,0.9589978958367695,0.006422696608446539,0.7146186370999987,0.03892796834163747,0.03140347925886653
CART,2,26,8,0.00915167416291854,0.5456238361266295,0.9755595753985609,0.01800141308020766,0.7641951941753613,0.06834922352591818,0.020451806730824224
CART,2,27,8,0.00712082336321965,0.42150170648464164,0.9764722675284279,0.014005046352734385,0.6833658871051551,0.052363699823717594,0.02011335975288002
CART,2,28,8,0.005980698654342803,0.3554119547657512,0.97482287328748,0.011763447759597902,0.6447391157942889,0.043410490039935384,0.021006029934908903
CART,2,29,8,0.012598755872857555,0.5161290322580645,0.9753938890957227,0.02459709446821594,0.7161886029764233,0.07777789736139923,0.020608348241528948
CART,2,30,8,0.00944733112895607,0.4239401496259352,0.9766398548877696,0.018482781114946587,0.697578446694822,0.06053478951486039,0.020488155602885028
CART,2,31,8,0.008891380967638578,0.4391691394658754,0.9702603666020692,0.017429878108622687,0.6842355577609465,0.05916914696379302,0.026452703732980483
CART,2,32,8,0.007710537734904369,0.45652173913043476,0.9661178877970529,0.015164943377646478,0.6987937791851734,0.055902439564487635,0.02925779817877848
CART,2,33,8,0.009753268663011388,0.4625,0.9687419618622758,0.019103676166873192,0.7046275499106636,0.06365283976876676,0.026686656150749614
CART,2,34,8,0.013666898309010887,0.4609375,0.9703750478599051,0.026546681664791898,0.7041911531851779,0.07543627546890082,0.02511390632897137
CART,2,35,8,0.013514025777103866,0.45414012738853504,0.9712578077504606,0.02624700901895822,0.7127709455164544,0.07450290705649852,0.02496302776887581
CART,2,36,8,0.0165015479876161,0.48366606170598914,0.9723149025721901,0.03191425663133944,0.7369655828165326,0.08545947575596029,0.02422336085867904
CART,3,4,7,0.013404287363823484,0.739612188365651,0.9618085709256964,0.026331360946745562,0.8609611412991584,0.0962884356126479,0.027059411453270645
CART,3,5,7,0.011163545948140254,0.6606606606606606,0.96663807072729,0.021956087824351295,0.7631765813769789,0.08294538807980872,0.023669398461737972
CART,3,6,7,0.011143095923484074,0.5783132530120482,0.9644333064453349,0.021864893180886438,0.7362350410053605,0.07673080244496755,0.023675663143922002
