Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
GBDT,1,2,6,0.2642857142857143,0.7920489296636085,0.9964087800548469,0.39632746748278497,0.959238116201929,0.4563040563976224,0.003081514120643686
GBDT,1,3,6,0.25634882606612364,0.7599431818181818,0.9965892966142674,0.3833751343604443,0.959976812055769,0.44018907607619223,0.0029017436376981664
GBDT,1,4,6,0.17394179894179895,0.7285318559556787,0.9973947201983648,0.2808328884143086,0.963138739855545,0.35519517958523394,0.0022639570924499653
GBDT,1,5,6,0.16978516978516978,0.7357357357357357,0.9978110489262906,0.27590090090090086,0.9516751642123983,0.35278949998285425,0.0018292342440528804
GBDT,1,6,6,0.1501639344262295,0.5518072289156627,0.9975452968915376,0.23608247422680412,0.9088687885979145,0.2870003651137872,0.0018234842810070674
GBDT,1,7,6,0.12233121754183497,0.5872576177285319,0.9973905475318798,0.20248328557784148,0.9369420997110386,0.2672311692298241,0.0019382171549959238
GBDT,1,8,6,0.18607764390896922,0.6682692307692307,0.9980026257947454,0.29109947643979056,0.9291562473530064,0.3519659030545435,0.0016074086630578903
GBDT,1,9,6,0.18924889543446244,0.6148325358851675,0.9981814330365313,0.2894144144144144,0.9525134682887888,0.3404605523373625,0.0015041437171687856
GBDT,1,10,6,0.1188118811881188,0.6567164179104478,0.9985489085660088,0.20121951219512194,0.8740148462825936,0.2789299253789412,0.0011592558527944378
GBDT,1,11,6,0.13771186440677965,0.5882352941176471,0.9988537716611825,0.22317596566523606,0.8955807965251253,0.2842484869543137,0.0010086184095524627
GBDT,1,12,6,0.1111111111111111,0.5708154506437768,0.998740702674925,0.186013986013986,0.8693204473314895,0.2514643023962437,0.0010296914850365425
GBDT,1,13,6,0.11016949152542373,0.6735751295336787,0.9988622423945044,0.18936635105608157,0.9322359138774554,0.27211356590525687,0.0009476455679651671
GBDT,1,14,6,0.12959558823529413,0.6682464454976303,0.998961877317785,0.21709006928406469,0.9210033639329855,0.2939876791101885,0.00088016636815666
GBDT,1,15,6,0.14285714285714285,0.7740384615384616,0.9991003017053413,0.24119850187265915,0.9440164970608684,0.33229810123324743,0.0007977768284755791
