Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LDA,1,2,5,0.0431055900621118,0.5305810397553516,0.9817708037004585,0.07973345588235295,0.9121485818755585,0.1474757398159747,0.013467991435157829
LDA,1,3,5,0.04036415487550729,0.5227272727272727,0.9819952119352818,0.0749414519906323,0.9202044103788137,0.1416188117144967,0.0130433443329752
LDA,1,4,5,0.027390354562258443,0.4515235457063712,0.9884222680827114,0.05164765525982255,0.8548578209406607,0.10904108735811177,0.009190718491155459
LDA,1,5,5,0.0267221933020996,0.4624624624624625,0.9901480180290589,0.0505249343832021,0.876054121370158,0.10937724140868514,0.008016837224545848
LDA,1,6,5,0.031007751937984496,0.5012048192771085,0.9888908949065739,0.05840235855678788,0.7878347648804737,0.12262596769329419,0.008115843672146315
LDA,1,7,5,0.023482612601052225,0.5069252077562327,0.9878308887295092,0.044885945548197206,0.8922022476815137,0.10716883221271066,0.008933568682456726
LDA,1,8,5,0.021016266014106808,0.35096153846153844,0.9895691041319388,0.039657748200461765,0.8466118363384255,0.08383155773572258,0.007833390506721149
LDA,1,9,5,0.019552139037433153,0.2799043062200957,0.9911117899915413,0.03655107778819119,0.8823446797409142,0.07203168065112044,0.006941514238386546
LDA,1,10,5,0.011527377521613832,0.27860696517412936,0.9931502391946997,0.022138762601304606,0.7542308030107104,0.05549747910968206,0.005423970012718818
LDA,1,11,5,0.01598721023181455,0.27149321266968324,0.9951187137924833,0.03019627579265224,0.828616088005775,0.06489185435670548,0.004059810488321396
LDA,1,12,5,0.02143029135564652,0.38197424892703863,0.9954474887079761,0.04058367533059736,0.7794312589949101,0.08962413059385214,0.0038689270441371994
LDA,1,13,5,0.013462811741337453,0.3160621761658031,0.9952956329735034,0.02582557154953429,0.8142861905441239,0.06443080733332279,0.004037494774753259
LDA,1,14,5,0.01696885169688517,0.3459715639810427,0.9955422991610294,0.03235098604032794,0.8330853409511215,0.0758230367530975,0.003908859894708627
LDA,1,15,5,0.013608164898939363,0.3269230769230769,0.995497955917448,0.026128722382324686,0.8215547587281359,0.06594660891517928,0.003908109301458368
LDA,1,16,5,0.00019565642731363725,0.007142857142857143,0.995258925531079,0.0003808798324128737,0.8113511106212956,0.00041913158716637937,0.004117387478481135
LDA,1,17,5,0.010540184453227932,0.22456140350877193,0.9945469523250083,0.02013528393896492,0.7765791350949641,0.047632059486110566,0.0045719352356515435
