Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
NN,1,2,8,0.17284366576819407,0.7844036697247706,0.9940920107873147,0.28326891220320266,0.9507369323751143,0.36655212613448984,0.005572484201487029
NN,1,3,8,0.17037754114230397,0.75,0.9945559545609487,0.2776755193268472,0.9488672432882279,0.3558825677669107,0.005029424997956715
NN,1,4,8,0.1179746835443038,0.6454293628808865,0.9963831676102022,0.19948630136986298,0.9262673706818723,0.2749308932585175,0.0036850826063932218
NN,1,5,8,0.12870733072188026,0.6906906906906907,0.9971744488473113,0.2169811320754717,0.9070645233550594,0.2973796602131856,0.003109447869274037
NN,1,6,8,0.14142538975501115,0.6120481927710844,0.997179244673609,0.229760289461782,0.8833751638413152,0.2933166791174175,0.003209409692891578
NN,1,7,8,0.12782340862422997,0.6897506925207756,0.9971702284911583,0.21567778258986572,0.9273997606438935,0.29615222369121597,0.003216174451904921
NN,1,8,8,0.13996719518862766,0.6153846153846154,0.9974435380371447,0.22806236080178174,0.905283481926414,0.2926834190426659,0.0029460541439719117
NN,1,9,8,0.14354066985645933,0.645933014354067,0.9974652462054346,0.234884732492388,0.8976248788236041,0.3037212424518066,0.0028007325491988633
NN,1,10,8,0.06280454791553872,0.5771144278606966,0.9974855133166717,0.11328125000000003,0.8413876210032558,0.18980786455776127,0.002752191391508341
NN,1,11,8,0.06723107569721115,0.6108597285067874,0.9975188272754216,0.12113055181695825,0.8987792966468715,0.2020959566612646,0.0026564840365521677
NN,1,12,8,0.053703703703703705,0.4978540772532189,0.9976620777323993,0.09694943585457584,0.8844382521488348,0.16295685259265372,0.002634194871640588
NN,1,13,8,0.05533279871692061,0.7150259067357513,0.9975353696434412,0.10271678451804986,0.9509747857407979,0.1984714745401145,0.002770226319480803
NN,1,14,8,0.0493930514859774,0.5592417061611374,0.9975869006678896,0.09076923076923077,0.8839062450598746,0.16569589468435722,0.002735069289283597
