Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
RGF,1,2,17,0.25895173845355474,0.7629969418960245,0.9963974010309395,0.38667183262301436,0.9409936506099741,0.44324642881148696,0.07530910946512906
RGF,1,3,17,0.2555960437272254,0.6974431818181818,0.9967438781738766,0.37409523809523804,0.925693680241881,0.42100358208198185,0.07707402446302229
RGF,1,4,17,0.16451393609789258,0.6703601108033241,0.9973927860633971,0.26419213973799127,0.9145042914343641,0.33126736391032546,0.07617479014008408
RGF,1,5,17,0.167267483777938,0.6966966966966966,0.9978621131037488,0.2697674418604651,0.9277147176452819,0.3407138918541627,0.07484275862059633
RGF,1,6,17,0.21098726114649682,0.6385542168674698,0.9981101104947668,0.31717534410532616,0.8840021162279046,0.36636276139949037,0.0740458389284732
RGF,1,7,17,0.19734789391575663,0.7008310249307479,0.998223384756735,0.3079732197200243,0.92057168249396,0.37131092865506843,0.07431276981568012
RGF,1,8,17,0.2557924003707136,0.6634615384615384,0.998608918851141,0.3692307692307692,0.9083057540981988,0.41142221505693455,0.07511598235558414
RGF,1,9,17,0.2616387337057728,0.6722488038277512,0.998659851603783,0.37667560321715815,0.9178853514600999,0.4188728550365156,0.07494621604132223
RGF,1,10,17,0.13969732246798602,0.5970149253731343,0.9988646040306557,0.22641509433962262,0.892412120507524,0.2884293323014279,0.07328457509372313
RGF,1,11,17,0.16035353535353536,0.5746606334841629,0.999038688056174,0.25074037512339586,0.8928662484828309,0.303224970415452,0.07292771423459754
RGF,1,12,17,0.16193853427895982,0.5879828326180258,0.9991290942038785,0.2539388322520853,0.8579631951068765,0.30827226375878475,0.07319761702679337
RGF,1,13,17,0.1658653846153846,0.7150259067357513,0.999234339221459,0.2692682926829268,0.9207696430198469,0.3441513580034502,0.07533147048521015
RGF,1,14,17,0.17091836734693877,0.6350710900473934,0.9992579005015041,0.2693467336683417,0.8630647669965017,0.32921418736039254,0.07441043354444583
RGF,1,15,17,0.17647058823529413,0.7788461538461539,0.9992877018437154,0.2877442273534636,0.8897442524219435,0.3705308472760102,0.073932231789674
RGF,1,16,17,0.10955710955710955,0.6714285714285714,0.9992683805830013,0.18837675350701405,0.8074632456702849,0.27102817545449465,0.07391602452507341
RGF,1,17,17,0.1624874623871615,0.5684210526315789,0.9991613389512535,0.25273010920436817,0.8799870800509607,0.30361374831795424,0.0734550221671571
RGF,1,18,17,0.1777301927194861,0.640926640926641,0.9991985680337551,0.27829002514668905,0.9096583176869527,0.33723799134840265,0.07355067174236501
RGF,1,19,17,0.1716589861751152,0.4901315789473684,0.9992771249754975,0.2542662116040956,0.8763383801010373,0.28977677559898135,0.07374807007625617
RGF,1,20,17,0.18785151856017998,0.5901060070671378,0.9993458582994814,0.28498293515358364,0.9168758721858838,0.3327055675603841,0.07407570029279341
RGF,1,21,17,0.1811111111111111,0.4836795252225519,0.9992770311773361,0.2635408245755861,0.8088452678114298,0.29568060940513746,0.07392470516931501
RGF,1,22,17,0.2045060658578856,0.6310160427807486,0.9992072060168259,0.3089005235602094,0.8590957327213274,0.35894326069401183,0.07431505585357052
RGF,1,23,17,0.19248826291079812,0.6422976501305483,0.9991138911397452,0.29620710415412405,0.8495118838007222,0.3513082052209634,0.0742329859580448
RGF,1,24,17,0.16224188790560473,0.582010582010582,0.9990808262051193,0.2537485582468281,0.8691303502157924,0.3069694573809643,0.07375997095184914
RGF,1,25,17,0.13886210221793635,0.5475285171102662,0.9990351548757571,0.22153846153846152,0.8806061205123146,0.2754099140923985,0.07345308733066579
RGF,1,26,17,0.20165745856353592,0.5437616387337058,0.998928863050439,0.29420654911838795,0.8727531775140018,0.33071662460258583,0.0735761795015151
RGF,1,27,17,0.18414481897627966,0.5034129692832765,0.9989189649935428,0.26965265082266915,0.7908266605432673,0.30403778453175095,0.0739857120018813
RGF,1,28,17,0.14489311163895488,0.39418416801292405,0.9987637570343246,0.2118975249674338,0.7408151098049933,0.23847819288727115,0.07347238054920664
RGF,1,29,17,0.19430637144148216,0.46236559139784944,0.9985243701911144,0.2736239261851734,0.8394999426901052,0.2991107650306585,0.07355438574917554
RGF,1,30,17,0.1341130604288499,0.428927680798005,0.9982669594097182,0.20433620433620434,0.8189868853034464,0.23917597802160742,0.07422838417154085
RGF,1,31,17,0.14732561776665623,0.4658753709198813,0.998059696704336,0.2238593155893536,0.863575521939422,0.26124207109895314,0.0742709266899644
RGF,1,32,17,0.1353725015142338,0.441699604743083,0.9980689127131607,0.20723226703755218,0.8256441964386713,0.24379287510249104,0.07448406448377039
RGF,1,33,17,0.12518929833417466,0.41333333333333333,0.9977129869980295,0.19217357613328168,0.8123117734157493,0.22660004059517308,0.07472370380400482
RGF,1,34,17,0.1535141800246609,0.4489182692307692,0.9973477581024779,0.22879019908116383,0.8614038878950342,0.26146835711201105,0.0739740168844091
RGF,1,35,17,0.1350210970464135,0.4484076433121019,0.9970792751864977,0.20754716981132074,0.8275202506316605,0.24495502224755158,0.07444206131115798
RGF,1,36,17,0.14397354974451457,0.43466424682395643,0.9970282356144258,0.21630164822759088,0.8432622900947888,0.24899308877497858,0.07356622620151995
RGF,2,3,17,0.3231892878880097,0.7542613636363636,0.9974533678961847,0.45249254367277375,0.952242462088587,0.4927446328655911,0.003162518550016253
RGF,2,4,17,0.23724261414503134,0.7340720221606648,0.9981664400505196,0.35859269282814615,0.9310936292549374,0.41668411988753223,0.0026616982375047673
RGF,2,5,17,0.21280432822362488,0.7087087087087087,0.9983489249288506,0.32732316227461855,0.9510913113183691,0.3877923316853568,0.0022840810045710188
RGF,2,6,17,0.2467419635099913,0.6843373493975904,0.99834696781225,0.3627075351213282,0.9187228636885791,0.4103068412439092,0.002368309665706229
RGF,2,7,17,0.24196428571428572,0.7506925207756233,0.9985327689415779,0.3659689399054693,0.9556173783412433,0.4256924250950019,0.0020970385196813555
RGF,2,8,17,0.2597402597402597,0.6730769230769231,0.998622195341427,0.3748326639892905,0.920682983633093,0.4175933580695909,0.001919814643360073
RGF,2,9,17,0.25975103734439836,0.7488038277511961,0.9985633032784641,0.38570548367221197,0.9337061120506573,0.4405169543233801,0.0019116439219255407
RGF,2,10,17,0.1521511017838405,0.7213930348258707,0.9988036803444957,0.2512998266897747,0.8918175288755236,0.3309600439944414,0.0018040136725474322
RGF,2,11,17,0.15519399249061328,0.5610859728506787,0.9990222228977159,0.24313725490196078,0.9067321454137814,0.2947466018275272,0.0017499046694520245
RGF,2,12,17,0.15916955017301038,0.592274678111588,0.9991085386633489,0.2509090909090909,0.8754801790446557,0.3067338901985488,0.0018835020817806376
RGF,2,13,17,0.15082644628099173,0.7564766839378239,0.9991116699378476,0.2515073212747631,0.927137302719556,0.3375404967207494,0.0023101094918194574
