Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
GBDT,1,2,9,0.11871227364185111,0.2209737827715356,0.9709832457440597,0.15445026178010474,0.7274692606691172,0.14814533207250433,0.02370414545783462
GBDT,1,3,9,0.1782178217821782,0.14173228346456693,0.9731656184486374,0.15789473684210525,0.8035754743804434,0.14541971552236668,0.022050786651255986
GBDT,1,4,9,0.1776061776061776,0.18253968253968253,0.9806054434364007,0.18003913894324855,0.748356813532207,0.17024402533942526,0.01683479417636425
GBDT,1,5,9,0.23118279569892472,0.1482758620689655,0.98237686398554,0.180672268907563,0.7227799355816598,0.17654984875351373,0.0157985213360692
GBDT,1,6,9,0.12101910828025478,0.09895833333333333,0.9850214323556327,0.10888252148997134,0.6885130057686387,0.10192890515441037,0.013171586574741207
GBDT,1,7,9,0.17142857142857143,0.1978021978021978,0.9908435389721872,0.1836734693877551,0.703831519110815,0.1795568466045694,0.00803248759803892
GBDT,1,8,9,0.21610169491525424,0.24170616113744076,0.9840366463076069,0.22818791946308722,0.7610238127243467,0.2205006931667819,0.013771221593638932
GBDT,1,9,9,0.1595744680851064,0.1490066225165563,0.9777055690946836,0.1541095890410959,0.7706833197182279,0.1429130206763617,0.019076123884219566
GBDT,1,10,9,0.22439024390243903,0.13314037626628075,0.9610681837479833,0.16712079927338783,0.6681870802444789,0.15384567225478207,0.03431089235125658
GBDT,1,11,9,0.2023121387283237,0.208955223880597,0.9777567634240605,0.20558002936857564,0.7566769686814189,0.19432956397063517,0.018701241788741718
GBDT,1,12,9,0.22083333333333333,0.21721311475409835,0.9833370068327089,0.2190082644628099,0.8057575018208036,0.21059485981637313,0.014077302975316312
GBDT,1,13,9,0.27380952380952384,0.3026315789473684,0.9878484250919363,0.2875,0.8607619927660212,0.2817458868119106,0.010043881814719918
GBDT,1,14,9,0.12173913043478261,0.17721518987341772,0.9891240254209527,0.1443298969072165,0.8272532045724348,0.14153571715204444,0.009015131275774272
GBDT,1,15,9,0.15384615384615385,0.08722741433021806,0.9768980309059899,0.11133200795228627,0.7591699590765404,0.10471282344487193,0.0200109142766097
GBDT,1,16,9,0.1598639455782313,0.11244019138755981,0.9748012232415902,0.13202247191011235,0.7697001486395483,0.12154207857274767,0.021216139649140216
GBDT,1,17,9,0.19137466307277629,0.14822546972860126,0.9696332832940168,0.16705882352941176,0.7287541994089834,0.15313485297321044,0.025215518862922885
GBDT,1,18,9,0.14545454545454545,0.18064516129032257,0.9866645317718102,0.16115107913669066,0.7738576507377857,0.1554309603384871,0.011178629089862177
GBDT,1,19,9,0.41651705565529623,0.3165075034106412,0.9675709630560245,0.35968992248062015,0.8389740855240685,0.34678262272725197,0.02707105735909011
GBDT,1,20,9,0.049079754601226995,0.07920792079207921,0.9768872320596459,0.0606060606060606,0.6153545921908026,0.05101982560981442,0.019464432515995025
GBDT,1,21,9,0.05660377358490566,0.10638297872340426,0.9794310722100656,0.07389162561576355,0.7293932707981197,0.06777813068557667,0.016315243526064113
GBDT,1,22,9,0.12087912087912088,0.16356877323420074,0.973914708275499,0.13902053712480253,0.6868199174600061,0.12756890559225184,0.02146670020890059
GBDT,1,23,9,0.07391304347826087,0.13333333333333333,0.9732942584719528,0.09510489510489512,0.7220569422496181,0.08641187588116302,0.020664757519968577
GBDT,1,24,9,0.06290672451193059,0.10283687943262411,0.9720305418316932,0.07806191117092867,0.6956612173715362,0.06672139095515789,0.02293612412168087
GBDT,1,25,9,0.15357142857142858,0.16165413533834586,0.9770206813867519,0.15750915750915753,0.7447451785600088,0.14591771390055303,0.019118865305240977
GBDT,1,26,9,0.12411347517730496,0.09803921568627451,0.9781758208039276,0.10954616588419405,0.7157218399706762,0.09935644813033054,0.01861197969110211
GBDT,1,27,9,0.09523809523809523,0.07407407407407407,0.9835159689051232,0.08333333333333333,0.6274830216250881,0.07575249735982292,0.014591625506075023
GBDT,1,28,9,0.1638418079096045,0.20863309352517986,0.987601518573694,0.18354430379746836,0.6975018533794155,0.1787051644850666,0.010953840340691157
GBDT,2,3,5,0.38544891640866874,0.6535433070866141,0.9753552294432798,0.4849074975657254,0.8968491737337614,0.49053588547823046,0.02068185144668984
GBDT,2,4,5,0.18787878787878787,0.36904761904761907,0.9740325865580448,0.24899598393574296,0.8515138539492231,0.2513185181358332,0.021704185153349223
