Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LDA,1,2,5,0.036931818181818184,0.04868913857677903,0.9733638772851817,0.0420032310177706,0.578994188933228,0.02903838278169783,0.02538384877196501
LDA,1,3,5,0.029649595687331536,0.028871391076115485,0.9659911483810855,0.029255319148936167,0.6802005824969091,0.011951927960784418,0.02964257324424435
LDA,1,4,5,0.032520325203252036,0.06349206349206349,0.9670431401592298,0.043010752688172046,0.6546318102612595,0.029652391263357378,0.02840807429187145
LDA,1,5,5,0.03467153284671533,0.06551724137931035,0.9638499774062359,0.04534606205250597,0.6267677939876216,0.030219918242341548,0.02921436488994616
LDA,1,6,5,0.018907563025210083,0.046875,0.9686943119973029,0.026946107784431135,0.5320319715862136,0.01545962515999399,0.025611606827727396
LDA,1,7,5,0.009596928982725527,0.054945054945054944,0.9655488153828545,0.01633986928104575,0.6952270533355502,0.010690288046194322,0.025711289110590514
LDA,1,8,5,0.020155038759689922,0.061611374407582936,0.9615954099574311,0.030373831775700934,0.6845525444950861,0.018537245978797738,0.02998060995711602
LDA,1,9,5,0.032467532467532464,0.04966887417218543,0.9668742666305623,0.03926701570680628,0.6954878651837919,0.023708877833051038,0.029467848901000966
LDA,1,10,5,0.07760532150776053,0.05065123010130246,0.9544875604992783,0.06129597197898423,0.48900596031239496,0.039964715916311504,0.04232655012815069
LDA,1,11,5,0.07971014492753623,0.13134328358208955,0.9671490831346107,0.0992108229988726,0.5976762910755764,0.0862125425687092,0.030845929592768533
LDA,1,12,5,0.05054945054945055,0.0942622950819672,0.971214458893542,0.06580829756795423,0.6335107505948202,0.055191254573296065,0.02596264862272972
LDA,1,13,5,0.040498442367601244,0.08552631578947369,0.976176517614454,0.05496828752642706,0.6656472968731,0.047681970412919,0.02159268913720147
LDA,1,14,5,0.012618296529968454,0.05063291139240506,0.9745790473694556,0.020202020202020204,0.571157514238839,0.015104706731641436,0.0218339612060452
LDA,1,15,5,0.07329842931937172,0.08722741433021806,0.9665615794097886,0.07965860597439545,0.5725481124062457,0.06300708380449048,0.029935436317650305
LDA,1,16,5,0.0881542699724518,0.07655502392344497,0.9707645259938837,0.08194622279129321,0.558396100082507,0.06733944182378457,0.028504800392195783
LDA,1,17,5,0.05924170616113744,0.05219206680584551,0.9634998927728929,0.05549389567147614,0.6416760464285414,0.03703733503067638,0.03268297738435247
LDA,1,18,5,0.07322654462242563,0.1032258064516129,0.9843771444256371,0.08567603748326641,0.625254338430258,0.0791994584030325,0.016197389689195825
LDA,1,19,5,0.046153846153846156,0.02455661664392906,0.9573240155470928,0.03205699020480855,0.6922666323424191,0.012960504670989827,0.036624236715701745
LDA,1,20,5,0.016216216216216217,0.0297029702970297,0.9739049394221808,0.02097902097902098,0.45340705747120014,0.009332081906079006,0.02494827019105045
LDA,1,21,5,0.03278688524590164,0.0851063829787234,0.9735776805251641,0.047337278106508875,0.5888798439473897,0.040965648106621004,0.024363387616160928
LDA,1,22,5,0.06435643564356436,0.09665427509293681,0.9702771263102474,0.07726597325408618,0.5780818752325223,0.0641236308236129,0.0282993535688728
LDA,1,23,5,0.054373522458628844,0.09019607843137255,0.9739134024022784,0.06784660766961652,0.5674590944337021,0.05727606400679293,0.02489640222053394
LDA,1,24,5,0.044009779951100246,0.06382978723404255,0.9732554816054877,0.05209840810419682,0.5901812056884067,0.03969447693459767,0.025763518417240845
LDA,1,25,5,0.05413105413105413,0.07142857142857142,0.9710760315715856,0.061588330632090765,0.6481617355965856,0.0476515030563769,0.026847394065041434
LDA,1,26,5,0.05398457583547558,0.058823529411764705,0.9729978521018717,0.05630026809651475,0.6874768184543893,0.042669225885960116,0.025482069253590662
LDA,1,27,5,0.030821917808219176,0.041666666666666664,0.9770534794417908,0.03543307086614173,0.48922271808188167,0.024365385310623672,0.024060958859047854
LDA,1,28,5,0.02564102564102564,0.05755395683453238,0.9790955836416935,0.03547671840354768,0.5995076797778033,0.028719182843449202,0.021594188914571617
LDA,2,3,5,0.1511111111111111,0.08923884514435695,0.9749359422315397,0.11221122112211221,0.7581971825234993,0.10395267709017361,0.025611860000400156
LDA,2,4,5,0.041666666666666664,0.03968253968253968,0.9781521940381411,0.04065040650406505,0.7394409727797702,0.029616346204829117,0.024540040945272564
LDA,2,5,5,0.06437768240343347,0.05172413793103448,0.9777225485765929,0.05736137667304016,0.6116101427308325,0.04650857279823021,0.025179451938677225
LDA,2,6,5,0.01092896174863388,0.010416666666666666,0.982131676539999,0.010666666666666666,0.5780423340706171,0.0016568161209903228,0.022125647468661434
LDA,2,7,5,0.01593625498007968,0.04395604395604396,0.9808858876044408,0.023391812865497078,0.6482220535030752,0.017994154910601426,0.022777514717500932
LDA,2,8,5,0.03819444444444445,0.052132701421800945,0.9779289283731261,0.04408817635270541,0.681395053736914,0.033604395262521895,0.024861593487330975
LDA,2,9,5,0.04330708661417323,0.03642384105960265,0.97590035201733,0.039568345323741004,0.7002499957579049,0.027563038703659875,0.026142351641291434
LDA,2,10,5,0.1440329218106996,0.05065123010130246,0.9633183323427019,0.07494646680942184,0.6281185806122709,0.06939533779593687,0.036705800317389965
