Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
LR,1,2,4,0.0,0.0,0.9880070071418946,0.0,0.5849350886405631,0.0,0.01812324211356001
LR,1,3,4,0.0,0.0,0.9822501747030049,0.0,0.6790276090986634,0.0,0.022823882247847618
LR,1,4,4,0.0,0.0,0.9883354934271431,0.0,0.6730760510148858,0.0,0.017853390282821003
LR,1,5,4,0.0,0.0,0.9868956168097605,0.0,0.6253408803839838,0.0,0.01903318130146671
LR,1,6,4,0.0,0.0,0.9907527813899726,0.0,0.5053546760812146,0.0,0.015886190076294666
LR,1,7,4,0.0,0.0,0.9947922627904315,0.0,0.6893997103397091,0.0,0.012575580418108056
LR,1,8,4,0.0,0.0,0.9902369054229132,0.0,0.7132916232155515,0.0,0.016299504047215033
LR,1,9,4,0.0,0.0,0.9863706110659807,0.0,0.7111073353097457,0.0,0.019458923586989408
LR,1,10,4,0.0,0.0,0.970663157000934,0.0,0.48568374270880355,0.0,0.03230075353044102
LR,1,11,4,0.0,0.0,0.9862264616396678,0.0,0.5988905059892516,0.0,0.019574537648994868
LR,1,12,4,0.0,0.0,0.989243993828521,0.0,0.6144049131383497,0.0,0.017114402076344203
LR,1,13,4,0.0,0.0,0.9918989500612908,0.0,0.6525252821619358,0.0,0.014940950430631934
LR,1,14,4,0.0,0.0,0.9948240843870799,0.0,0.5676069746968828,0.0,0.012548572009982053
LR,1,15,4,0.0,0.0,0.9834099953485969,0.0,0.5617411167147021,0.0,0.021880150130341575
LR,1,16,4,0.0,0.0,0.9829561671763507,0.0,0.5357213245651414,0.0,0.02225637131751086
LR,1,17,4,0.0,0.0,0.9794552862963757,0.0,0.6253340968788613,0.0,0.02511248769042494
LR,1,18,4,0.0,0.0,0.9929090992268631,0.0,0.605600833204523,0.0,0.014125466467080771
LR,1,19,4,0.0,0.0,0.971222174237368,0.0,0.7097844068870411,0.0,0.03183856901313636
LR,1,20,4,0.0,0.0,0.990587138863001,0.0,0.4085800197293226,0.0,0.016019922556046284
LR,1,21,4,0.0,0.0,0.9922866520787746,0.0,0.5703366712295399,0.0,0.014624702777916032
LR,1,22,4,0.0,0.0,0.9871248743598334,0.0,0.5704819122918836,0.0,0.018844938973834525
LR,1,23,4,0.0,0.0,0.9894745531844636,0.0,0.5584242891216223,0.0,0.016928220396021123
LR,1,24,4,0.0,0.0,0.9884855661263321,0.0,0.5680412653520509,0.0,0.017735864168463452
LR,1,25,4,0.0,0.0,0.986711959236687,0.0,0.6378664043157712,0.0,0.019181652382392948
LR,1,26,4,0.0,0.0,0.9863071494323412,0.0,0.6881060493417667,0.0,0.0195167152238855
LR,1,27,4,0.0,0.0,0.989884799100871,0.0,0.4621488682835546,0.0,0.016594530573841863
LR,1,28,4,0.0,0.0,0.9933201979912538,0.0,0.5969745538837434,0.0,0.013783107882444814
LR,2,3,12,0.09523809523809523,0.010498687664041995,0.980666200791987,0.018912529550827423,0.7518686035759474,0.025984380498625868,0.02355915093421189
LR,2,4,12,0.021739130434782608,0.003968253968253968,0.9862988335493427,0.006711409395973153,0.716385439526129,0.004334291743088472,0.019904112846052712
LR,2,5,12,0.06976744186046512,0.010344827586206896,0.985223678264799,0.018018018018018018,0.559516862447897,0.02198477241470827,0.020841474757306907
LR,2,6,12,0.05,0.005208333333333333,0.9898858546452824,0.009433962264150943,0.5621011020773581,0.013220511445773119,0.017261822254571183
LR,2,7,12,0.08571428571428572,0.03296703296703297,0.9931326542291404,0.04761904761904762,0.6308601368142299,0.05010876641360986,0.015085019455312345
LR,2,8,12,0.078125,0.023696682464454975,0.9877382935406256,0.03636363636363636,0.6154373129129147,0.03789111283614076,0.019084772988132798
LR,2,9,12,0.09836065573770492,0.019867549668874173,0.9841592201462226,0.03305785123966942,0.6618735788981218,0.03839579857947919,0.021518697608904597
LR,2,10,12,0.2553191489361702,0.017366136034732273,0.9696866774220939,0.032520325203252036,0.6345576144014689,0.05988027691503997,0.033352860334955686
LR,2,11,12,0.2222222222222222,0.05373134328358209,0.9843762848449963,0.08653846153846155,0.6162532690281863,0.1033844719943302,0.021272802484407455
LR,2,12,12,0.06521739130434782,0.012295081967213115,0.9874807141282786,0.020689655172413793,0.654243623169243,0.023799166444895083,0.018802500542133952
LR,2,13,12,0.30434782608695654,0.046052631578947366,0.9914192826307093,0.08,0.6447677731618823,0.11577862503960498,0.015972381479081785
LR,2,14,12,0.0,0.0,0.9935137260040621,0.0,0.6425463679289325,-0.0026127642263171907,0.014832687657442657
LR,2,15,12,0.20588235294117646,0.021806853582554516,0.9823763501989767,0.039436619718309855,0.6526491211181161,0.06217769214766375,0.02321629086441672
LR,2,16,12,0.10714285714285714,0.014354066985645933,0.9811620795107033,0.02531645569620253,0.6331647302903741,0.033300847187987,0.023796548057381826
LR,2,17,12,0.11428571428571428,0.008350730688935281,0.978297233540639,0.015564202334630347,0.6392757964478312,0.025622987512289877,0.026401338884350152
