Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
NN,1,2,6,0.0710172744721689,0.13857677902621723,0.9679288505592238,0.09390862944162437,0.6646552352385486,0.08393749923258968,0.03051364532897531
NN,1,3,6,0.05227272727272727,0.06036745406824147,0.9638947123223853,0.05602923264311815,0.45583881198117165,0.03782313582777021,0.033321197108190474
NN,1,4,6,0.0717628705148206,0.18253968253968253,0.9629235326791334,0.10302351623740202,0.682325677086121,0.09787675554964878,0.03219311400063417
NN,1,5,6,0.12155963302752294,0.18275862068965518,0.9719837324898328,0.14600550964187328,0.6962926297840091,0.1352010622566634,0.025129242048650594
NN,1,6,6,0.09863945578231292,0.15104166666666666,0.9793864085151471,0.11934156378600823,0.7540205011504869,0.11192753671988256,0.01970381572829385
NN,1,7,6,0.049723756906077346,0.1978021978021978,0.976135973446263,0.07947019867549669,0.6596096476726978,0.08995586738197371,0.021273428583042025
NN,1,8,6,0.08388157894736842,0.24170616113744076,0.96682398667407,0.12454212454212454,0.7002928285895309,0.12825196047257514,0.02940435088220434
NN,1,9,6,0.13181019332161686,0.24834437086092714,0.9674609621807022,0.1722158438576349,0.6468875444813978,0.1654735397348337,0.030049041949483133
NN,1,10,6,0.10584958217270195,0.10998552821997105,0.9466332682346947,0.1078779276082328,0.6222777744968411,0.08039795346510768,0.048048061684296664
NN,1,11,6,0.0988296488946684,0.22686567164179106,0.9608584820327276,0.13768115942028986,0.6981046947693682,0.13186650210386908,0.035139225667149054
NN,1,12,6,0.08448275862068966,0.20081967213114754,0.9679964734405995,0.11893203883495147,0.6733510129658755,0.11577548501289421,0.027724819956337066
NN,1,13,6,0.11926605504587157,0.2565789473684211,0.978628151148537,0.162839248434238,0.6257589597549836,0.16515976220551226,0.019535350276856246
NN,1,14,6,0.04838709677419355,0.1518987341772152,0.980148070497281,0.07339449541284404,0.67769245775033,0.07739137645428992,0.0180105190645975
NN,1,15,6,0.09113924050632911,0.11214953271028037,0.9667166261822316,0.1005586592178771,0.5641950344368718,0.08425598166362522,0.02988641305991005
NN,1,16,6,0.09515260323159784,0.12679425837320574,0.9645667686034658,0.10871794871794871,0.6880945755595618,0.09199427306389503,0.031175660032942868
NN,1,17,6,0.09193776520509193,0.13569937369519833,0.9547072699978555,0.10961214165261383,0.6287346262411728,0.08900045474239948,0.03985779897974829
NN,1,18,6,0.09147869674185463,0.23548387096774193,0.9779953337298138,0.13176895306859204,0.7003273887376193,0.13713420205140697,0.02018265529495032
NN,1,19,6,0.0546984572230014,0.05320600272851296,0.9462918613324958,0.05394190871369295,0.7554568329021294,0.026311419498627225,0.04624790827112819
NN,1,20,6,0.028037383177570093,0.07425742574257425,0.9670549860205032,0.0407055630936228,0.7290309577105043,0.030840550782537758,0.02892425949912684
NN,1,21,6,0.054466230936819175,0.1773049645390071,0.9699124726477024,0.08333333333333334,0.5839637097136807,0.08576471902042773,0.025789503640476188
NN,1,22,6,0.07744107744107744,0.17100371747211895,0.9630976882209352,0.10660486674391657,0.6496379862779423,0.09797102968259595,0.03271575598418731
NN,1,23,6,0.04891304347826087,0.1411764705882353,0.9620671152020474,0.07265388496468214,0.5341376213425467,0.06658194725079013,0.033517224841958765
NN,1,24,6,0.06156405990016639,0.13120567375886524,0.9669674574333429,0.08380520951302378,0.5770778934860694,0.07440866912608123,0.030510581891379892
NN,1,25,6,0.1021377672209026,0.16165413533834586,0.9699770206813868,0.12518195050946143,0.6774481959759666,0.11373042833957975,0.026643720766431164
NN,1,26,6,0.04713804713804714,0.11764705882352941,0.9553544031911629,0.0673076923076923,0.6434207982240145,0.05413561730691304,0.03851033133048283
NN,1,27,6,0.021518987341772152,0.0787037037037037,0.9544815959539197,0.033797216699801194,0.7348751852903144,0.022337226079444022,0.03972562920667695
NN,1,28,6,0.032816773017319965,0.2589928057553957,0.9440626651929453,0.05825242718446603,0.6247766373258432,0.07569493082801855,0.04891592982547747
NN,2,3,9,0.2841269841269841,0.46981627296587924,0.9695783834148614,0.35410484668644904,0.8025053267743922,0.35080227888731236,0.025639165368635003
NN,2,4,9,0.07630522088353414,0.15079365079365079,0.9688020736900574,0.10133333333333333,0.6083970610537208,0.09247673099499844,0.02644721859240561
NN,2,5,9,0.06134969325153374,0.10344827586206896,0.9675101671938545,0.07702182284980745,0.5049605279777694,0.06377154911884934,0.027059326189898657
NN,2,6,9,0.08333333333333333,0.16666666666666666,0.9753407503732602,0.1111111111111111,0.4977947312559753,0.10624849446646714,0.02117903640830579
