Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
QDA,1,2,5,0.04242424242424243,0.07865168539325842,0.9676593451017383,0.05511811023622048,0.6105264797889708,0.04215696341460117,0.031731462463874635
QDA,1,3,5,0.0631768953068592,0.09186351706036745,0.9597018402049848,0.0748663101604278,0.6627218161474836,0.05599820535107378,0.03788724199230205
QDA,1,4,5,0.0192,0.047619047619047616,0.9605165710053694,0.027366020524515394,0.5907103419924232,0.012113619567782005,0.039037844154471764
QDA,1,5,5,0.03125,0.05862068965517241,0.9638499774062359,0.040767386091127095,0.6171342522420108,0.025330350362115586,0.035479145051427616
QDA,1,6,5,0.0045662100456621,0.010416666666666666,0.9698502143235563,0.006349206349206349,0.47093779876201125,-0.007179149567577885,0.030091084795592776
QDA,1,7,5,0.008097165991902834,0.04395604395604396,0.9669795124184503,0.013675213675213677,0.6453384100798241,0.006847245452081793,0.032240636493002774
QDA,1,8,5,0.02127659574468085,0.061611374407582936,0.963168610031464,0.0316301703163017,0.6976040451668668,0.01997306542966392,0.03611714943967516
QDA,1,9,5,0.026622296173044926,0.052980132450331126,0.9606913981406264,0.035437430786267994,0.6772416291342247,0.01871074838454675,0.03834012124253928
QDA,1,10,5,0.06049149338374291,0.04630969609261939,0.9509212872548187,0.05245901639344262,0.5128352782537245,0.027984009362616594,0.04771677979279624
QDA,1,11,5,0.0642361111111111,0.11044776119402985,0.9655867116191102,0.08122941822173435,0.6318561235594653,0.06743328419208108,0.03380346495844753
QDA,1,12,5,0.02912621359223301,0.06147540983606557,0.9678642274630813,0.039525691699604744,0.584432420606019,0.027142984303402916,0.031984748814557054
QDA,1,13,5,0.018867924528301886,0.05263157894736842,0.9701540265415979,0.02777777777777778,0.6565917439884166,0.018263347709842545,0.029750759310311015
QDA,1,14,5,0.004728132387706856,0.02531645569620253,0.9673720762628579,0.00796812749003984,0.5365032812687572,-0.0010535479692586399,0.03226104418911424
QDA,1,15,5,0.03762376237623762,0.059190031152647975,0.9592743811049667,0.04600484261501211,0.5217957206202762,0.026957861985474087,0.03994791692622083
QDA,1,16,5,0.037996545768566495,0.05263157894736842,0.9611416921508664,0.04413239719157472,0.5465581281062916,0.0251716884090247,0.03838321830575104
QDA,1,17,5,0.03556485355648536,0.03549060542797495,0.9604117520909285,0.03552769070010449,0.6593594116311241,0.01531884580425895,0.03793502945391991
QDA,1,18,5,0.05543710021321962,0.08387096774193549,0.9833706939933208,0.06675224646983313,0.5922021955221574,0.06000055618398679,0.01696966662787489
QDA,1,19,5,0.01794453507340946,0.015006821282401092,0.9480193160849594,0.01634472511144131,0.715340809886795,-0.010175816296026314,0.048702064501524346
QDA,1,20,5,0.00723589001447178,0.024752475247524754,0.9588536812674744,0.011198208286674132,0.5292152098359709,-0.004112223685964892,0.04011060671735904
QDA,1,21,5,0.02142857142857143,0.10638297872340426,0.9556345733041576,0.0356718192627824,0.5523674743382367,0.03128257098331911,0.04275140845551928
QDA,1,22,5,0.01907356948228883,0.05204460966542751,0.9533336524194707,0.02791625124626122,0.5717717799452617,0.0104914236061814,0.04492764450367281
QDA,1,23,5,0.02404809619238477,0.047058823529411764,0.9698683287241507,0.03183023872679045,0.5056849003576068,0.019215819388030374,0.029450143147530257
QDA,1,24,5,0.01927710843373494,0.028368794326241134,0.9721938671348659,0.02295552367288379,0.5294175075268004,0.009552934484123112,0.026896746081396014
QDA,1,25,5,0.025210084033613446,0.045112781954887216,0.9641322809471475,0.03234501347708895,0.5939517498180444,0.016249649348354298,0.03492541309612154
QDA,1,26,5,0.023529411764705882,0.03361344537815126,0.9676664621049401,0.02768166089965398,0.6682931465411364,0.011955780857550032,0.031164701751515377
QDA,1,27,5,0.014251781472684086,0.027777777777777776,0.9707314788798351,0.01883830455259027,0.5223761051713082,0.005862558849655057,0.028448382876740345
QDA,1,28,5,0.01627906976744186,0.050359712230215826,0.9733288480945744,0.02460456942003515,0.5729932164573132,0.017118057103912156,0.025526155918215457
QDA,2,3,3,0.3075117370892019,0.3438320209973753,0.9746098299557419,0.3246592317224287,0.7655112583038675,0.31226654081856753,0.02688681869347687
QDA,2,4,3,0.06982543640897755,0.1111111111111111,0.9723662284762081,0.08575803981623277,0.7009025213057622,0.07449369021351089,0.028217503509936695
QDA,2,5,3,0.06467661691542288,0.0896551724137931,0.9710799819249887,0.07514450867052022,0.5962465264620437,0.06168437808186693,0.029075737920454852
QDA,2,6,3,0.01078167115902965,0.020833333333333332,0.9732697587053893,0.014209591474245114,0.5550932340025602,0.0021623315949425748,0.025701975364835147
QDA,2,7,3,0.015350877192982455,0.07692307692307693,0.9694975392010988,0.025594149908592323,0.6311107922164703,0.023067995123979487,0.029411198697606066
QDA,2,8,3,0.0408997955010225,0.0947867298578199,0.9694614103275958,0.05714285714285714,0.6778821293508233,0.04818212199880344,0.02977213327180555
QDA,2,9,3,0.09243697478991597,0.1456953642384106,0.9688600054156512,0.11311053984575836,0.6810994359225466,0.1007079082740374,0.02986978699081451
QDA,2,10,3,0.1415525114155251,0.08972503617945007,0.9573320879680733,0.10983170947741364,0.6874823438650141,0.09153627852965317,0.04014097527545565
QDA,2,11,3,0.10833333333333334,0.15522388059701492,0.9707672066441905,0.12760736196319017,0.6930693802426563,0.11511839124849604,0.027763108485117413
QDA,2,12,3,0.05491990846681922,0.09836065573770492,0.9720960987436632,0.07048458149779736,0.6573593525024819,0.06000472345301714,0.027278861312231006
QDA,2,13,3,0.03651685393258427,0.08552631578947369,0.9743111442733039,0.05118110236220473,0.6843559906563463,0.04408481994007082,0.024879374662992067
QDA,2,14,3,0.011363636363636364,0.05063291139240506,0.9722859201991745,0.018561484918793506,0.5961438422856838,0.013248963803996082,0.027296722450746595
QDA,2,15,3,0.0825,0.102803738317757,0.9661481213499405,0.0915395284327323,0.591386639921362,0.07497173575489413,0.03266452437457648
QDA,2,16,3,0.07543103448275862,0.08373205741626795,0.9668909276248726,0.07936507936507937,0.6744872292845911,0.06264250353066668,0.031831871856597645
QDA,2,17,3,0.14571948998178508,0.16701461377870563,0.9627707484452069,0.1556420233463035,0.7009677976136276,0.13703051068310076,0.035689443230715705
QDA,2,18,3,0.10344827586206896,0.16451612903225807,0.9839654147033259,0.12702366127023662,0.7650287816724732,0.12264093982918803,0.017075701619216854
QDA,2,19,3,0.24587155963302754,0.18281036834924966,0.960347061363904,0.20970266040688576,0.7475205087929964,0.19201314455385737,0.03799075557280212
QDA,2,20,3,0.018475750577367205,0.039603960396039604,0.9711556383970177,0.025196850393700787,0.6338582842196159,0.013468362732377693,0.03129593875539149
QDA,2,21,3,0.03294573643410853,0.12056737588652482,0.9659190371991248,0.0517503805175038,0.5192170469256517,0.04915557676767934,0.03490373519505117
QDA,2,22,3,0.037037037037037035,0.07063197026022305,0.9643899870770114,0.04859335038363171,0.6102182536821431,0.03400369361581568,0.03665184676429119
QDA,2,23,3,0.03275109170305677,0.058823529411764705,0.9718083130391711,0.04207573632538569,0.5736449059850872,0.030231456367199375,0.029308946557612542
QDA,2,24,3,0.03955696202531646,0.08865248226950355,0.9647217345147197,0.05470459518599562,0.5945114046736619,0.04278023087382261,0.03332381120359228
QDA,2,25,3,0.052752293577981654,0.08646616541353383,0.9672294934558897,0.06552706552706554,0.6398857106313779,0.051427206497382194,0.030717351255951195
QDA,2,26,3,0.06932773109243698,0.09243697478991597,0.970581466707579,0.07923169267707084,0.7166031880378051,0.06528472219812041,0.027744204277787576
QDA,2,27,3,0.030878859857482184,0.06018518518518518,0.9713870937529269,0.04081632653061224,0.7201623458542278,0.029427245623042667,0.027679883723544255
QDA,2,28,3,0.03125,0.10071942446043165,0.9731366235763371,0.04770017035775128,0.5979551917247045,0.04474264795807097,0.026557766892812987
QDA,3,4,7,0.03735144312393888,0.0873015873015873,0.9631086835771153,0.052318668252080855,0.6315003575740274,0.04005160100157377,0.03234080678874159
QDA,3,5,7,0.044444444444444446,0.1103448275862069,0.9572525982828739,0.06336633663366337,0.5078187760515347,0.050537511537877264,0.03607374428118458
QDA,3,6,7,0.018255578093306288,0.046875,0.96787554784954,0.026277372262773723,0.5037956700776174,0.014677567334309673,0.02799049271942869
QDA,3,7,7,0.012345679012345678,0.07692307692307693,0.9631452443630537,0.02127659574468085,0.5554188663548383,0.018161032097366903,0.03174755621193406
QDA,3,8,7,0.022130013831258646,0.07582938388625593,0.9582639274477143,0.034261241970021415,0.557653327534192,0.02339960609458554,0.03629138721642952
QDA,3,9,7,0.07407407407407407,0.13245033112582782,0.9656106146764148,0.09501187648456057,0.6172976429707271,0.08239274818733584,0.032704387371215796
QDA,3,10,7,0.08538899430740038,0.06512301013024602,0.9521100450029719,0.07389162561576354,0.6279733121209687,0.05025021817016952,0.0451682999915734
QDA,3,11,7,0.08496732026143791,0.15522388059701492,0.9653400213798208,0.10982048574445617,0.6439455077968228,0.09813883788139666,0.034006346836721976
QDA,3,12,7,0.06302521008403361,0.12295081967213115,0.9709058849459996,0.08333333333333333,0.6788642860221448,0.0741835525877881,0.02777657425419261
QDA,3,13,7,0.04,0.09210526315789473,0.9747375153227096,0.05577689243027889,0.6818252999782246,0.049061832375177854,0.023649046181955197
QDA,3,14,7,0.0196078431372549,0.08860759493670886,0.9723514381183254,0.03211009174311927,0.5760085566419015,0.03112512826875332,0.02566717684812431
