Model,Training Period,Testing Period,N features,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B
RF,1,2,8,0.0949367088607595,0.2247191011235955,0.9650092081031307,0.13348164627363737,0.7807901572843003,0.13024466082347244,0.032705461547133594
RF,1,3,8,0.25120772946859904,0.27296587926509186,0.9726531563009551,0.26163522012578616,0.8429623587888168,0.24795010043488644,0.02734656761549301
RF,1,4,8,0.14326647564469913,0.1984126984126984,0.9768098500277727,0.16638935108153075,0.8179701949782037,0.15705767498015916,0.024106546754111658
RF,1,5,8,0.1986062717770035,0.19655172413793104,0.979078174423859,0.19757365684575393,0.7817453738789943,0.18697745274525038,0.02205872025412851
RF,1,6,8,0.16113744075829384,0.17708333333333334,0.9838655300293792,0.16873449131513646,0.7491709354187935,0.1607887973460657,0.018187138145501856
RF,1,7,8,0.14906832298136646,0.26373626373626374,0.9883255121895388,0.1904761904761905,0.782019884274961,0.19274266872884552,0.01576166642547465
RF,1,8,8,0.1495601173020528,0.24170616113744076,0.9791782343142699,0.18478260869565216,0.8150193849735949,0.18001879722932015,0.021891026579697062
RF,1,9,8,0.11142857142857143,0.1291390728476821,0.9740951349399766,0.1196319018404908,0.8207782971987628,0.10685702356368602,0.026534621895689996
RF,1,10,8,0.2147239263803681,0.15195369030390737,0.9588180351532648,0.17796610169491528,0.757773589150197,0.1599617736292212,0.040157729607354455
RF,1,11,8,0.1450676982591876,0.22388059701492538,0.9711372420031248,0.176056338028169,0.805047759078456,0.16601430068802775,0.02853047478073298
RF,1,12,8,0.15178571428571427,0.20901639344262296,0.9789288075821027,0.17586206896551723,0.8409738907342459,0.16763857695857004,0.021542510582145544
RF,1,13,8,0.15611814345991562,0.24342105263157895,0.9832116399296488,0.19023136246786632,0.8962604175798694,0.18676300165136314,0.01767810023109834
RF,1,14,8,0.125,0.27848101265822783,0.9861757190591627,0.17254901960784313,0.8607628282936068,0.18035669521612777,0.016632588744637772
RF,1,15,8,0.17845117845117844,0.16510903426791276,0.9735386841697246,0.1715210355987055,0.816028616952096,0.15821951933288844,0.026167337313606997
RF,1,16,8,0.1557377049180328,0.13636363636363635,0.9726809378185525,0.14540816326530612,0.7999071325349126,0.13188871292770052,0.026469571219752658
RF,1,17,8,0.24034334763948498,0.23382045929018788,0.9690757023375509,0.23703703703703705,0.7858017100055548,0.22127991419088947,0.032166710985184484
RF,1,18,8,0.11946902654867257,0.17419354838709677,0.9850404867560273,0.14173228346456693,0.8215691993745764,0.13689014381942632,0.01858586858595874
RF,1,19,8,0.23940677966101695,0.15416098226466576,0.9615641317576852,0.187551867219917,0.8406185224977685,0.17311690047453834,0.035017916972113844
RF,1,20,8,0.04922279792746114,0.09405940594059406,0.9743709226467847,0.06462585034013606,0.6730058060844187,0.05579618223508726,0.028442018468250636
RF,1,21,8,0.08333333333333333,0.19148936170212766,0.9775164113785558,0.11612903225806452,0.8398081560088192,0.11610856581798408,0.02559898532141482
RF,1,22,8,0.09090909090909091,0.17100371747211895,0.9673096252333317,0.11870967741935483,0.7502015192896139,0.10904869864899906,0.03206959304855258
RF,1,23,8,0.07407407407407407,0.14901960784313725,0.9714368266809758,0.09895833333333333,0.7761242691636976,0.09158827152240183,0.02906377878837588
RF,1,24,8,0.07279029462738301,0.14893617021276595,0.9683557225103099,0.09778812572759021,0.7990456336354599,0.08921641206645878,0.030790129988006343
RF,1,25,8,0.15568862275449102,0.19548872180451127,0.9752222999300629,0.17333333333333334,0.7998371536374349,0.1619953869739079,0.025425303921708834
RF,1,26,8,0.12835820895522387,0.12044817927170869,0.9767566738263271,0.12427745664739884,0.749931946334824,0.11256999585492322,0.02472496648332308
RF,1,27,8,0.08955223880597014,0.08333333333333333,0.9821579095251475,0.08633093525179855,0.6706955263997083,0.07738477097554541,0.02145504369199802
RF,1,28,8,0.11061946902654868,0.17985611510791366,0.9848623191888125,0.13698630136986303,0.8044674275093712,0.13370719423401253,0.019502400246946258
RF,2,3,4,0.3217993079584775,0.2440944881889764,0.9774516655019799,0.27761194029850744,0.9100270583706918,0.26900671881129784,0.01839485490062216
RF,2,4,4,0.19786096256684493,0.14682539682539683,0.9831049805591557,0.16856492027334852,0.8183021218041358,0.1620419695683763,0.017917133545139206
RF,2,5,4,0.1751412429378531,0.10689655172413794,0.9816990510619069,0.132762312633833,0.8366683244916003,0.12794096157969062,0.018789826388492317
RF,2,6,4,0.2483221476510067,0.19270833333333334,0.9871405866204306,0.21700879765395895,0.8512772835545186,0.2123527166882146,0.014037780533558935
RF,2,7,4,0.12605042016806722,0.16483516483516483,0.9896989813437107,0.14285714285714288,0.8551761762945103,0.1390243268028937,0.01288471821225961
RF,2,8,4,0.19254658385093168,0.14691943127962084,0.9856561169720526,0.16666666666666666,0.8130749083568093,0.16105077827916367,0.01714351812618163
RF,2,9,4,0.2462686567164179,0.2185430463576159,0.9802328730029786,0.23157894736842105,0.8537167268236161,0.2220083371989442,0.019942800849568575
RF,2,10,4,0.4693069306930693,0.3429811866859624,0.969347032351193,0.39632107023411367,0.8990831817508848,0.38592404222804155,0.02615690954743568
RF,2,11,4,0.2971698113207547,0.3761194029850746,0.9791546747800345,0.3320158102766798,0.9045132655810454,0.3238807955390889,0.019222304550160857
RF,2,12,4,0.21487603305785125,0.21311475409836064,0.9831606788626845,0.2139917695473251,0.8849957922450199,0.20548286515355743,0.016343702179987984
RF,2,13,4,0.1694915254237288,0.13157894736842105,0.9877418323295848,0.14814814814814817,0.879620039365514,0.14322978530650093,0.013512131385824954
RF,2,14,4,0.11,0.13924050632911392,0.9897136866933106,0.12290502793296089,0.8380482119752971,0.11863197787696021,0.012658037423283227
RF,2,15,4,0.2716049382716049,0.13707165109034267,0.9795855082950023,0.18219461697722564,0.8373131217677572,0.1834547748970583,0.02064243332399794
RF,2,16,4,0.4774193548387097,0.35406698564593303,0.9823853211009175,0.40659340659340665,0.8858075033497983,0.4024390598432444,0.017981935285886798
RF,2,17,4,0.4498567335243553,0.3277661795407098,0.9779541067981986,0.3792270531400966,0.8715581942001988,0.37307893394728503,0.02322091657564612
RF,2,18,4,0.2807017543859649,0.25806451612903225,0.9900498650441466,0.2689075630252101,0.9064428067369773,0.2641437795031849,0.011260223615336146
RF,2,19,4,0.38095238095238093,0.1855388813096862,0.9678850457382906,0.24954128440366968,0.8803576074808329,0.25115732783410555,0.028119824478878223
RF,2,20,4,0.34770114942528735,0.599009900990099,0.9856477166821994,0.44,0.8928861027508339,0.4497847509534441,0.01859954461017818
RF,2,21,4,0.15748031496062992,0.28368794326241137,0.9827680525164114,0.20253164556962028,0.8319167703772171,0.20320911035061034,0.0217958523563278
RF,2,22,4,0.22847682119205298,0.25650557620817843,0.9792753553821855,0.24168126094570927,0.8327013174098248,0.23160884370162352,0.023581809043325797
RF,2,23,4,0.16730038022813687,0.17254901960784313,0.9822512073306642,0.16988416988416988,0.8385776870401089,0.1609356499774311,0.02015794742252861
RF,2,24,4,0.15966386554621848,0.1347517730496454,0.9818708913478421,0.14615384615384616,0.7991283940179332,0.13756225102472538,0.02059329438268314
RF,2,25,4,0.24242424242424243,0.15037593984962405,0.9824657807972824,0.18561484918793503,0.8208381677157657,0.1824302858235075,0.018354633934247203
RF,2,26,4,0.3672316384180791,0.18207282913165265,0.9845044492175514,0.24344569288389517,0.8124200253696657,0.25151432140535973,0.017268606519588153
RF,2,27,4,0.630057803468208,0.5046296296296297,0.9919921326215229,0.5604113110539847,0.8532669354471323,0.5599145066710373,0.011997460384082049
RF,2,28,4,0.21428571428571427,0.1510791366906475,0.9906290547359315,0.17721518987341775,0.7976616094642428,0.17531771135583502,0.01260405389384618
RF,3,4,4,0.2815884476534296,0.30952380952380953,0.982734678763192,0.29489603024574673,0.8888692817891488,0.2865042206536689,0.013955209936745564
RF,3,5,4,0.22926829268292684,0.16206896551724137,0.9818798011748757,0.18989898989898993,0.8080753441960339,0.18380038373937202,0.016186603260891767
