Dataset,Model,Period,Feature,Rank
Google,LDA,1,10,1
Google,LDA,1,2,2
Google,LDA,1,0,2
Google,LDA,1,4,3
Google,LDA,1,11,3
Google,LDA,1,5,4
Google,LDA,1,1,4
Google,LDA,1,6,5
Google,LDA,1,3,5
Google,LDA,1,9,5
Google,LDA,1,8,5
Google,LDA,1,7,5
Google,LDA,2,10,1
Google,LDA,2,4,2
Google,LDA,2,1,3
Google,LDA,2,3,3
Google,LDA,2,2,3
Google,LDA,2,0,4
Google,LDA,2,9,4
Google,LDA,2,7,5
Google,LDA,2,5,5
Google,LDA,2,6,5
Google,LDA,2,8,5
Google,LDA,2,11,5
Google,LDA,3,10,1
Google,LDA,3,0,2
Google,LDA,3,1,3
Google,LDA,3,11,4
Google,LDA,3,5,4
Google,LDA,3,8,4
Google,LDA,3,3,4
Google,LDA,3,9,4
Google,LDA,3,7,4
Google,LDA,3,2,4
Google,LDA,3,6,4
Google,LDA,3,4,5
Google,LDA,4,10,1
Google,LDA,4,4,2
Google,LDA,4,9,3
Google,LDA,4,1,4
Google,LDA,4,11,5
Google,LDA,4,0,5
Google,LDA,4,5,5
Google,LDA,4,8,5
Google,LDA,4,2,5
Google,LDA,4,3,5
Google,LDA,4,7,5
Google,LDA,4,6,5
Google,LDA,5,9,1
Google,LDA,5,10,2
Google,LDA,5,8,3
Google,LDA,5,2,3
Google,LDA,5,0,3
Google,LDA,5,4,4
Google,LDA,5,5,5
Google,LDA,5,11,5
Google,LDA,5,7,5
Google,LDA,5,6,5
Google,LDA,5,1,5
Google,LDA,5,3,5
Google,LDA,6,9,1
Google,LDA,6,10,2
Google,LDA,6,8,3
Google,LDA,6,2,3
Google,LDA,6,1,3
Google,LDA,6,5,4
Google,LDA,6,11,4
Google,LDA,6,0,4
Google,LDA,6,4,4
Google,LDA,6,6,4
Google,LDA,6,7,4
Google,LDA,6,3,4
Google,LDA,7,1,1
Google,LDA,7,2,1
Google,LDA,7,11,1
Google,LDA,7,9,1
Google,LDA,7,0,1
Google,LDA,7,4,2
Google,LDA,7,10,2
Google,LDA,7,6,2
Google,LDA,7,5,2
Google,LDA,7,3,3
Google,LDA,7,7,3
Google,LDA,7,8,3
Google,LDA,8,0,1
Google,LDA,8,10,2
Google,LDA,8,5,3
Google,LDA,8,11,3
Google,LDA,8,8,3
Google,LDA,8,6,3
Google,LDA,8,9,3
Google,LDA,8,2,3
Google,LDA,8,3,3
Google,LDA,8,7,3
Google,LDA,8,4,3
Google,LDA,8,1,3
Google,LDA,9,10,1
Google,LDA,9,0,2
Google,LDA,9,2,3
Google,LDA,9,11,4
Google,LDA,9,8,4
Google,LDA,9,6,4
Google,LDA,9,7,5
Google,LDA,9,5,5
Google,LDA,9,3,5
Google,LDA,9,9,5
Google,LDA,9,1,5
Google,LDA,9,4,5
Google,LDA,10,0,1
Google,LDA,10,10,2
Google,LDA,10,4,3
Google,LDA,10,2,4
Google,LDA,10,3,5
Google,LDA,10,9,5
Google,LDA,10,6,6
Google,LDA,10,5,7
Google,LDA,10,1,8
Google,LDA,10,7,8
Google,LDA,10,8,8
Google,LDA,10,11,8
Google,LDA,11,10,1
Google,LDA,11,2,2
Google,LDA,11,8,2
Google,LDA,11,5,3
Google,LDA,11,9,3
Google,LDA,11,4,3
Google,LDA,11,1,3
Google,LDA,11,6,3
Google,LDA,11,7,3
Google,LDA,11,3,3
Google,LDA,11,11,3
Google,LDA,11,0,3
Google,LDA,12,10,1
Google,LDA,12,11,2
Google,LDA,12,0,3
Google,LDA,12,2,4
Google,LDA,12,8,4
Google,LDA,12,4,4
Google,LDA,12,1,4
Google,LDA,12,5,4
Google,LDA,12,7,4
Google,LDA,12,6,4
Google,LDA,12,9,4
Google,LDA,12,3,4
Google,LDA,13,10,1
Google,LDA,13,2,2
Google,LDA,13,4,3
Google,LDA,13,6,4
Google,LDA,13,11,5
Google,LDA,13,5,6
Google,LDA,13,0,6
Google,LDA,13,7,6
Google,LDA,13,1,7
Google,LDA,13,3,7
Google,LDA,13,9,7
Google,LDA,13,8,8
Google,LDA,14,2,1
Google,LDA,14,6,1
Google,LDA,14,0,1
Google,LDA,14,10,2
Google,LDA,14,8,2
Google,LDA,14,5,3
Google,LDA,14,11,3
Google,LDA,14,4,3
Google,LDA,14,1,3
Google,LDA,14,3,3
Google,LDA,14,7,3
Google,LDA,14,9,3
Google,LDA,15,0,1
Google,LDA,15,10,2
Google,LDA,15,11,3
Google,LDA,15,9,4
Google,LDA,15,6,4
Google,LDA,15,8,4
Google,LDA,15,1,4
Google,LDA,15,4,5
Google,LDA,15,3,5
Google,LDA,15,5,5
Google,LDA,15,7,5
Google,LDA,15,2,6
Google,LDA,16,0,1
Google,LDA,16,9,2
Google,LDA,16,6,2
Google,LDA,16,10,2
Google,LDA,16,3,3
Google,LDA,16,11,3
Google,LDA,16,1,3
Google,LDA,16,2,3
Google,LDA,16,8,3
Google,LDA,16,7,3
Google,LDA,16,5,3
Google,LDA,16,4,3
Google,LDA,17,10,1
Google,LDA,17,0,2
Google,LDA,17,4,2
Google,LDA,17,11,3
Google,LDA,17,2,4
Google,LDA,17,9,5
Google,LDA,17,5,5
Google,LDA,17,7,6
Google,LDA,17,6,6
Google,LDA,17,3,6
Google,LDA,17,8,6
Google,LDA,17,1,6
Google,LDA,18,10,1
Google,LDA,18,0,2
Google,LDA,18,9,3
Google,LDA,18,11,4
Google,LDA,18,2,4
Google,LDA,18,4,5
Google,LDA,18,8,5
Google,LDA,18,7,5
Google,LDA,18,5,5
Google,LDA,18,3,5
Google,LDA,18,6,5
Google,LDA,18,1,5
Google,LDA,19,10,1
Google,LDA,19,1,2
Google,LDA,19,8,3
Google,LDA,19,0,3
Google,LDA,19,5,4
Google,LDA,19,6,5
Google,LDA,19,11,5
Google,LDA,19,4,5
Google,LDA,19,3,6
Google,LDA,19,7,6
Google,LDA,19,9,6
Google,LDA,19,2,6
Google,LDA,20,0,1
Google,LDA,20,11,2
Google,LDA,20,5,3
Google,LDA,20,2,4
Google,LDA,20,10,4
Google,LDA,20,4,4
Google,LDA,20,8,5
Google,LDA,20,6,5
Google,LDA,20,9,5
Google,LDA,20,7,6
Google,LDA,20,1,6
Google,LDA,20,3,6
Google,LDA,21,6,1
Google,LDA,21,10,2
Google,LDA,21,9,2
Google,LDA,21,11,2
Google,LDA,21,3,3
Google,LDA,21,2,3
Google,LDA,21,0,3
Google,LDA,21,7,3
Google,LDA,21,8,4
Google,LDA,21,1,4
Google,LDA,21,4,4
Google,LDA,21,5,4
Google,LDA,22,11,1
Google,LDA,22,10,2
Google,LDA,22,9,3
Google,LDA,22,5,3
Google,LDA,22,4,4
Google,LDA,22,8,4
Google,LDA,22,1,4
Google,LDA,22,7,4
Google,LDA,22,6,4
Google,LDA,22,3,4
Google,LDA,22,2,5
Google,LDA,22,0,5
Google,LDA,23,10,1
Google,LDA,23,11,2
Google,LDA,23,0,2
Google,LDA,23,6,3
Google,LDA,23,1,3
Google,LDA,23,7,4
Google,LDA,23,3,4
Google,LDA,23,8,4
Google,LDA,23,5,4
Google,LDA,23,9,4
Google,LDA,23,2,4
Google,LDA,23,4,4
Google,LDA,24,10,1
Google,LDA,24,1,2
Google,LDA,24,0,3
Google,LDA,24,11,4
Google,LDA,24,9,4
Google,LDA,24,8,5
Google,LDA,24,5,5
Google,LDA,24,7,5
Google,LDA,24,3,5
Google,LDA,24,6,5
Google,LDA,24,4,5
Google,LDA,24,2,5
Google,LDA,25,10,1
Google,LDA,25,0,2
Google,LDA,25,9,3
Google,LDA,25,11,4
Google,LDA,25,1,4
Google,LDA,25,8,4
Google,LDA,25,5,5
Google,LDA,25,2,5
Google,LDA,25,7,6
Google,LDA,25,3,6
Google,LDA,25,6,6
Google,LDA,25,4,7
Google,LDA,26,10,1
Google,LDA,26,2,2
Google,LDA,26,0,3
Google,LDA,26,7,3
Google,LDA,26,11,3
Google,LDA,26,9,3
Google,LDA,26,3,4
Google,LDA,26,8,4
Google,LDA,26,4,4
Google,LDA,26,6,4
Google,LDA,26,5,4
Google,LDA,26,1,4
Google,LDA,27,0,1
Google,LDA,27,10,2
Google,LDA,27,3,2
Google,LDA,27,8,3
Google,LDA,27,2,3
Google,LDA,27,11,4
Google,LDA,27,9,4
Google,LDA,27,1,4
Google,LDA,27,6,4
Google,LDA,27,7,5
Google,LDA,27,5,5
Google,LDA,27,4,5
Google,LDA,28,2,1
Google,LDA,28,6,2
Google,LDA,28,10,2
Google,LDA,28,0,3
Google,LDA,28,3,3
Google,LDA,28,8,4
Google,LDA,28,1,4
Google,LDA,28,11,5
Google,LDA,28,5,5
Google,LDA,28,7,5
Google,LDA,28,9,5
Google,LDA,28,4,5
Google,QDA,1,10,1
Google,QDA,1,0,2
Google,QDA,1,2,2
Google,QDA,1,5,3
Google,QDA,1,4,3
Google,QDA,1,11,4
Google,QDA,1,1,4
Google,QDA,1,3,4
Google,QDA,1,8,4
Google,QDA,1,6,4
Google,QDA,1,9,4
Google,QDA,1,7,4
Google,QDA,2,2,1
Google,QDA,2,4,2
Google,QDA,2,10,3
Google,QDA,2,1,4
Google,QDA,2,0,5
Google,QDA,2,7,6
Google,QDA,2,3,6
Google,QDA,2,9,6
Google,QDA,2,8,6
Google,QDA,2,5,7
Google,QDA,2,11,7
Google,QDA,2,6,8
Google,QDA,3,10,1
Google,QDA,3,4,2
Google,QDA,3,0,2
Google,QDA,3,1,3
Google,QDA,3,11,3
Google,QDA,3,8,3
Google,QDA,3,2,3
Google,QDA,3,5,4
Google,QDA,3,9,4
Google,QDA,3,3,4
Google,QDA,3,7,4
Google,QDA,3,6,4
Google,QDA,4,10,1
Google,QDA,4,4,1
Google,QDA,4,9,2
Google,QDA,4,1,3
Google,QDA,4,5,3
Google,QDA,4,11,3
Google,QDA,4,8,4
Google,QDA,4,3,4
Google,QDA,4,0,4
Google,QDA,4,2,5
Google,QDA,4,6,5
Google,QDA,4,7,5
Google,QDA,5,9,1
Google,QDA,5,10,2
Google,QDA,5,4,3
Google,QDA,5,2,3
Google,QDA,5,0,4
Google,QDA,5,11,5
Google,QDA,5,8,6
Google,QDA,5,5,6
Google,QDA,5,3,6
Google,QDA,5,1,6
Google,QDA,5,7,6
Google,QDA,5,6,6
Google,QDA,6,2,1
Google,QDA,6,9,1
Google,QDA,6,10,2
Google,QDA,6,11,3
Google,QDA,6,0,3
Google,QDA,6,1,4
Google,QDA,6,4,4
Google,QDA,6,8,4
Google,QDA,6,5,4
Google,QDA,6,6,4
Google,QDA,6,7,5
Google,QDA,6,3,5
Google,QDA,7,2,1
Google,QDA,7,0,1
Google,QDA,7,1,1
Google,QDA,7,11,2
Google,QDA,7,9,2
Google,QDA,7,4,2
Google,QDA,7,7,3
Google,QDA,7,5,3
Google,QDA,7,8,3
Google,QDA,7,10,4
Google,QDA,7,3,4
Google,QDA,7,6,4
Google,QDA,8,0,1
Google,QDA,8,10,2
Google,QDA,8,5,3
Google,QDA,8,2,3
Google,QDA,8,4,3
Google,QDA,8,11,3
Google,QDA,8,8,4
Google,QDA,8,1,4
Google,QDA,8,7,4
Google,QDA,8,6,4
Google,QDA,8,3,4
Google,QDA,8,9,4
Google,QDA,9,11,1
Google,QDA,9,9,2
Google,QDA,9,10,3
Google,QDA,9,0,4
Google,QDA,9,2,4
Google,QDA,9,4,5
Google,QDA,9,6,6
Google,QDA,9,8,7
Google,QDA,9,3,7
Google,QDA,9,7,8
Google,QDA,9,1,8
Google,QDA,9,5,8
Google,QDA,10,0,1
Google,QDA,10,4,2
Google,QDA,10,2,3
Google,QDA,10,10,3
Google,QDA,10,9,4
Google,QDA,10,11,4
Google,QDA,10,1,4
Google,QDA,10,3,5
Google,QDA,10,8,5
Google,QDA,10,5,6
Google,QDA,10,6,6
Google,QDA,10,7,7
Google,QDA,11,11,1
Google,QDA,11,10,2
Google,QDA,11,9,2
Google,QDA,11,2,3
Google,QDA,11,4,4
Google,QDA,11,0,5
Google,QDA,11,6,6
Google,QDA,11,1,6
Google,QDA,11,8,6
Google,QDA,11,5,6
Google,QDA,11,3,6
Google,QDA,11,7,6
Google,QDA,12,10,1
Google,QDA,12,11,2
Google,QDA,12,8,3
Google,QDA,12,0,3
Google,QDA,12,2,3
Google,QDA,12,9,3
Google,QDA,12,4,3
Google,QDA,12,5,3
Google,QDA,12,6,4
Google,QDA,12,3,4
Google,QDA,12,7,4
Google,QDA,12,1,4
Google,QDA,13,2,1
Google,QDA,13,4,2
Google,QDA,13,0,3
Google,QDA,13,10,3
Google,QDA,13,6,3
Google,QDA,13,11,3
Google,QDA,13,8,4
Google,QDA,13,5,4
Google,QDA,13,1,4
Google,QDA,13,9,4
Google,QDA,13,7,4
Google,QDA,13,3,4
Google,QDA,14,0,1
Google,QDA,14,2,2
Google,QDA,14,10,2
Google,QDA,14,8,2
Google,QDA,14,4,3
Google,QDA,14,1,3
Google,QDA,14,6,3
Google,QDA,14,9,3
Google,QDA,14,5,3
Google,QDA,14,11,4
Google,QDA,14,3,4
Google,QDA,14,7,4
Google,QDA,15,0,1
Google,QDA,15,11,2
Google,QDA,15,4,2
Google,QDA,15,10,2
Google,QDA,15,2,3
Google,QDA,15,9,4
Google,QDA,15,1,4
Google,QDA,15,8,4
Google,QDA,15,6,4
Google,QDA,15,5,5
Google,QDA,15,3,5
Google,QDA,15,7,6
Google,QDA,16,0,1
Google,QDA,16,2,2
Google,QDA,16,4,3
Google,QDA,16,9,4
Google,QDA,16,10,5
Google,QDA,16,11,6
Google,QDA,16,6,6
Google,QDA,16,8,7
Google,QDA,16,1,7
Google,QDA,16,5,7
Google,QDA,16,3,7
Google,QDA,16,7,8
Google,QDA,17,4,1
Google,QDA,17,10,2
Google,QDA,17,0,3
Google,QDA,17,2,4
Google,QDA,17,7,5
Google,QDA,17,9,5
Google,QDA,17,1,6
Google,QDA,17,6,6
Google,QDA,17,8,6
Google,QDA,17,11,6
Google,QDA,17,3,6
Google,QDA,17,5,6
Google,QDA,18,10,1
Google,QDA,18,2,2
Google,QDA,18,0,2
Google,QDA,18,9,3
Google,QDA,18,4,3
Google,QDA,18,11,4
Google,QDA,18,6,5
Google,QDA,18,3,5
Google,QDA,18,8,5
Google,QDA,18,7,5
Google,QDA,18,5,5
Google,QDA,18,1,5
Google,QDA,19,1,1
Google,QDA,19,10,2
Google,QDA,19,2,3
Google,QDA,19,4,3
Google,QDA,19,9,4
Google,QDA,19,11,4
Google,QDA,19,0,5
Google,QDA,19,8,6
Google,QDA,19,5,7
Google,QDA,19,3,8
Google,QDA,19,6,8
Google,QDA,19,7,8
Google,QDA,20,0,1
Google,QDA,20,2,2
Google,QDA,20,1,3
Google,QDA,20,11,4
Google,QDA,20,9,4
Google,QDA,20,4,5
Google,QDA,20,5,5
Google,QDA,20,6,6
Google,QDA,20,8,6
Google,QDA,20,3,7
Google,QDA,20,10,7
Google,QDA,20,7,7
Google,QDA,21,9,1
Google,QDA,21,4,2
Google,QDA,21,6,2
Google,QDA,21,2,3
Google,QDA,21,11,3
Google,QDA,21,1,4
Google,QDA,21,0,4
Google,QDA,21,10,4
Google,QDA,21,3,5
Google,QDA,21,8,5
Google,QDA,21,7,6
Google,QDA,21,5,6
Google,QDA,22,4,1
Google,QDA,22,1,2
Google,QDA,22,0,2
Google,QDA,22,2,2
Google,QDA,22,11,2
Google,QDA,22,9,2
Google,QDA,22,6,3
Google,QDA,22,5,3
Google,QDA,22,7,3
Google,QDA,22,10,3
Google,QDA,22,3,3
Google,QDA,22,8,3
Google,QDA,23,10,1
Google,QDA,23,1,2
Google,QDA,23,4,2
Google,QDA,23,11,2
Google,QDA,23,0,3
Google,QDA,23,2,3
Google,QDA,23,9,3
Google,QDA,23,8,4
Google,QDA,23,6,5
